rank	word	english	ipa
1	die	the	/di/
2	nie	not	/ni/
3	ek	I	/æk/
4	is	am, are, is	/əs/
5	het	to have	/ɦɛt/
6	jy	you	/jəi/
7	n	N	/ˈɛn/
8	dit	referring to the context	/dət/
9	my	me	/məi/
10	en	and	/ɛn/
11	ons	we	/ɔns/
12	wat	what	/vat/
13	jou	you	/jœu̯/
14	van	of	/fan/
15	in	in; inside; within	/ən/
16	te	indicating excess: too	/tə/
17	hy	he	/ɦəi/
18	vir	for	/fər/
19	sy	she	/səi/
20	maar	only; solely; just	/mɑːr/
21	gaan	to go	/ˈχɑːn/
22	sal	shall, will	/sal/
23	kan	can	/kan/
24	dis	contraction of dit + is	/dəs/
25	so	so, like that/this, thus	/sʊə̯/
26	u	you	/y/
27	met	with	/mɛt/
28	dat	that	/dat/
29	hulle	they; them	/ˈɦœ.lə/
30	as	if	/as/
31	was	To be	/ˈvɐs/
32	ja	yes	/jaː/
33	kom	come	/kɔm/
34	moet	must	/mut/
35	nou	now	/nœu/
36	hier	here	/ɦir/
37	daar	there	/dɑːr/
38	op	on	/ˈɔp/
39	wil	to want	/vəl/
40	hom	him	/hɔm/
41	weet	to know	/vɪət/
42	haar	her	/ɦɑːr/
43	aan	on	/ɑːn/
44	wees	To be	/viəs/
45	net	only, just	/ˈnɛt/
46	nee	no	/niəː/
47	doen	to do	/dun/
48	nog	still	/nɔχ/
49	goed	good	/χut/
50	dan	then	/ˈdɐn/
51	hoe	how	/ɦu/
52	ook	also, too, as well	/ʊə̯k/
53	word	to become; to get	/vɔrt/
54	s	S	/ˈɛs/
55	sien	to see	/sin/
56	julle	you	/ˈjœ.lə/
57	laat	to cause to, to make; forms a causative phrase	/lɑːt/
58	by	at	/bəi/
59	al	already	/al/
60	sê	to say	/sɛː/
61	se	follows a noun to indicate that this noun possesses that…	/sə/
62	baie	very, much	/ˈbɑjə/
63	hierdie	this; these	/ˈɦiɾi/
64	soos	like; such as	/sʊəs/
65	maak	to make	/mɑːk/
66	dink	to think	/dəŋk/
67	of	or	/ɔf/
68	toe	then; at that time; at that moment	/ˈtu/
69	waar	where	/vɑːr/
70	oor	over, above	/ʊə̯r/
71	alles	everything	/ˈal(ə)s/
72	een	one	/ɪə̯n/
73	niks	nothing	/nəks/
74	uit	out; outside	/œi̯t/
75	hou	to hold	/ɦœu/
76	bly	to live	/bləi/
77	iets	something	/its/
78	wie	who, whom	/vi/
79	meer	more	/ˈmiər/
80	sou	shall, will	/sœu̯/
81	kry	to get, receive, obtain	/krəi/
82	kyk	to look	/ˈkɛɪk/
83	goeie	good	/ˈxuɪə/
84	man	husband	/man/
85	dankie	thanks	/ˈdaŋki/
86	deur	through	/dɪør/
