rank	word	english	ipa
1	të	indefinite masculine and feminine singular adjectives in…	/tə/
2	e	and	[ɛ]
3	në	at	[ˈnə]
4	do	some	/do/
5	nuk	Negates the meaning of the modified verb: not, don't	/nuk/
6	është	to live, stay alive	/ˈəʃtə/
7	i	masculine singular preposition	/i/
8	më	more, some more, any more	/mə/
9	po	yes	/pɔ/
10	që	that, which	/cə/
11	një	one	/ɲə/
12	dhe	and	/ðe/
13	për	for	/pəɾ/
14	me	with	[mɛ]
15	se	that, as, than	/sɛ/
16	unë	I	[un]
17	ti	you	[ti]
18	jo	negates non-verbal phrases: no, not	/jɔ/
19	ka	from, out, out of, to	[ka]
20	mirë	well	/ˈmiɾə/
21	te	at	/tɛ/
22	mund	can, to be able to; to have the opportunity, power or…	/ˈmund/
23	çfarë	what	/ˈt͡ʃfaɾə/
24	nga	at, from, to	/ŋ(ɡ)a/
25	ju	you	/ju/
26	si	how; in what way; in what state	[si]
27	duhet	to do with certainty; indicates that the speaker is certain…	/ˈdu.het/
28	ne	we, us	[nɛ]
29	kjo	this, used also for neuter	[kjɔ]
30	kam	to have	/kam/
31	këtë	accusative masculine/feminine singular of ky and kjo	[kəˈtə]
32	shumë	very, really; quite	/ˈʃumə/
33	por	but; however	[pɔɹ]
34	ai	he	[aj]
35	jam	to live, stay alive	/ˈjam/
36	di	to know	/di/
37	këtu	here, on this side	/kəˈtu/
38	je	to live, stay alive	/je/
39	ke	to have	/kɛ/
40	atë	it, that, him, her	/ˈatə/
41	u	the reflexive pronoun	/u/
42	mos	don't	/mɔs/
43	ajo	she	[aˈjɔ]
44	tani	now; at present	[taˈni]
45	ishte	to live, stay alive	/iʃtɛ/
46	a	or	/a/
47	vetëm	alone	/ˈvetəm/
48	nëse	whether, if	/nəsɛ/
49	ku	where	/ku/
50	kur	when	/kuɾ/
51	janë	to live, stay alive	/ˈjanə/
52	dua	to want	[ˈdua]
53	mua	me	/mua/
54	edhe	and	/ɛðɛ/
55	ata	they	/aˈta/
56	rregull	rule	/ˈrɛɡuɫ/
57	kemi	to have	/kɛmi/
58	sa	how much	/sa/
59	gjithë	all, everybody	/ˈɟʝiθə/
60	na	we	/na/
61	ty	you	[ty]
62	pse	why	/pse/
63	duke	A particle which precedes a participle to form a gerundive…	[ˈdukɛ]
64	apo	or	/apɔ/
65	gjë	thing	/ɟə/
66	eshte	misspelling of është	/ɛʃtɛ/
67	tij	his	/tij/
68	ky	this	[ky]
69	diçka	something	[ditʃˈka]
70	jemi	to live, stay alive	/ˈjɛmi/
71	parë	beforehand, first, previously	/ˈpaɾə/
72	pak	few	/pak/
73	bëj	to do, make	/ˈbəj/
74	im	my, of mine	[im]
75	keq	poorly	/kec/
76	kush	who	[kuʃ]
77	faleminderit	thank you	[falɛmnˈdɛɹit]
78	jetë	to live, stay alive	/ˈjetə/
79	qe	ox	/ce/
80	lutem	to long for something to happen; to wish	/lutɛm/
81	tjetër	other, another	/ˈtjɛtəɾ/
82	bërë	done, finished	/ˈbəɾə/
83	para	before	/paɾa/
84	vjen	to arrive	/vjɛn/
85	dy	two	/dy/
86	mendoj	to think	/mɛnˈdɔj/
87	kështu	so	/kəˈʃtu/
88	atje	yonder	/atˈjɛ/
89	jeni	to live, stay alive	/ˈjɛni/
90	kanë	to have	/kanə/
91	sepse	because	/sepse/
92	them	to say	[θɛm]
93	keni	to have	/kɛni/
94	së	not, don't	/sə/
95	tek	there, where	/tɛk/
96	vërtetë	true, real	/vəɾtɛt(ə)/
97	pa	without, minus	/pa/
98	duket	to seem, appear, look	/dukɛt/
99	eja	to arrive	/ɛja/
100	asgjë	nothing	/asˈɟə/
101	disa	some; several	[diˈsa]
102	shkojmë	to go, pass	/ʃkɔjmə/
103	pas	behind, beyond	/pas/
104	ndoshta	maybe, perhaps	[ndoʃta]
105	kohë	time	/kɔhə/
106	bukur	beautiful	/ˈbu.kuɾ/
107	çdo	each, every	/t͡ʃdɔ/
108	zotëri	mister, gentleman	/zɔtəri/
109	këto	this	/kəˈtɔ/
110	ashtu	so	/aˈʃtu/
111	qenë	to live, stay alive	[ˈc͡çẽn]
112	kurrë	never	[kurə]
113	dreqin	damnit	/dɾɛcin/
114	njeri	anyone	/ɲeˈɾi/
115	prit	to cut, carve, slice, hew	/pɾit/
116	ato	they	/aˈtɔ/
117	atëherë	then	/atəhɛɾə/
118	zot	master, headman	/zɔt/
119	ose	or	/ɔsɛ/
120	marrë	to take, grab	/marə/
121	aty	there	/aty/
122	tyre	their	/tyɾɛ/
123	thotë	to say	/θɔtə/
124	saj	her	/saj/
125	jashtë	out of; outside	/jaʃtə/
126	kaq	this much	/kac/
127	shkoj	to go, pass	/ʃkɔj/
128	shtëpi	house	[ʃtəˈpi]
129	deri	to	/dɛɾi/
130	hajde	come on, c'mon	/hajdɛ/
131	isha	to live, stay alive	/iʃa/
132	prej	from	/pɾɛj/
133	aq	so much, so, to a certain degree	/ac/
134	ditë	day	[ˈdit(ə)]
135	gati	almost, around	/ɡati/
136	gjithçka	everything	/ɟiθˈt͡ʃka/
137	punë	work; labour; job	/ˈpunə/
138	as	not, neither, nor	/as/
139	çka	what	/t͡ʃka/
140	shoh	to see	/ʃoh/
141	yt	your	/yt/
142	vdekur	died	/vdɛ.kuɾ/
143	brenda	inside, in	/bɾɛnda/
144	vend	place	/vɛnd/
145	le	let	/lɛ/
146	pastaj	afterwards, after that, then	/pästäj/
