rank	word	english	ipa
1	لا	no	/laː/
2	من	having partitive effect: of, some of, parts of, one of	/min/
3	في	in, within	/fiː/
4	أن	to, that; introduces a subjunctive verb	/ʔan/
5	هذا	this	/haː.ðaː/
6	على	on, over	/ʕa.laː/
7	ما	what?	/maː/
8	أنا	I	/ʔa.na/
9	هل	introduces a positive yes-no question	/hal/
10	و	and, a divider of words or clauses, particle of connection…	/wa/
11	يا	O; hey; you; vocative particle preceding a noun used in…	/jaː/
12	ذلك	that	/ðaː.li.ka/
13	لقد	emphatic particle	/la.qad/
14	لم	not	/lam/
15	ماذا	what	/maː.ðaː/
16	كان	to be	/kaː.na/
17	هنا	here, in this place	/hu.naː/
18	إلى	to, towards	/ʔi.laː/
19	أنت	you; thou	/ʔan.ta/
20	هو	he	/hu.wa/
21	هذه	feminine singular of هٰذَا	/haː.ði.hiː/
22	عن	off, away from	/ʕan/
23	نعم	yes	/na.ʕam/
24	هناك	there	/hu.naː.ka/
25	كل	each one, everyone	/kull/
26	ليس	Used to negate verbs	/laj.sa/
27	فقط	only, no more	/fa.qatˤ/
28	شيء	thing	/ʃajʔ/
29	الآن	now	/al.ʔaː.na/
30	مع	with, together with, accompanied by, in the company of	/ma.ʕa/
31	الذي	who, that, which	/al.la.ðiː/
32	لكن	but, however	/laː.kin.na/
33	أجل	yes, indeed, no doubt	/ʔa.d͡ʒal/
34	لك	varnish, lacquer	/lakk/
35	لن	not	/lan/
36	كيف	how	/kaj.fa/
37	حسنا	well, fine, okay, good	/ħa.sa.nan/
38	انا	alternative spelling of أَنَا	/ʔanaː/
39	لي	Noun	/liː/
40	سوف	added to an imperfect verb form to express future tense:…	/sawfa/
41	نحن	we	/naħ.nu/
42	إذا	when, when it is that; as soon as; if	/ʔi.ðaː/
43	عندما	when, while	/ʕin.da.maː/
44	أي	which ...? what ...? what kind of ...?	/ʔajj/
45	قد	Indicates nearness in time or recentness, recently, just now	/qad.da/
46	لماذا	why	/li.maː.ðaː/
47	هي	she	/hi.ja/
48	حتى	until, as far as, to the point of, even up to	/ħattaː/
49	بعد	after	/baʕda/
50	كذلك	Used other than figuratively or idiomatically: see كَـ,…	/kaðaːlika/
51	أو	indicates an inclusive disjunction	/ʔaw/
52	ولكن	but, however	/wa.laː.kin/
53	قبل	previously, formerly, earlier, before	/qa.bi.la/
54	التي	feminine singular of اَلَّذِي	/allatiː/
55	لو	if	/law/
56	ربما	perhaps, maybe	/rub.ba.maː/
57	أين	where, at which place, whence	/ʔaj.na/
58	هيا	come on!; let's; let's go!	/haj.jaː/
59	تلك	feminine singular of ذٰلِكَ	/til.ka/
60	أعرف	knowing better, more aware; knowing best, most aware	/ʔaʕraf/
61	إن	if	/ʔin/
62	بعض	some, part	/baʕdˤ/
