rank	word	english
1	է	7 in the system of Armenian numerals
2	ես	I
3	որ	who, which, that
4	եմ	I am
5	մի	one
6	և	and
7	ու	and
8	իմ	my
9	ինձ	me
10	նա	he, she
11	ոչ	no; not
12	դու	you, thou
13	թե	that
14	ի	20 in the system of Armenian numerals
15	են	I am
16	այդ	that
17	այս	this
18	էլ	also, too
19	քեզ	you
20	եք	I am
21	այն	that, those, yon
22	համար	for
23	էր	I am
24	եթե	if
25	սակայն	but, however, yet
26	պիտի	should, must
27	նրա	his, her, its
28	չէ	no
29	կարող	capable, competent, able
30	իր	thing
31	մեր	we
32	ինչ	what?
33	չեմ	I am
34	ձեր	you, thou
35	դեռ	still, yet
36	հա	yes
37	հետ	with
38	քո	your, thy
39	ձեզ	you
40	նրան	him
41	հիմա	now, at present, at this moment in time
42	իսկ	while, and, but
43	դուք	you
44	բայց	but, yet
45	ր	5000 in the system of Armenian numerals
46	չի	alternative form of չէ
47	էի	I am
48	լավ	good, fine, OK
49	ուրեմն	consequently, then, therefore
50	ամեն	each, every
51	ո	600 in the system of Armenian numerals
52	այո	yes
53	բան	thing
54	միայն	only, solely, just
55	բարի	all right!, very well!, agreed!, OK
56	պարոն	gentleman
57	արդեն	already
58	վ	3000 in the system of Armenian numerals
59	շատ	very
60	նրանց	them
61	ենք	I am
62	դա	that
63	պետք	need, requirement
64	մենք	we
65	ս	2000 in the system of Armenian numerals
66	թող	let
67	ավելի	more, beyond
68	ն	400 in the system of Armenian numerals
69	այստեղ	here
70	մասին	about; regarding
71	մեջ	in, inside
72	երբ	when
73	մեզ	us
74	ղ	90 in the system of Armenian numerals
75	դե	well
76	մեծ	big, large
77	մեկ	one
78	գիշեր	night
79	այդպես	so, that way, thus
80	նոր	just, just now; not long ago, recently
81	ք	9000 in the system of Armenian numerals
82	գալիս	to come
83	վրա	on, upon, over
84	նրանք	they
85	անգամ	even
86	մոտ	close to, near, by
87	քանզի	because, in that
88	տեր	owner, proprietor
89	կամ	or
90	ոչինչ	nothing
91	ւ	7000 in the system of Armenian numerals
92	լ	30 in the system of Armenian numerals
93	նման	like, as, such as
94	այլ	other
95	մինչև	as far as, till, until, to
96	ց	6000 in the system of Armenian numerals
97	այլևս	no longer, not anymore
98	օրիորդ	girl; unmarried woman; maid, maiden; damsel
99	հենց	right, very, precisely, exactly
100	հետո	then, afterwards
101	չես	I
102	ինչպես	how
103	քանի	how many?
104	ահա	an interjection used to draw attention to something or…
105	ասել	to say
106	այնքան	that much, that long
107	այնտեղ	there
108	չեն	negative form of են
109	մարդ	human being, person
110	եղել	to be, to exist
111	օր	day
112	լինել	to be, to exist
113	ժամանակ	during, at the time of
114	որպես	how
115	տ	4000 in the system of Armenian numerals
116	սա	this
117	գուցե	maybe, perhaps
118	կա	I am, I exist
119	աստված	god
120	բոլոր	all
121	չէր	negative form of էր
122	ապա	then, after that, next
123	սիրո	love
124	ասա	to say
125	երկու	two
126	բարով	with pleasure, with love, willingly
127	գնա	to go
128	առաջ	forward
129	լինի	third-person singular future subjunctive/optative of լինել
130	երբեք	never
131	սուրբ	holy, sacred
132	ազնիվ	honest, honest-minded
133	առավել	more, much, far
134	հայր	father
135	էին	I am
136	տիկին	married woman; lady, madam
137	կրկին	a second time, twice
138	նաև	also, too, as well
139	քան	than
140	չկա	negative form of կա
141	դեպի	toward, to, in the direction of
142	ունի	I have
143	ով	who
144	էիր	I am
145	արի	to come
