rank	word	english
1	ez	not
2	eta	and
3	bat	a, an, some
4	zer	what
5	egin	to do, make, create, produce
6	bai	yes
7	nahi	will, wish
8	behar	poor
9	baina	but
10	hori	that
11	nire	First-person singular personal pronoun; I
12	izan	to be
13	zure	Second-person singular personal pronoun; you
14	esan	to say, tell
15	hau	this
16	ere	also, too
17	ari	activity
18	hemen	here
19	ezin	cannot, could not
20	ondo	well, good, alright
21	oso	very, much
22	bere	the same
23	zu	Second-person singular personal pronoun; you
24	nik	First-person singular personal pronoun; I
25	orain	now
26	al	Used to form yes/no questions
27	zergatik	what a, such
28	joan	to go
29	ongi	well, good, alright
30	ni	First-person singular personal pronoun; I
31	asko	much, a lot
32	beste	other
33	ikusi	to see
34	hitz	word
35	gara	top, high
36	nola	how
37	edo	or
38	gure	First-person plural personal pronoun; we
39	zuk	Second-person singular personal pronoun; you
40	ezer	anything, nothing
41	eman	to give
42	utzi	to leave
43	baino	than
44	zerbait	something
45	kaixo	hello, hi
46	egon	to be, exist
47	non	who
48	bezala	as, like
49	etorri	to come
50	hil	month
51	mesedez	favour
52	gauza	that which is considered to exist as a separate entity or…
53	bakarrik	only
54	batean	at the same time
55	bi	two
56	hartu	to take, receive, accept
57	gero	later
58	goazen	let’s go!
59	ba	so, then, well
60	ona	good
61	barkatu	to forgive
62	aita	father
63	entzun	to hear, listen
64	hor	there
65	gabe	without
66	horrela	so, thus, in that way
67	inoiz	ever
68	nor	who
69	begira	looking at
70	egun	day
71	eskerrik	gratitude, thankfulness
72	beti	always
73	bera	the same
74	ama	mother
75	gaur	today
76	gizon	man
77	arte	until
78	sartu	to enter, go in, come in. get into
79	urte	year
80	mila	a thousand
81	esker	thanks to, owing to
82	beraz	therefore
83	egia	true
84	baten	a, an, some
85	lehen	before, in the past
86	batek	a, an, some
87	lan	work, task
88	ados	drawn, tied
89	horrek	that
90	kaka	excrement
91	berriz	again, once more
92	alde	around
93	zein	what, which
94	maite	dear, beloved
95	duela	ago
96	neska	girl
97	jakin	to know
98	atera	to take out
99	bizi	alive
100	itxaron	to wait for, to await
101	guztiak	everything, everybody
102	aurkitu	to find
103	batzuk	some, someone
104	ziren	acorn
105	guztia	everything, all of that
106	jarri	to put, place, lay down
107	gertatu	to happen, take place
108	bila	looking for, in search of
109	zenbat	how much
110	berak	the same
111	ahal	hopefully
112	deitu	to call, summon
113	izena	name
114	on	good
115	denbora	time
116	hala	thus
117	lagun	companion, colleague, friend
118	zurekin	wood, timber
119	horixe	that same, that specific
120	hasi	to begin, start
121	agian	maybe, perhaps
122	noski	maybe, probably
123	etxera	house
124	eraman	to take, carry
125	itzuli	to return, to come back
126	aurrera	forward
127	berriro	again
128	han	there
129	hiru	three
130	honetan	this
131	bizitza	life
132	ze	because
133	pentsatu	to think
134	burua	head
135	lagundu	to help
136	azken	last
137	ea	Used in indirect questions as an intensifier
138	buruz	by heart
139	ene	First-person singular personal pronoun; I
140	agur	goodbye
141	galdu	to lose
142	ekarri	to bring
143	ibili	to move, to be in motion
144	berri	news
145	azkar	fast, quickly
146	nora	who
147	gauzak	that which is considered to exist as a separate entity or…
148	aizu	hey, listen
149	zuri	Second-person singular personal pronoun; you
150	bota	to throw
151	begiratu	to look at
152	jo	to hit, strike, punch
153	bihar	tomorrow
154	nork	who
155	batera	at the same time
156	nahikoa	enough
157	eskatu	to ask, request
158	gu	First-person plural personal pronoun; we
159	ederra	beautiful, pretty, handsome
160	ote	Used to form tentative yes/no questions
161	zuek	Second-person plural personal pronoun; you
162	lortu	to achieve, to accomplish
163	zain	vein
164	zera	The name of the Latin script letter C/c
165	nahiko	quite
166	inor	anyone, anybody
167	a	The name of the Latin script letter A/a
168	honek	this
169	ondoren	after
170	hauek	this
171	etxean	house
172	emakume	woman
173	baita	only used in baita ... ere
174	ahaztu	to forget
175	iritsi	to arrive, to reach
176	lo	sleep
177	beharra	poor
178	aukera	choice, option
179	elkarrekin	each other; one another
180	saiatu	to try, to attempt
181	haren	that
182	kendu	to take away, to remove
183	noiz	when
184	ia	almost
185	amaitu	to finish off, end, conclude
186	norbait	someone
187	polita	pretty, lovely
188	ezagutu	to know, to be aware of
189	bost	five
190	osoa	complete, entire
191	hura	that
192	jarraitu	continuous
193	gaizki	bad, badly
194	ala	or
195	leku	place
196	gauean	night
197	batez	a, an, some
198	jende	people
199	omen	reportedly, apparently, I think
200	aurrean	in front of
201	dagoela	to be, exist
202	hobeto	comparative degree of ondo and ongi; better
203	berria	news
204	irten	to go out, come out
205	jan	food
206	guk	First-person plural personal pronoun; we
207	tiro	shot
208	horren	that
209	minutu	minute
210	galdetu	to ask
211	laster	soon
212	pertsona	person
213	gau	night
214	gora	up
215	ordu	hour
216	aldatu	to change
217	ihes	flight, escape
218	etxe	house
219	gizona	man
220	mutil	boy, young man
221	itxura	appearance, shape
222	o	The name of the Latin script letter O/o
223	neuk	First-person singular personal pronoun; I
224	laguntza	help, assistance
225	ireki	to open, open up
226	arrazoi	cause, reason
227	bati	a, an, some
228	etxea	house
229	semea	son
230	kontu	counting, count
231	mundu	world
232	erakutsi	to show
233	gabon	good night
234	beldur	fear
235	argi	light, clarity
236	batzuetan	sometimes
237	berdin	equally, the same way
238	lau	simply
239	familia	family, lineage
240	bitartean	meanwhile
241	baietz	I bet that, I'm sure that
242	anaia	brother
243	ulertu	to understand
244	igo	to go up, rise, ascend
245	erantzun	response
246	eseri	to sit down
247	atzera	backwards
248	polizia	police
249	idatzi	to write
250	irabazi	earnings
251	heldu	to arrive
252	laguna	companion, colleague, friend
253	diru	money
254	neure	First-person singular personal pronoun; I
255	erabili	to use, make use of
256	balio	value
257	erabaki	to decide, to choose
258	dolar	dollar
259	horri	that
260	eutsi	to hold on
261	primeran	greatly, fabulously
262	elkar	each other; one another
263	puta	whore, prostitute
264	jaso	raised, elevated
265	ezetz	not
266	alaba	daughter
267	txiki	small, little
268	handi	big, large
269	haiek	Third-person plural personal pronoun; they
270	zeure	Second-person singular personal pronoun; you
271	erosi	to buy
272	bukatu	to finish, to end
273	lehenago	before, in the past
274	seguru	sure, surely
275	ume	child
276	atzean	behind
277	aski	enough, sufficiently
278	azkenean	at last
279	gela	room
280	honen	this
281	gizonak	man
282	mugitu	to move
