rank	word	english	ipa
1	আমি	I; 1st person nominative singular pronoun	/ɑmi/
2	না	no, not	/na/
3	তুমি	you, thou; 2nd person nominative singular formal, familiar…	/t̪umi/
4	আমার	my; genitive of আমি	/amaɾ/
5	কি	what	/ki/
6	এটা	this	/eʈa/
7	আর	and	/aɾ/
8	তোমার	you, thou; 2nd person nominative singular formal, familiar…	/t̪omaɾ/
9	আছে	to have; to possess	/ɑt͡ʃʰe/
10	সে	he, she; 3rd person nominative singular masculine and…	/ʃe/
11	এই	this	/ei̯/
12	আমরা	we	/ämɹä/
13	করে	using; by means of; with	/kɔɾe/
14	হবে	to be, to become; to come into existence	/hobe/
15	জন্য	for; on behalf of; about; due to; because of; in order to;…	/d͡ʒonːo/
16	আমাদের	objective of আমরা	/amad̪eɾ/
17	করতে	চলিত infinitive of করা	/koɾt̪e/
18	আমাকে	objective of আমি	/amake/
19	ঠিক	right, exactly, just	/ʈʰik/
20	আপনি	you, thou; 2nd person nominative singular honorific pronoun	/apni/
21	তো	oblique base of তুই	/t̪o/
22	যে	who, which, that	/d͡ʒe/
23	তার	he, she; 3rd person nominative singular masculine and…	/t̪äɾ/
24	থেকে	from	/t̪ʰeke/
25	কিছু	anything, something	/kit͡ʃʰu/
26	সাথে	with	/ʃat̪ʰe/
27	কিন্তু	but	/kint̪u/
28	এখানে	here	[ˈe.kʰa.ne]
29	তোমাকে	objective of তুমি	/t̪omake/
30	এখন	now; currently, at present	/ækʰɔn/
31	কোন	which	/kon/
32	কথা	about	/kɔt̪ʰa/
33	কী	what?	/ki/
34	যদি	if	/d͡ʒod̪i/
35	এবং	and	[ˈe.bɔŋ]
36	আপনার	you, thou; 2nd person nominative singular honorific pronoun	/apnaɾ/
37	ছিল	to have; to possess	/t͡ʃʰilo/
38	তাকে	objective of সে	/t̪äke/
39	তারা	they	/t̪aɾa/
40	নেই	alternative form of নাই	/nei/
41	অনেক	very	/ɔnek/
42	কেন	why	/kɛno/
43	করা	to do	/kɔɾa/
44	হ্যাঁ	yes	/hæ̃/
45	করো	to do	/kɔɾo/
46	তাই	therefore	/t̪ai̯/
47	সব	all	/ʃɔb/
48	এক	one	/æk/
49	এর	he, she, it; 3rd person nominative singular ordinary…	/eɾ/
50	যাও	to go	/d͡ʒao̯/
51	কাজ	labor, effort, work	/kad͡ʒ/
52	ও	he, she, it; 3rd person nominative singular ordinary…	/o/
53	কে	who	/ke/
54	কাছে	near, around	/kat͡ʃʰe/
55	শুধু	simply, merely, just, only	/ʃud̪ʱu/
56	স্যার	sir, master	/saɾ/
57	দাও	a kind of big knife	/d̪ao/
58	তাদের	objective of তারা	/t̪ad̪eɾ/
59	ভালো	well	/bʱalo/
60	যা	which, that	/d͡ʒa/
61	একজন	a, an	/ækd͡ʒɔn/
62	ভাল	well	/bʱalo/
63	যেতে	second-person familiar habitual/conditional past of যাওয়া	/d͡ʒet̪e/
64	খুব	very	/kʰub/
65	করবে	to do	/kɔɾbe/
66	চাই	to want	/t͡ʃai̯/
67	পারে	can; to be able	/paɾe/
68	শেষ	remainder, balance	/ʃeʃ/
69	করার	agreement, condition, promise, stipulation	/koɾaɾ/
70	ধন্যবাদ	thank you	/d̪ʱonːobad̪/
71	যখন	when; whilst; whereas	/d͡ʒɔkʰɔn/
72	বলতে	to speak, say, state, tell	/bolt̪e/
73	কেউ	anyone, someone	/keu/
74	করি	to do	/koɾi/
75	তুই	you, thou; 2nd person nominative singular informal,…	/t̪ui̯/
76	বাবা	father, daddy, papa	/baba/
77	ওকে	objective of ও	/oke/
78	মত	like, similar to, resembling	/mɔt̪/
79	সেটা	that	/ʃeʈa/
80	হতে	from	/hɔt̪e/
81	একটু	a bit, a little	/ekʈu/
82	পারি	can; to be able	/paɾi/
83	সবাই	everyone	/ʃɔbai̯/
84	আগে	before	/aːɡe/
85	দেখা	to see	/ˈd̪ɛkʰa/
86	তিনি	he, she; 3rd person nominative singular honorific pronoun	/t̪ini/
87	বের	alternative form of বাহির	/beɾ/
88	বলে	to speak, say, state, tell	/bɔle/
89	ঐ	alternative spelling of ওই	/oi/
90	কর	tax, levy	/kɔɾ/
91	আবার	again	/abaɾ/
92	দিতে	to give	/d̪it̪e/
93	নাম	name	/nam/
94	ওর	he, she, it; 3rd person nominative singular ordinary…	/oɾ/
95	কিভাবে	misspelling of কীভাবে	/kibʱabe/
96	মধ্যে	between	/mɔd̪ʱːe/
97	তোমরা	you	/t̪omɹä/
98	ফিরে	to return	/fiɾe/
99	আচ্ছা	okay, well	/at͡ʃʰːa/
100	সাহায্য	help	/ʃahad͡ʒd͡ʒo/
101	আপনাকে	objective of আপনি	/apnake/
102	মানুষ	person; human	/manuʃ/
103	তা	oblique base of সে	/t̪ɑ/
104	মা	mother, Mom	/ma/
105	এ	he, she, it; 3rd person nominative singular ordinary…	/e/
106	দিকে	toward, towards	/d̪ike/
107	দরকার	necessary, required	/d̪ɔɾkaɾ/
108	সেই	that	/ʃei̯/
109	আসলে	in reality	/aʃole/
110	শুরু	start, beginning	/ʃuɾu/
111	ওটা	that	/oʈa/
112	দুঃখিত	saddened, sorry	/d̪ukkʰit̪o/
113	দিন	day	/d̪in/
114	মানে	meaning	/mane/
115	তোর	you, thou; 2nd person nominative singular informal,…	/t̪oɾ/
116	তোমাদের	objective of তোমরা	/t̪omad̪eɾ/
117	বিশ্বাস	belief, faith, trust	/biʃːaʃ/
118	বন্ধ	closed, shut	/bɔnd̪ʱo/
119	এমন	in such a way, to such an extent	/æmon/
120	নিজের	one's own	/nid͡ʒeɾ/
121	কারণ	because	/ka.ron/
122	বছর	year	/bɔt͡ʃʰoɾ/
123	উপর	upper, upward	/upoɾ/
124	চেষ্টা	attempt, endeavour, effort, enterprise	/t͡ʃeʃʈa/
125	তারপর	afterward; after that	/t̪aɾpɔɾ/
126	হল	plough	/holo/
127	হয়	either	/hɔe̯/
128	হেই	that	/hei/
129	কোনো	any	/kono/
130	টাকা	taka	/ʈaka/
131	বুঝতে	second-person familiar habitual/conditional past of বোঝা	/bud͡ʒʱt̪e/
132	আজ	today	/ad͡ʒ/
133	মতো	alternative spelling of মত	/mɔt̪o/
134	ধরে	for a period of time	/d̪ʱɔɾe/
135	কখনো	alternative spelling of কখনও	/kɔkʰono/
136	খারাপ	bad; gone bad; evil	/kʰaɾap/
137	কেমন	how, what type of or what kind of	/kæmon/
138	প্লিজ	alternative spelling of প্লীজ	/plid͡ʒ/
139	মারা	to kill	/maɾa/
140	পছন্দ	preference	/pɔt͡ʃʰond̪o/
141	সেখানে	there	[ˈʃe.kʰa.ne]
142	নাও	boat	/nao/
143	সমস্যা	problem, difficulty, trouble	/ʃɔmoʃːa/
144	দেখে	to see	/d̪ekʰe/
145	পর	after	/pɔɾ/
146	থাকে	to live, to reside	/t̪ʰake/
147	সুন্দর	beautiful, pretty	/ʃund̪ɔɾ/
148	তখন	then; at that time	/t̪ɔkʰɔn/
149	ভুল	wrong, incorrect	/bʱul/
150	ভাই	brother	/bʱai̯/
151	ওখানে	there	/okʰane/
152	পর্যন্ত	till, until	/pɔɾd͡ʒɔnt̪o/
153	নতুন	new	/not̪un/
154	পরে	after	/poɾe/
155	ওরা	they	/oɾa/
156	যাই	to go	/d͡ʒai̯/
157	অন্য	other, something else	/onːo/
158	করুন	to do	/koɾun/
159	লোক	person, human	/lok/
160	আরে	hello, hey, yo, um, uh	/aɾe/
161	ফোন	phone	/fon/
162	বন্ধু	friend	/bond̪ʱu/
163	হাত	hand	/hat̪/
164	ওই	that	/oi̯/
165	যেন	as, like	/d͡ʒɛno/
166	সত্যি	true, genuine	/ʃɔt̪ːi/
167	জীবন	life	/d͡ʒibon/
168	বল	to speak, say, state, tell	/bɔl/
169	চিন্তা	thought	/t͡ʃint̪a/
170	সম্পর্কে	regarding, concerning, in relation to	/ʃɔmpɔɾke/
171	ছেলে	boy	/t͡ʃʰele/
172	এত	so much, this much	/æt̪o/
173	সামনে	in front of	/ʃamne/
174	জিনিস	thing	/d͡ʒiniʃ/
175	এটি	this	/eʈi/
176	হ্যালো	hello	/hælo/
177	অপেক্ষা	wait	/ɔpekʰːa/
178	করবেন	চলিত future second/third-person polite of করা	/koɾben/
179	সবকিছু	everything	/ʃɔbkit͡ʃʰu/
180	উচিত	proper, right, suitable, correct	/ut͡ʃit̪/
181	ব্যাপার	incident, happening, occurrence	/bæpaɾ/
182	নিচে	under; below	/nit͡ʃe/
183	নিশ্চিত	certainly, surely, without doubt, positively	/niʃt͡ʃit̪o/
184	হলে	plough	/hɔle/
185	বা	or	/ba/
186	প্রথম	first	/pɾot̪ʰɔm/
187	এখান	here	/ekʰan/
188	জলদি	quickly; hurriedly; hastily	/d͡ʒold̪i/
189	কত	how much	/kɔt̪o/
190	জানতে	to know	/d͡ʒant̪e/
191	ওদের	objective of ওরা	/od̪eɾ/
192	দুই	two	/d̪u̯i/
193	তৈরি	made, wrought	/t̪oi̯ɾi/
194	জন	person, human	/d͡ʒɔn/
195	পারেন	can; to be able	/paɾen/
196	একদম	at all, entirely, thoroughly	/ækd̪ɔm/
197	নাই	no	/nai/
198	যাক	to go	/d͡ʒak/
199	বাইরে	outside	/baiɾe/
200	বেশ	appearance	/beʃ/
201	গুলি	bullet; pellet	/ɡuli/
202	বলা	to speak, say, state, tell	/bɔla/
203	যান	to go	/d͡ʒan/
204	এগুলো	these	/eɡulo/
205	ছোট	small	/t͡ʃʰoʈo/
206	মিনিট	minute	/miniʈ/
207	মজা	tasty	/mɔd͡ʒa/
208	আশা	hope	/aʃa/
209	তোকে	objective of তুই	/t̪oke/
210	এবার	now	[ˈe.bar]
211	আরও	more	/aɾo/
212	পুলিশ	police	/puliʃ/
213	হোক	to be, to become; to come into existence	/hok/
214	যারা	who, which, that	/d͡ʒaɾa/
215	কীভাবে	how	/kibʱabe/
216	ফেলে	chalita perfect participle of ফেলা	/fele/
217	উপরে	on top of; above	/upɔɾe/
218	মাথা	head	/mat̪ʰa/
219	খুন	worried, troubled	/kʰun/
220	আসে	to come	/aʃe/
221	সঙ্গে	with; in the company of	/ʃɔŋɡe/
222	মাত্র	only, just	/mat̪ɾo/
223	অথবা	or	/ɔt̪ʰoba/
224	করলে	to do	/kɔɾle/
225	মাঝে	in the middle, between	/mad͡ʒʱe/
226	আপনাদের	you	/apnad̪eɾ/
227	ব্যবহার	use, usage, application	/bæbɔhaɾ/
228	অবস্থা	state, condition, situation, circumstances	/ɔbost̪ʰa/
229	এখনও	still	/ækʰɔno/
230	মিস	Miss	/miʃ/
231	করেন	to do	/kɔɾen/
232	যাব	to go	/d͡ʒabo/
233	তবে	but	/t̪ɔbe/
234	সবার	of everybody, of all	/ʃɔbaɾ/
235	বাচ্চা	young, infantile	/bat͡ʃːa/
236	উনি	he, she; 3rd person nominative singular honorific pronoun;…	/uni/
237	তাঁর	he, she; 3rd person nominative singular honorific pronoun	/t̪ãɾ/
238	এভাবে	in this way; thus	/ebʱabe/
239	দ্রুত	fast, quick, apace	/d̪ɾut̪o/
240	প্রতি	every	/ˈpɾot̪iˑ/
241	ভিতরে	inside	/bʱit̪ɔɾe/
242	আপনারা	you	/apnaɾa/
243	যুদ্ধ	war	/d͡ʒud̪ʱːo/
244	নই	negative of আছি	/noi̯/
245	লাগে	to feel	/laɡe/
246	শান্ত	quiet, calm	/ʃant̪o/
247	শুভ	good, fair	/ʃubʱo/
248	আসল	real, genuine, true	/aʃol/
249	খবর	news	/kʰɔboɾ/
250	একবার	once	/ekbaɾ/
251	খুশি	joyous	/kʰuʃi/
252	চান	bath, shower	/t͡ʃɑn/
253	সুযোগ	opportunity, chance	/ʃud͡ʒoɡ/
254	সম্ভব	birth, origin	/ʃɔmbʱɔb/
255	আছেন	chalita present polite second/third-person of আছ-	/at͡ʃʰen/
256	যথেষ্ট	sufficient, enough	/d͡ʒɔt̪ʰeʃʈo/
257	দরজা	door	/d̪ɔɾd͡ʒa/
258	পথ	path, trail	/pɔt̪ʰ/
259	কিনা	if, whether	/kina/
260	তিন	three	/t̪in/
261	চোখ	eye	/t͡ʃokʰ/
262	ভেতরে	alternative form of ভিতরে	/bʱet̪ɔɾe/
263	যাতে	so that, in order to, to	/d͡ʒat̪e/
264	কোথাও	somewhere	/kot̪ʰao̯/
265	প্রশ্ন	question	/pɾoʃno/
266	উত্তর	northern	/ut̪ːɔɾ/
267	ভাবে	existence, presence	/bʱabe/
268	প্রস্তুত	made, wrought	/pɾost̪ut̪/
269	চমৎকার	amazing	/t͡ʃɔmɔt̪kaɾ/
270	সোনা	gold	/ʃona/
271	খাবার	food	/kʰabaɾ/
272	দে	with	/d̪e/
273	করেছেন	to do	/kɔɾet͡ʃʰen/
274	পানি	water	/pani/
275	কেবল	just, just now	/kɛbɔl/
276	শব্দ	word	/ʃɔbd̪o/
277	ক্ষমা	forgiveness, pardon	/kʰɔma/
278	নষ্ট	ruined; gone bad	/nɔʃʈo/
279	হত্যা	murder	/hɔt̪ːa/
280	সহজ	easy, simple	/ʃɔhod͡ʒ/
281	রাস্তা	road, street	/rast̪a/
282	রে	alas, ho, oh, ah	/ɾe/
283	রক্ষা	protection	/rokʰːa/
284	বাকি	remaining, leftover	/baki/
285	কাছ	proximity	/kat͡ʃʰ/
286	কারো	of someone, whose	/kaɾo/
287	কঠিন	hard, difficult	/koʈʰin/
288	বস	boss	/bɔs/
289	খোদা	God, Lord	/kʰod̪a/
290	রাজা	king; monarch	/ˈrad͡ʒa/
291	ধ্বংস	falling down, perishing, destruction, loss, ruin	/d̪ʱɔŋʃo/
292	সত্য	truth, reality	/ʃot̪ːo/
293	কষ্ট	difficulty	/kɔʃʈo/
294	পিছনে	behind	/pit͡ʃʰone/
295	মন	mind, heart	/mon/
296	মুখ	mouth	/mukʰ/
297	মিথ্যা	falsehood, lie	/mit̪ʰːa/
298	চুরি	theft	/t͡ʃuɾi/
299	একে	objective of এ	/eke/
300	যেমন	for example, such as	/d͡ʒɛmon/
301	ঈশ্বর	God, Ishvara	/iʃːɔɾ/
302	আঘাত	blow, strike, hit	/aɡʱat̪/
303	কম	few	/kɔm/
304	থাকা	to live, to reside	/t̪ʰa.ka/
305	কার	whose	/kaɾ/
306	রাখা	to put, to place, to lay	/rakʰa/
307	জান	life, soul, being	/d͡ʒan/
308	কখনও	ever	/kɔkʰɔno/
309	হাজার	thousand	/had͡ʒaɾ/
310	জিজ্ঞেস	alternative form of জিজ্ঞাসা	/d͡ʒiɡːeʃ/
311	শক্তি	strength	/ʃɔkt̪i/
312	সিদ্ধান্ত	decision	/ʃid̪ʱːant̪o/
313	খেলা	to play	/kʰæla/
314	বেশী	too	/beʃi/
315	বাদ	after	/bad̪/
316	ছবি	drawing, painting	/t͡ʃʰobi/
317	এতে	he, she, it; 3rd person nominative singular ordinary…	/et̪e/
318	সকল	all	/ʃɔkol/
319	করেছিল	to do	/kɔɾet͡ʃʰilo/
320	দেরি	lateness, tardiness, slowness	/d̪eɾi/
321	আসা	to come	/aʃa/
322	জানা	to know	/d͡ʒana/
323	অস্ত্র	weapon	/ɔst̪ɾo/
324	শালা	brother-in-law	/ʃala/
325	স্বাগতম	welcome	/ʃaɡɔt̪om/
326	ইচ্ছা	desire, wish, will	/it͡ʃʰːa/
327	সঠিক	correctly, accurately, exactly	/ʃɔʈʰik/
328	পরিবার	family	/poɾibaɾ/
329	পা	to get, to receive	/pa/
330	জন্যে	alternative form of জন্য	/d͡ʒɔnːe/
331	মাফ	forgiveness, pardon	/maf/
332	দ্বারা	by; through; with; by means of	/d̪aɾa/
333	নিজে	instrumental/locative form of নিজ, by oneself	/nid͡ʒe/
334	বিশেষ	special	/biʃeʃ/
335	আজকে	today	/ad͡ʒ/
336	কাল	tomorrow	/kal/
337	কখন	when, what time	/kɔkʰɔn/
338	ডাক্তার	doctor	/ɖakt̪aɾ/
339	বার	gate	/baɾ/
340	রক্ত	blood	/ˈrɔk.t̪o/
341	আস্তে	slowly	/ast̪e/
342	ছিলেন	simple past second-person/third-person polite of আছ-	/t͡ʃʰilen/
343	গল্প	story	/ɡɔlpo/
344	গত	departed, finished	/ɡɔt̪o/
345	দেব	deity, god, deva	/d̪eb/
346	আগের	initial, of the beginning	/aɡeɾ/
347	দারুণ	amazing, fascinating, fabulous; cool	/d̪aɾun/
348	স্বপ্ন	dream	/ʃɔpno/
349	সময়	time	/ʃomɔe̯/
350	দল	group, team, band, gang, clan, party	/d̪ɔl/
351	সকাল	morning	/ʃɔkal/
352	স্ত্রী	woman, female	/st̪ɾi/
353	খালি	only	/kʰali/
354	দু	two	/d̪u/
355	অদ্ভুত	strange, queer, odd	/ɔd̪bʱut̪/
356	ক্ষমতা	power, strength, might	/kʰɔmot̪a/
357	পাই	to get, to receive	/pai̯/
358	পান	betel, betel leaf, paan	/pan/
359	গান	song	/ɡan/
360	বলেন	to speak, say, state, tell	/bɔlen/
361	গুরুত্বপূর্ণ	important, necessary, essential	/ɡuɾut̪ːɔpuɾno/
362	অংশ	section, part	/ɔŋʃo/
363	আলাদা	separate, distinct, different; unconnected; unrelated	/alad̪a/
364	শোনো	to hear, to listen to	/ʃono/
365	যদিও	though, despite	/d͡ʒod̪i̯o/
366	মৃত	dead, deceased	/mɾit̪o/
367	প্রমাণ	evidence; proof	/pɾoman/
368	লাভ	benefit, advantage	/labʱ/
369	পাশে	beside, next to	/paʃe/
370	বাজে	bad	/bad͡ʒe/
371	ধারণা	idea, thought, perception	/d̪ʱaɾona/
372	সাহস	courage, fortitude	/ʃahoʃ/
373	তাঁকে	he, she; 3rd person nominative singular honorific pronoun	/t̪ãke/
374	তথ্য	information, data	/t̪ɔt̪ʰːo/
375	মুক্ত	free	/mukt̪o/
376	দোস্ত	friend, comrade, pal	/d̪ost̪o/
377	এরা	they	/eɾa/
378	শুনে	to hear, to listen to	/ʃune/
379	হে	vocative particle: O!	/he/
380	জিজ্ঞাসা	question	/d͡ʒiɡːaʃa/
381	চালু	current, in vogue	/t͡ʃalu/
382	গোপন	hidden, concealed	/ɡopɔn/
383	দোষ	fault	/d̪oʃ/
384	পরিবর্তন	exchange, barter	/poɾibɔɾt̪on/
385	বিরুদ্ধে	against; in opposition to	/biɾud̪ʱːe/
386	রাত	night	/rat̪/
387	অনুভব	feeling	/onubʱɔb/
388	পরীক্ষা	exam, examination, test	/poɾikkʰa/
389	সেরা	best, excellent	/ʃeɾa/
390	বদলে	in exchange, instead of	/bɔd̪ole/
391	করত	চলিত habitual/conditional past third-person familiar of করা	/kɔɾt̪o/
392	ব্যবস্থা	system	/bæbost̪ʰa/
393	মাস	month	/maʃ/
394	মহিলা	woman	/mohila/
395	কোথায়	where	/kot̪ʰae̯/
396	অসাধারণ	extraordinary, remarkable, exceptional, outstanding	/ɔʃad̪ʱaɾon/
397	মৃত্যু	death	/mɾit̪ːu/
398	ধরা	to hold	/dʱɔ.ra/
399	কালো	black	/kalo/
400	বোকা	foolish	/boka/
401	ভেবে	to think	/bʱebe/
402	অনুমতি	permission	/onumot̪i/
403	চিৎকার	shout	/t͡ʃit̪kaɾ/
404	ডলার	dollar	/ɖɔlaɾ/
405	সোজা	easy, simple	/ʃod͡ʒa/
406	জীবিত	living, alive	/d͡ʒibit̪o/
407	বন্দুক	gun, rifle	/bond̪uk/
408	অধিকার	ownership, possession	/od̪ʱikaɾ/
409	বিক্রি	sale, purchase	/bikɾi/
410	লেখা	to write	/lɛkʰa/
411	পৃথিবী	Earth	/pɾit̪ʰibi/
412	সন্দেহ	doubt; suspicion; uncertainty	/ʃɔnd̪eho/
413	সাধারণ	common, general, ordinary	/ʃad̪ʱaɾon/
414	জাহাজ	ship	/d͡ʒahad͡ʒ/
415	থাম	pillar, post	/t̪ʰam/
416	ঘটনা	event	/ɡʰɔ.ʈo.na/
417	মজার	funny	/mɔd͡ʒaɾ/
418	চার	four	/t͡ʃaɾ/
419	প্রয়োজন	Important, needed	/pɾoe̯od͡ʒɔn/
420	সেকেন্ড	second	/sekenɖ/
421	এইটা	this	/eiʈa/
422	চেহারা	face, countenance	/t͡ʃehaɾa/
423	থাকি	to live, to reside	/t̪ʰaki/
424	তাঁরা	they	/t̪ãra/
425	সারা	whole, entire	/ʃaɾa/
426	ডঃ	abbreviation of ডক্টর	/ɖokʈoɾ/
427	সাবধান	careful	/ʃabd̪ʱan/
428	মাধ্যমে	through the medium of	/mad̪ʱːɔme/
429	পাঁচ	five	/pãt͡ʃ/
430	চিনি	to know, to be familiar with	/t͡ʃini/
431	সপ্তাহ	week	/ʃɔpt̪aho/
432	পুরনো	Umlauted form of পুরানো	/puɾɔno/
433	পরিকল্পনা	plan, design	/poɾikɔlpona/
434	বোন	sister	/bon/
435	মরে	to die	/mɔɾe/
436	সম্মান	honour, respect	/ʃɔmːan/
437	শহর	town, city	/ʃɔhoɾ/
438	প্রধান	main, chief, head, principal	/pɾod̪ʱan/
439	ভাগ্য	luck	/bʱaɡːo/
440	ঝামেলা	problem	/d͡ʒʱamela/
