rank	word	english	ipa
1	da	that	/ˈda/
2	je	of her	/je/
3	ne	not	/ne/
4	se	myself	/se/
5	i	and	/ˈi/
6	u	in, at	/u/
7	to	that, the aforementioned	/tôː/
8	sam	to be, to exist	/ˈsɐm/
9	na	on, at, in	/na/
10	ti	you	/tîː/
11	mi	we	/mîː/
12	za	for	/za/
13	si	to myself	/si/
14	li	question-forming interrogative particle	/li/
15	što	why	/ʃtô/
16	ja	I	/jâː/
17	su	third-person plural present of bȉti	/ˈsʊ/
18	šta	what	/ʃtâ/
19	ali	but	/âli/
20	sa	alternative form of s; used instead of s when the following…	/ˈsa/
21	nije	to be, to exist	/ˈnije/
22	ovo	this, this one	/ǒʋoː/
23	samo	just, only, only just, merely, solely	/sâmo/
24	te	of you	/ˈtɛ/
25	me	of me	/ˈmɛ/
26	od	from, since	/ôd/
27	a	but, and	/a/
28	ga	of him	/ˈɡa/
29	bi	to be, to exist	/ˈbi/
30	kako	how	/kâko/
31	o	on, against	/o/
32	dobro	well	/dǒbro/
33	ako	if	/âko/
34	smo	to be, to exist	/ˈsmo/
35	sve	Intensity amplifier, used exclusively in phrases	/sʋê/
36	kao	as, like	/kâo/
37	će	third-person singular/plural present of htȅti/htjȅti	/ˈtɕɛ/
38	tako	so, like that, in such a way	/tǎkoː/
39	znam	first-person singular present of znȁti	/ˈznam/
40	s	with, together with, along with	/s/
41	mogu	can, to be able to	/ˈmoɡʊ/
42	nisam	to be, to exist	/nǐːsam/
43	pa	then	/pa/
44	ste	second-person plural present of bȉti	/ˈstɛ/
45	bio	to be, to exist	/bîo/
46	biti	to be, to exist	/bîti/
47	redu	row	/ˈrɛdʊ/
48	on	he	/ôːn/
49	zašto	why, what for	/zâʃto/
50	koji	which, what	/kǒjiː/
51	još	more, another	/jôʂ/
52	bilo	generalization particle used before another word to express…	/bîlo/
53	nešto	something	/nêʃto/
54	ću	first-person singular present of htȅti/htjȅti	/ˈtɕu/
55	vas	of you	/ʋâːs/
56	kad	when	/kâd/
57	hvala	praise	/xʋǎːla/
58	iz	from, out of	/îz/
59	mislim	to think	/ˈmislɪm/
60	ima	he has, she has	/ˈimɐ/
61	ovdje	here, over here	/ǒːʋdje/
62	ili	or	/îli/
63	ih	of them	/ix/
64	sada	genitive singular of sȃd	/sâda/
65	znaš	second-person singular present of znȁti	/ˈznaʃ/
66	onda	then	/ôndaː/
67	moj	my, mine	/môːj/
68	do	only, except	/dô/
69	vam	you	/ˈvam/
70	možda	perhaps, maybe	/mǒʒda/
71	više	over, above	/ʋîʃe/
72	zar	used in tag questions, to ask for an affirmation to a polar…	/zâr/
73	rekao	to say	/ˈrɛkɐo/
74	bila	to be, to exist	/ˈbɪlɐ/
75	kada	bathtub	/kǎda/
76	ona	she	/ǒna/
77	nas	of us	/nâːs/
78	bih	first-person singular aorist of bȉti	/ˈbih/
79	nema	mute, dumb	/ˈnɛmɐ/
80	mu	to him	/ˈmu/
81	malo	little, few, some	/mâlo/
82	mene	of me, long form	/mêne/
83	treba	girl, chick	/trěːba/
84	ovde	here	/ǒːʋde/
85	molim	to ask, request, beg	/ˈmolɪm/
86	ništa	nothing	/nîʃta/
87	tebe	of you	/têbe/
88	hajde	let's go	/xǎjde/
89	hej	hi	/ɦɛj/
90	imam	to have, possess, own	/ˈimɐm/
91	tamo	there	/tâmo/
92	sad	now	/sâd/
93	ni	even, either	/ˈni/
94	gdje	where	/ɡdjê/
95	ko	who	/kô/
96	tu	here	/ˈtu/
97	nam	to us	/ˈnam/
98	jesi	second-person singular present of bȉti	/ˈjesɪ/
99	zbog	because of, due to, owing to	/zbôɡ/
100	želim	first-person singular present of žèljeti	/ˈʒɛlɪm/
101	možeš	can, to be able to	/ˈmoʒɛʃ/
102	jer	because, for	/jêr/
103	može	can, to be able to	/moʒe/
104	vi	you	/ʋîː/
105	ljudi	people, men	/ʎûːdi/
106	svi	everyone	/ˈsvi/
107	stvarno	really, truly	/stʋâːrno/
108	po	half	/pôː/
109	moram	to have to; must	/ˈmôːraːm/
110	ćemo	first-person plural present of htȅti/htjȅti	/ˈtɕɛmo/
111	zato	so, therefore, for that/this reason, ergo	/zǎtoː/
112	koliko	how much, how many	/kolǐko/
113	jedan	one	/jědan/
114	idemo	to go, walk	/ˈidɛmo/
115	misliš	to think	/ˈmislɪʃ/
