rank	word	english	ipa
1	да	word used to indicate agreement or acceptance: yes	[da]
2	е	to be	[ɛ]
3	не	used to show disagreement or negation, no	[nɛ]
4	се	the accusative short form of the reflexive pronoun себе си,…	[sɛ]
5	и	and	[i]
6	на	positioned at the upper surface of, within the limits of,…	[na]
7	си	the dative short form of the reflexive pronoun себе си,…	[si]
8	за	on the subject of somebody/something, in connection with…	[za]
9	ще	used to form the future and the future perfect tense, will,…	[ʃtɛ]
10	че	that	[t͡ʃɛ]
11	това	Used in indicating something or someone nearby; this, that,…	[toˈva]
12	ли	yes-no question particle	[li]
13	в	going inside or within the limits of, into, in, at, to	/f/
14	ти	You, thou; the second-person singular pronoun in the…	[ti]
15	от	used when comparing or distinguishing things, to introduce…	[ɔt]
16	ми	Short form of the first-person singular pronoun in the…	[mi]
17	с	in the company of, alongside, with, and	[s]
18	какво	what	[kɐˈkvɔ]
19	го	Short form of the third-person singular masculine pronoun…	[ˈɡɔ]
20	съм	to be	[sɤm]
21	но	but	[nɔ]
22	аз	I; the first-person singular pronoun in the nominative…	[as]
23	те	They; the third-person plural pronoun in the nominative…	[tɛ]
24	трябва	it is necessary, one must	[ˈtrʲa̟bvɐ]
25	добре	well	[doˈbrɛ]
26	ме	short form of the first-person singular pronoun in the…	[mɛ]
27	са	to be	[ˈsɤ]
28	няма	there is not	[ˈnʲa̟mɐ]
29	може	it is allowed, one may	[ˈmɔʒɛ]
30	ако	if	[ˈako]
31	тук	here	[tuk]
32	така	that way, thus, so	[tɐˈka]
33	а	just, about to, on the point of, almost	[a]
34	ви	Short form of the second-person plural pronoun in the…	[vi]
35	като	like, as	[kɐˈtɔ]
36	много	many, a lot of	[ˈmnɔɡo]
37	той	he; the masculine third-person singular pronoun in the…	[tɔj]
38	по	introducing the object of a targeted action or for an…	[pɔ]
39	има	there is, there are	[ˈimɐ]
40	беше	to be	[ˈbɛʃɛ]
41	нещо	slightly, a bit, somewhat	[ˈnɛʃto]
42	му	Short form of the third-person singular masculine pronoun…	[mu]
43	как	as	[kak]
44	защо	why	[zɐʃˈtɔ]
45	ни	short form of the first-person plural pronoun in the…	[ni]
46	я	short form of the third-person singular feminine pronoun in…	[ja̟]
47	знам	to know	[znam]
48	само	only, just	[ˈsamo]
49	всичко	neuter singular of вси́чък: everything, all	[ˈfsit͡ʃko]
50	мен	alternative form of мене; me	[mɛn]
51	сега	now	[sɛˈɡa]
52	теб	alternative form of тебе; you	[tɛp]
53	тя	she; the feminine third-person singular pronoun in the…	[tʲa̟]
54	което	neuter singular of ко́йто	[koˈɛto]
55	искам	to want, to wish, to would like	[ˈiskɐm]
56	мога	to know how to do something, can, be able to	[ˈmɔɡɐ]
57	още	yet, more	[ˈɔʃtɛ]
58	когато	when, whenever	[koˈɡato]
59	до	near, close to	[dɔ]
60	ги	Short form of the third-person plural pronoun in the…	[ɡi]
61	този	Used in indicating something or someone nearby; this, that,…	[ˈtɔzi]
62	просто	simply	[ˈprɔsto]
63	сте	to be	[stɛ]
64	или	or	[iˈli]
65	къде	where	[kɐˈdɛ]
66	би	second-person singular aorist indicative of бъ́да	[bi]
67	тази	Used in indicating something or someone nearby; this, that,…	[ˈtazi]
68	всички	plural of вси́чък: all, everybody	[ˈfsit͡ʃki]
69	благодаря	thanks, thank you	[bɫɐɡodɐˈrʲɤ̟]
70	нали	interrogative particle: introduces a question, in which the…	/nɐˈli/
71	сме	to be	[smɛ]
72	нищо	nothing	[ˈniʃto]
73	толкова	this much, that much, as much, this many, that many, as many	[ˈtɔɫkovɐ]
74	знаеш	to know	[ˈznaɛʃ]
75	един	one	[ɛˈdin]
76	защото	because, for, since	[zɐʃˈtɔto]
77	след	after	[slɛt]
78	там	there	[tam]
79	време	time	[ˈvrɛmɛ]
80	който	who, which	[ˈkɔjto]
81	искаш	second-person singular present indicative of и́скам	[ˈiskɐʃ]
82	мисля	to think, to reckon	[ˈmislʲɐ]
83	кой	who, which	[kɔj]
84	малко	few, little	[ˈmaɫko]
85	имам	to have, possess, own	[ˈimɐm]
86	преди	before, previously	[prɛˈdi]
87	хайде	come on!	[ˈxajdɛ]
88	вече	already	[ˈvɛt͡ʃɛ]
89	тези	Used in indicating something or someone nearby; this, that,…	[ˈtɛzi]
90	моля	to ask, to request	[ˈmɔlʲɐ]
91	о	against	[ɔ]
92	някой	some	[ˈnʲa̟koj]
93	каза	second-person singular aorist indicative of ка́жа	[ˈkazɐ]
94	него	full form of the third-person singular masculine pronoun in…	[ˈnɛɡo]
95	наистина	really, truly	[nɐˈistinɐ]
96	ние	we; the first-person plural pronoun in the nominative case,…	[ˈniɛ]
97	вие	You; the second-person plural pronoun in the nominative…	[ˈviɛ]
98	които	plural of ко́йто	[koˈito]
99	повече	longer	[ˈpɔvɛt͡ʃɛ]
100	съжалявам	sorry	[sɐʒɐˈlʲa̟vɐm]
101	тогава	then	[toˈɡavɐ]
102	точно	exactly, precisely, accurately	[ˈtɔt͡ʃno]
103	става	joint	[ˈstavɐ]
104	все	every, any	[fsɛ]
105	можеш	second-person singular present indicative of мо́га	[ˈmɔʒɛʃ]
106	една	indefinite feminine singular of еди́н	[ɛdˈna]
107	имаш	second-person singular present indicative of и́мам	[ˈimɐʃ]
108	към	towards; to	[kɤm]
109	без	without	[bɛs]
110	колко	how much	[ˈkɔɫko]
111	кажа	to say, to tell	[ˈkaʒɐ]
112	никога	never	[ˈnikoɡɐ]
113	при	at, near, by	[pri]
114	човек	human, human being, person	[t͡ʃo̟ˈvɛk]
115	работа	work	[ˈrabotɐ]
116	им	Short form of the third-person plural pronoun in the dative…	[im]
117	ден	day	[dɛn]
118	едно	one	[ɛdˈnɔ]
119	бях	to be	[bʲa̟x]
120	бъде	third-person singular present indicative of бъ́да	[ˈbɤdɛ]
121	през	through, via	[prɛs]
122	ето	there, here it is	[ˈɛto]
123	значи	then	[ˈznat͡ʃi]
124	със	alternative form of с	[sɤs]
125	дори	even, actually	[doˈri]
126	хора	people	[ˈxɔrɐ]
127	път	path, road, way, alley	[pɤt]
128	както	as	[kɐkˈtɔ]
129	нас	full form of the first-person plural pronoun in the…	[nas]
130	г-н	abbreviation of господи́н	[ɡospoˈdin]
131	години	indefinite plural	/ɡoˈdini/
132	бил	to be	[biɫ]
133	баща	father	[bɐʃˈta]
134	правиш	second-person singular present indicative of пра́вя	[ˈpraviʃ]
135	която	feminine of ко́йто	[koˈja̟to]
136	разбира	third-person singular present indicative of разби́рам	[rɐzˈbirɐ]
137	също	also, too, as well	[ˈsɤʃto]
138	мислиш	second-person singular present indicative of ми́сля	[ˈmisliʃ]
139	вас	full form of the second-person plural pronoun in the…	[vas]
140	ами	but	[ɐˈmi]
141	нея	full form of the third-person singular feminine pronoun in…	[ˈnɛjɐ]
142	направи	third-person singular present indicative	[nɐˈpravi]
143	винаги	always	[ˈvinɐɡi]
144	докато	while, as long as	[dokɐˈtɔ]
145	имаме	vocative singular of има́м	[iˈmamɛ]
146	виж	second-person singular imperative of ви́дя	[viʃ]
147	всеки	each, every, any	[ˈfsɛki]
148	иска	third-person singular present indicative of и́скам	[ˈiskɐ]
149	майка	mother	[ˈmajkɐ]
150	казах	first-person singular aorist indicative of ка́жа	[ˈkazɐx]
151	нека	introduces suggestion, offer, or allowance of certain…	[ˈnɛkɐ]
152	хората	talking, speaking, conversation	[ˈxɔrɐtɐ]
153	жена	female	[ʒɛˈna]
154	видя	to see	[ˈvidʲɐ]
155	дали	whether, if	[dɐˈli]
156	във	alternative form of в	[vɤf]
157	никой	nobody	[ˈnikoj]
158	пак	again, once more	[pak]
159	тях	full form of the third-person plural pronoun in the…	[tʲa̟x]
160	направя	to do, make	[nɐˈpravʲɐ]
161	неща	indefinite plural of не́що	[nɛʃˈta]
162	кажи	second-person singular imperative of ка́жа	[kɐˈʒi]
163	място	place, venue, spot, locale, site	[ˈmʲa̟sto]
164	заради	because of, due to	[zɐrɐˈdi]
165	сър	sir	[sɤr]
166	можем	first-person plural present indicative of мо́га	[ˈmɔʒɛm]
167	дяволите	definite plural of дя́вол	[ˈdʲa̟volitɛ]
168	изглежда	it seems, it appears	[izˈɡlɛʒdɐ]
169	днес	today	[dnɛs]
170	кажеш	second-person singular present indicative of ка́жа	[ˈkaʒɛʃ]
171	трябваше	second/third-person singular imperfect indicative of…	[ˈtrʲa̟bvɐʃɛ]
172	отново	again, once more	[otˈnɔvo]
173	татко	daddy, dad, papa	[ˈtatko]
174	няколко	several, a few, multiple	[ˈnʲa̟koɫko]
175	наред	sequentially, in order, in line, in turn, step by step	[nɐˈrɛt]
176	боже	god → the God / male deity	[ˈbɔʒɛ]
177	друг	other, another, else	[druk]
178	здравей	hello	[zdrɐˈvɛj]
179	затова	therefore	[zɐtoˈva]
180	бих	first-person singular aorist indicative of бъ́да	[bix]
181	доста	a lot	[ˈdɔstɐ]
182	обичам	to love	[oˈbit͡ʃɐm]
183	пари	money	[ˈpari]
184	начин	way, method, approach	[ˈnat͡ʃin]
185	моя	definite object masculine singular of мой; my, mine	[ˈmɔjɐ]
186	мислех	first-person singular imperfect indicative of ми́сля	[ˈmislɛx]
187	по-добре	comparative degree of добре́	[ˈpɔ-doˈbrɛ]
188	нужда	need	[ˈnuʒdɐ]
189	сам	alone, by oneself	[sam]
190	две	two	[ˈdvɛ]
191	дойде	third-person singular present indicative of до́йда	[ˈdɔjdɛ]
192	заедно	together	[ˈzaɛdno]
193	добър	good	[doˈbɤr]
194	ела	fir tree	[ɛˈɫa]
195	нямам	to not have, to lack	[ˈnʲa̟mɐm]
196	приятел	male friend, male crony, male mate, male chum, male pal	[priˈja̟tɛɫ]
197	после	later, afterwards	[ˈpɔslɛ]
198	видим	visible	[ˈvidim]
199	правя	to do, to perform, to carry out	[ˈpravʲɐ]
200	вечер	in the evening	[ˈvɛt͡ʃɛr]
201	достатъчно	sufficiently; enough	[doˈstatɐt͡ʃno]
202	всъщност	actually, in reality, in fact	[ˈfsɤʃnost]
203	исках	first-person singular imperfect indicative of и́скам	[ˈiskɐx]
204	проблем	problem	[proˈblɛm]
205	живот	life	[ʒiˈvɔt]
206	нещата	definite plural of не́що	/nɛʃˈtatɐ/
207	под	under	[pɔt]
208	каквото	whatever	[kɐˈkvɔto]
209	говори	third-person singular present indicative of гово́ря	[ɡoˈvɔri]
210	разбирам	to understand, to comprehend, to make out	[rɐzˈbirɐm]
211	сигурно	surely, certainly	[ˈsiɡorno]
212	чакай	second-person singular imperative of ча́кам	[ˈt͡ʃa̟kɐj]
213	веднага	immediately; right away	[vɛdˈnaɡɐ]
214	ей	hey!	[ɛj]
215	три	three	[tri]
216	какъв	what, what kind of, what sort of, what type of	[kɐˈkɤf]
217	казва	third-person singular present indicative of ка́звам	[ˈkazvɐ]
218	стана	to become	[ˈstanɐ]
219	утре	tomorrow	[ˈutrɛ]
220	дай	to give	[daj]
221	добро	good, goodness	[doˈbrɔ]
222	говоря	to speak, to talk	[ɡoˈvɔrʲɐ]
223	била	to be	[biˈɫa]
224	предвид	in mind, under consideration	[prɛdˈvit]
225	казвам	to say, to tell	[ˈkazvɐm]
226	колата	definite singular of кола́	[koˈɫatɐ]
227	имате	second-person plural present indicative of и́мам	[ˈimɐtɛ]
228	себе	synonym of се́бе си	[ˈsɛbɛ]
229	момиче	girl	[moˈmit͡ʃɛ]
230	мамо	vocative singular of ма́ма	/ˈmamo/
231	нощ	night	[nɔʃt]
232	било	to be	[ˈbiɫo]
233	работата	definite singular of ра́бота	[ˈrabotɐtɐ]
234	каква	feminine singular of какъ́в; what, what kind of, what sort…	[kɐˈkva]
235	говориш	second-person singular present indicative of гово́ря	[ɡoˈvɔriʃ]
236	бе	to be	[bɛ]
237	сигурен	sure, certain, positive	[ˈsiɡorɛn]
238	искате	second-person plural present indicative of и́скам	[ˈiskɐtɛ]
239	пред	in front of, before	[prɛt]
240	били	to be	[biˈli]
241	между	between	[mɛʒˈdu]
242	моята	my, mine	[ˈmɔjɐtɐ]
243	част	part, piece, portion	[t͡ʃa̟st]
244	стига	provided, as long	[ˈstiɡɐ]
245	имаше	second-person singular imperfect indicative of и́мам	[ˈimɐʃɛ]
246	освен	except, apart from, besides	[oˈsvɛn]
247	мой	my, mine	[mɔj]
248	двамата	definite plural of два́ма	[ˈdvamɐtɐ]
249	кога	when	[koˈɡa]
250	бяха	to be	[ˈbʲa̟xɐ]
251	върна	to return	[ˈvɤrnɐ]
252	някои	plural of ня́кой	[ˈnʲa̟ˌkɔi]
253	мъж	male	[mɤʃ]
254	момчета	indefinite plural of момче́	/momˈt͡ʃɛtɐ/
255	бързо	quickly, fast	[ˈbɤrzo]
256	където	where	[kɐˈdɛto]
257	извинете	second-person plural perfective of извиня́: excuse me; sorry	[izviˈnɛtɛ]
258	името	definite singular of и́ме	[ˈimɛto]
259	виждам	to see	[ˈviʒdɐm]
260	у	at 's place	[u]
261	бъда	to be	[ˈbɤdɐ]
262	парите	definite plural of пари́	[pɐˈritɛ]
263	видях	first-person singular aorist indicative of ви́дя	[viˈdʲa̟x]
264	хубаво	beautifully	[ˈxubɐvo]
265	скоро	recently	[ˈskɔro]
266	помогна	to help, to assist, to aid, to give a hand	[poˈmɔɡnɐ]
267	дни	day	/ˈdni/
268	поне	at least, leastwise	[poˈnɛ]
269	такъв	such, this/that sort of, this/that type of, this/that kind…	[tɐˈkɤf]
270	здрасти	hello, hi	[ˈzdrasti]
271	направиш	second-person singular present indicative of напра́вя	[nɐˈpraviʃ]
