rank	word	english	ipa
1	que	that, which	/kə/
2	no	not, main negation marker	[ˈno]
3	de	of; from	[ˈde]
4	la	the; feminine singular definite article	/lə/
5	el	the; definite article	/əl/
6	a	in, at; indicating a particular time or place	/ə/
7	i	and; used to connect two similar words, phrases, sentences,…	/ˈi/
8	és	to be, to exist	[es]
9	un	an; the indefinite article	[un]
10	per	through, via: used in indicating the medium through which…	[pər]
11	en	Personal article used before masculine given names instead…	[ən]
12	una	an; the indefinite article	[ˈu.nə]
13	què	what	[ˈkɛ]
14	ho	it; replaces the demonstrative pronouns açò, això and allò	/u/
15	ha	auxiliary verb to form compound tenses or perfect tenses,…	[ˈa]
16	els	the; masculine plural definite article	/əls/
17	amb	with	/əm/
18	va	to go	[ˈba]
19	això	that, it	[əˈʃɔ]
20	si	if	[si]
21	com	how	[ˈkɔm]
22	les	the; feminine plural definite article	/ləs/
23	em	me	[əm]
24	hi	represents a place associated with the action described by…	[i]
25	però	however	[pəˈɾɔ]
26	sí	yes	[ˈsi]
27	bé	well	[ˈbe]
28	al	contraction of a + el, literally “at the; to the”	/əl/
29	del	Contraction of the preposition de and the article el. of the	/dəl/
30	he	auxiliary verb to form compound tenses or perfect tenses,…	[ˈe]
31	aquí	here	[əˈki]
32	et	you, thee	/ət/
33	tu	you; thou	[ˈtu]
34	més	more	[ˈmes]
35	es	himself, herself, itself	/əs/
36	jo	I	[ʒɔ]
37	tot	everything	[ˈtot]
38	vaig	to go	[ˈbat͡ʃ]
39	està	to be; to currently be in a state or have a characteristic	[əsˈta]
40	ser	to be, to exist	[ˈse]
41	molt	very	[ˈmol]
42	meu	my, mine	[ˈmew]
43	fer	to make, produce	[ˈfe]
44	has	auxiliary verb to form compound tenses or perfect tenses,…	[ˈas]
45	ja	already, any more	[ʒa]
46	ara	now	[ˈa.ɾə]
47	aquest	this	[əˈkɛst]
48	aquesta	this	[əˈkɛs.tə]
49	li	him, her, it	[li]
50	ens	us	[əns]
51	quan	when	[ˈkwan]
52	cap	no, not any	[ˈkap]
53	res	nothing, not anything	[ˈres]
54	meva	my, mine	[ˈme.βə]
55	només	only, just	[nuˈmes]
56	dir	to say, to pronounce	[ˈdi]
57	on	where	[ˈon]
58	sé	to know, to have knowledge	[ˈse]
59	cosa	what	[ˈkɔ.zə]
60	era	to be, to exist	[ˈe.ɾə]
61	seu	his, her/hers, its	[ˈsew]
62	qui	who, whom	[ˈki]
63	sóc	superseded spelling of soc, deprecated in the 2016…	[ˈsok]
64	així	so, thus, in this way	[əˈʃi]
65	o	or	[ˈo]
66	estic	to be; to currently be in a state or have a characteristic	[əsˈtik]
67	ets	to be, to exist	[ˈets]
68	us	you	[us]
69	ell	he	[ˈeʎ]
70	teu	your, yours	[ˈtew]
71	puc	to be able; can	[ˈpuk]
72	mi	me; post preposition form of jo	[ˈmi]
73	veure	to see	[ˈbɛw.ɾə]
74	perquè	why, because	[pərˈkɛ]
75	seva	his, her/hers, its	[ˈse.βə]
76	són	to be, to exist	[ˈson]
77	dels	contraction of de + els, literally “of the, from the ”	/dəls/
78	vull	to want	[ˈbuʎ]
79	fet	to make, produce	[ˈfet]
80	acord	agreement, accordance	[əˈkɔrt]
81	fa	ago	[ˈfa]
82	hem	auxiliary verb to form compound tenses or perfect tenses,…	/ˈɛm/
83	vas	to go	[ˈbas]
84	han	auxiliary verb to form compound tenses or perfect tenses,…	[ˈan]
85	mai	never	[ˈmaj]
86	tinc	to have, possess	[ˈtiŋ]
87	tots	all; everyone	/ˈtots/
88	té	to have, possess	[ˈte]
89	gràcies	grace	[ˈɡɾa.si.əs]
90	teva	your, yours	[ˈte.βə]
91	estàs	to be; to currently be in a state or have a characteristic	[əsˈtas]
92	estat	to be; to currently be in a state or have a characteristic	[əsˈtat]
93	van	to go	[ˈban]
94	pot	to be able; can	[ˈpɔt]
95	senyor	lord, master	[səˈɲo]
96	saps	to know, to have knowledge	[ˈsaps]
97	casa	to marry, wed someone to	[ˈka.zə]
98	home	man	[ˈɔ.mə]
99	tan	so, such	[ˈtan]
100	vols	to want	[ˈbɔls]
101	alguna	some	[əlˈɣu.nə]
102	tens	to have, possess	[ˈtɛns]
103	ella	she	[ˈe.ʎə]
104	temps	time	[ˈtems]
105	potser	maybe, perhaps	[putˈse]
106	se	himself, herself, itself	/sə/
107	pare	father	[ˈpa.ɾə]
108	fins	until, till	[ˈfins]
109	encara	yet	[əŋˈka.ɾə]
110	anar	to go	[əˈna]
111	dit	to say, to pronounce	[ˈdit]
112	crec	to take as true	[ˈkɾɛk]
113	pots	to be able; can	/ˈpɔts/
114	també	also, too	[təmˈbe]
115	hola	hello, hi	[ˈɔ.lə]
116	dia	day	[ˈdi.ə]
117	nit	night	[ˈnit]
118	dos	two	[ˈdos]
119	sobre	on, on top of	[ˈso.βɾə]
120	ni	neither, nor	[ni]
