rank	word	english	ipa
1	知道	to know; to be aware of	/ʈ͡ʂɻ̩⁵⁵ tɑʊ̯⁵¹/
2	不是	to not be	/pu⁵¹ ʂɻ̩¹/
3	可以	can; may	/kʰɤ²¹⁴⁻³⁵ i²¹⁴⁻²¹⁽⁴⁾/
4	就是	even if	/t͡ɕi̯oʊ̯⁵¹⁻⁵³ ʂɻ̩⁵¹/
5	如果	if	/ɻu³⁵ ku̯ɔ²¹⁴⁻²¹⁽⁴⁾/
6	自己	self; oneself	/t͡sɹ̩⁵¹ t͡ɕi²¹⁴⁻²¹⁽⁴⁾/
7	不能	A verbal complement expressing incapability	/pu⁵¹ nɤŋ³⁵/
8	真的	really	/ʈ͡ʂən⁵⁵ d̥ə²/
9	先生	mister; sir; gentleman	/ɕi̯ɛn⁵⁵ ʂɤŋ⁵⁵/
10	只是	only; merely; just	/ʈ͡ʂɻ̩²¹⁴⁻²¹ ʂɻ̩⁵¹/
11	不要	to not want	/pu⁵¹⁻³⁵ jɑʊ̯⁵¹/
12	需要	to need; to require	/ɕy⁵⁵ jɑʊ̯⁵¹/
13	可能	maybe; perhaps; probably; might; may	/kʰɤ²¹⁴⁻²¹ nɤŋ³⁵/
14	但是	but; however	/tän⁵¹⁻⁵³ ʂɻ̩⁵¹/
15	所以	therefore; so; consequently	/su̯ɔ²¹⁴⁻³⁵ i²¹⁴⁻²¹⁽⁴⁾/
16	一起	together; with	/i⁵⁵⁻⁵¹ t͡ɕʰi²¹⁴⁻²¹⁽⁴⁾/
17	我們	we; us	/wɔ²¹⁴ mən⁴/
18	孩子	child; children; kid	/xaɪ̯³⁵ d͡z̥ɹ̩³/
19	看到	to catch sight of; to see	/kʰän⁵¹⁻⁵³ tɑʊ̯⁵¹/
20	一下	one time; once	/i⁵⁵⁻³⁵ ɕi̯ä⁵¹/
21	工作	to work	/kʊŋ⁵⁵ t͡su̯ɔ⁵¹/
22	看看	placed after a verb or a verb phrase to indicate a trial,…	/kʰän⁵¹⁻⁵³ kʰän⁵¹/
23	地方	place; region; area	/ti⁵¹ fɑŋ¹/
