rank	word	english
1	je	of her
2	da	that
3	ne	not
4	se	myself
5	i	and
6	u	in, at
7	to	that, the aforementioned
8	sam	to be, to exist
9	što	why
10	na	on, at, in
11	ti	you
12	za	for
13	mi	we
14	si	to myself
15	li	question-forming interrogative particle
16	ja	I
17	su	third-person plural present of bȉti
18	ali	but
19	nije	to be, to exist
20	s	with, together with, along with
21	samo	just, only, only just, merely, solely
22	ga	of him
23	me	of me
24	od	from, since
25	a	but, and
26	bi	to be, to exist
27	ovo	this, this one
28	kako	how
29	te	of you
30	će	third-person singular/plural present of htȅti/htjȅti
31	o	on, against
32	dobro	well
33	ako	if
34	smo	to be, to exist
35	sa	alternative form of s; used instead of s when the following…
36	sve	Intensity amplifier, used exclusively in phrases
37	kao	as, like
38	ću	first-person singular present of htȅti/htjȅti
39	biti	to be, to exist
40	tako	so, like that, in such a way
41	znam	first-person singular present of znȁti
42	ste	second-person plural present of bȉti
43	nisam	to be, to exist
44	ovdje	here, over here
45	bio	to be, to exist
46	mogu	can, to be able to
47	pa	then
48	zašto	why, what for
49	on	he
50	još	more, another
51	redu	row
52	bilo	generalization particle used before another word to express…
53	nešto	something
54	kad	when
55	koji	which, what
56	vas	of you
57	mislim	to think
58	hvala	praise
59	iz	from, out of
60	ili	or
61	možda	perhaps, maybe
62	ih	of them
63	gdje	where
64	ima	he has, she has
65	vam	you
66	više	over, above
67	znaš	second-person singular present of znȁti
68	rekao	to say
69	sada	genitive singular of sȃd
70	moj	my, mine
71	onda	then
72	bih	first-person singular aorist of bȉti
73	tko	who
74	mu	to him
75	ćemo	first-person plural present of htȅti/htjȅti
76	do	only, except
77	nema	mute, dumb
78	bila	to be, to exist
79	ništa	nothing
80	zar	used in tag questions, to ask for an affirmation to a polar…
81	nas	of us
82	ona	she
83	želim	first-person singular present of žèljeti
84	malo	little, few, some
85	mene	of me, long form
86	može	can, to be able to
87	vi	you
88	molim	to ask, request, beg
89	kada	bathtub
90	reći	to say
91	šta	what
92	jer	because, for
93	prije	before, earlier
94	tebe	of you
95	hej	hi
96	imam	to have, possess, own
97	možeš	can, to be able to
98	sad	now
99	tu	here
100	ćeš	second-person singular present of htȅti/htjȅti
101	zbog	because of, due to, owing to
102	ni	even, either
103	nam	to us
104	tamo	there
105	jesi	second-person singular present of bȉti
106	ljudi	people, men
107	svi	everyone
108	moram	to have to; must
109	uvijek	always
110	treba	girl, chick
111	stvarno	really, truly
112	hajde	let's go
113	po	half
114	jedan	one
115	koliko	how much, how many
116	već	already
117	idemo	to go, walk
118	misliš	to think
119	zato	so, therefore, for that/this reason, ergo
120	baš	at all, truly, really, exactly
121	nego	than
122	neće	to wish, want, desire
123	bez	without, excluding, not counting
124	vrijeme	time
125	možemo	can, to be able to
126	dok	while, as long as
127	koje	which, what
128	ono	it
129	joj	to her
130	oni	they
131	želiš	to wish, desire
132	toga	that, the aforementioned
133	ovaj	this, this one
134	žao	sorry
135	imaš	to have, possess, own
136	taj	that, the aforementioned
137	naravno	of course
138	mogao	can, to be able to
139	posao	job
140	koja	which, what
141	imamo	to have, possess, own
142	dana	day
143	nikad	never
144	tvoj	your, yours
145	dan	day
146	bili	to be, to exist
147	rekla	to say
148	put	to, toward
149	radi	for, because of, for the sake of
150	godina	year
151	bolje	comparative degree of dòbro: in a better or superior manner
152	svoje	one's own
153	nemoj	don't
154	puno	much, a lot, lots
155	neću	to wish, want, desire
156	netko	someone, somebody
157	meni	to me
158	možete	can, to be able to
159	kod	by, at, near, besides
160	reci	river
161	vidjeti	to see
162	jeste	emphatic yes
163	mama	mom
164	dobar	good
165	dva	two
166	mora	sea
167	njega	of him
168	imao	to have, possess, own
169	stvar	thing
170	nisu	to be, to exist
171	život	life
172	im	to them
173	tata	dad, daddy
174	vremena	time
175	radiš	to work
176	vidio	to see
177	volim	to love
178	jako	very, very much, really
179	pomoći	help
180	ići	to go, walk
181	vidim	first-person singular present of videti and vidjeti
182	kući	home, at home
183	nikada	never
184	danas	today
185	zna	to know
186	trebao	to be needed, to be required
187	neka	let, may
188	opet	again
189	vrlo	very, extremely
190	upravo	exactly, precisely
191	svoj	one's own
192	učiniti	to do, make
193	nakon	after
194	odmah	right now, immediately
195	ime	name
196	sigurno	certainly
197	svoju	feminine accusative singular of svȏj
198	tri	three
199	idem	to go, walk
200	želi	to wish, desire
201	evo	look, see, behold
202	nitko	no one, nobody
203	jesam	first-person singular present of bȉti
204	čovjek	man, person
205	mnogo	many, a lot, lots
206	čemu	whereto, whither; to what
207	tim	team
208	koju	which, what
209	bit	essence
210	zdravo	healthily
211	oko	around, about, roughly, approximately
212	no	but, however
213	tobom	with you
214	ćete	second-person plural present of htȅti/htjȅti
215	neki	some
216	čak	even
217	kaže	to say, to state
218	znao	to know
219	nismo	to be, to exist
220	toliko	that much/many, so much/many, as much/many
221	ide	to go, walk
222	žena	woman
223	bok	side
224	mnom	me
225	prema	towards, at
226	postoji	to be, exist
227	ta	that, the aforementioned
228	mjesto	instead of
229	bude	third-person singular present of bȉti
230	god	generalization particle
231	kažem	to say, to state
232	novac	money
233	dovoljno	enough, sufficiently
234	imate	to have, possess, own
235	vidi	third-person singular present
236	nemam	not to have
237	drugi	second
238	ju	her
239	jednom	once, one time
240	prvi	first
241	način	way, method, approach, manner
242	otac	father
243	došao	to come, arrive
244	doći	to come, arrive
245	znati	to know
246	oprosti	sorry!
247	tebi	to you
248	njih	of them
249	lijepo	beautifully, nicely
250	dakle	so, thus, therefore
251	vrata	neck
252	godine	year
253	želite	to wish, desire
254	vidimo	first-person plural present
255	puta	times
256	sranje	A very difficult situation, big trouble
257	sebe	myself
258	vaš	your, yours
259	razgovarati	to cheer up sb
260	čini	third-person present singular of čìniti
261	naći	to find, discover
262	nekoliko	some, several, a few
263	pravu	pure, true, genuine
264	dušo	soul
265	dalje	far
266	zajedno	together
267	drago	to be glad, pleased, delighted
268	problem	problem
269	previše	too much / too many
270	imati	to have, possess, own
271	kroz	through
272	siguran	sure, certain
273	poput	like, as, such as
274	sutra	tomorrow
275	vratiti	to return, come back
276	ma	bah, whatever
277	zapravo	in fact, really, actually
278	dobiti	profit
279	ovamo	hither, this way
280	dođi	to come, arrive
281	jedna	one
282	mogla	can, to be able to
283	dugo	for a long time
284	otići	to leave, part, depart
285	pravo	straight
286	gore	up, above
287	točno	exactly, correctly
288	svaki	every, each
289	pod	under, beneath
290	vidiš	second-person singular present of videti and vidjeti
291	vama	to you
292	osim	except, besides
293	radim	to work
294	oprostite	sorry!
295	naš	our, ours
296	njim	him
297	dosta	enough, sufficiently
298	raditi	to work
299	ova	feminine nominative singular
300	noć	night, nighttime
301	mogli	can, to be able to
302	ubiti	to kill, murder
303	niste	to be, to exist
304	teško	heavily
305	čuo	to hear
306	dobio	to receive, get, obtain, acquire
307	ovde	here
308	odavde	from here
309	koga	of whom
310	brzo	quickly, rapidly
311	protiv	against
312	nećeš	to wish, want, desire
313	loše	bad, malicious
314	dijete	child, kid
315	večeras	this evening
316	vjerojatno	probably
317	par	pair, couple
318	unutra	inside, indoors, in
319	pomoć	help
320	sviđa	to like, please
321	nama	to us
322	mislite	to think
323	dio	part
324	isto	as well, also, too, likewise
325	dvije	two
326	auto	car, automobile
327	istina	truth
328	ovu	this, this one
329	neko	someone, somebody
330	imala	to have, possess, own
331	napraviti	to do, commit
332	mali	small
333	imaju	to have, possess, own
334	njegov	his
335	ljude	people, men
336	dolje	down
337	minuta	minute
338	ovako	in this way, thus, like so
339	bismo	first-person plural aorist of bȉti
340	ko	who
341	prvo	that which is the first
342	rekli	to say
343	mog	genitive masculine/neuter
344	uz	up, upward
345	tip	type
346	imali	to have, possess, own
347	sto	hundred
348	preko	over
349	van	except
350	ovom	this, this one
351	vjerujem	to believe, have faith in
352	otišao	to leave, part, depart
353	kuće	house
354	dati	to give
355	misli	to think
356	pravi	pure, true, genuine
357	zove	to call, to be called
358	mrtav	dead, deceased
359	broj	number
360	majka	mother
361	prijatelj	friend
362	one	they; nonvirile third-person plural pronoun, used for all…
363	radio	to work
364	ruke	arm
365	kasnije	later on, afterwards
366	vjerovati	to believe, have faith in
367	natrag	back, backwards
368	pet	five
369	jednostavno	simply
370	pusti	to let, let go, release
371	ostati	to stay, remain
372	novi	new
373	obitelj	family
374	nekoga	genitive of nȅtko / nȅko
375	kakav	what kind of
376	gotovo	almost, hardly
377	onaj	that, that one
378	svojim	one's own
379	veze	connection, link
380	govori	speech
381	poslije	later
382	iza	behind
383	nju	her
384	napravio	to do, commit
385	posla	job
386	života	life
387	stari	old
388	došli	to come, arrive
389	budi	second-person singular imperative of bȉti
390	važno	importantly
391	ipak	still, however, but, yet, anyway, nevertheless,…
392	svog	one's own
393	pitanje	question
394	uopće	generally, in general
395	zaista	indeed
396	njemu	to him
397	znala	to know
398	ideš	to go, walk
399	njima	to them
400	njom	her
401	želio	to wish, desire
402	sin	son
403	vezi	connection, link
404	sama	self
405	jest	third-person singular present of bȉti
406	također	likewise, also, too
407	žene	genitive singular
408	tada	then, at that time
409	trenutak	moment
410	jutro	morning
411	bog	god, deity
412	vidjeli	to see
413	valjda	probably, likely
414	između	between
415	biste	genitive singular
416	priča	story, tale
417	briga	worry, concern
418	volio	to love
419	pronaći	to find
420	uzeti	to take
421	slučaj	case, occurrence, event, incident
422	najbolje	superlative degree of dòbro
423	morao	to have to; must
424	bar	at least
425	uskoro	soon
426	ha	expresses laughter
427	spreman	ready, prepared
428	ozbiljno	seriously
429	voli	to love
430	jasno	clearly, obviously
431	oca	father
432	noći	night, nighttime
433	svijet	world
434	srce	a heart
435	riječ	word
436	sebi	to myself
437	drži	to hold, grasp
438	sat	clock, watch
439	kuću	house
440	čudno	oddly, weirdly, strangely
441	gde	where
442	jedini	sole, only
443	došla	feminine singular active past participle
444	osoba	person
445	ovoga	filled pause; er, uh, um
446	sjajno	great, magnificently, excellently
447	potpuno	completely, entirely, wholly
448	moći	can, to be able to
449	žele	jelly
450	čega	of what
451	odlično	excellently, terrifically
452	veoma	very, very much, extremely
453	prilično	rather, pretty, quite, fairly
454	grad	city, town
455	našao	to find, discover
456	tek	only, only just, hardly, barely
457	budem	to be, to exist
458	ženu	woman
459	životu	life
460	sretan	happy, merry
461	nemaš	not to have
462	halo	halo
463	oči	eye
464	kojeg	masculine genitive singular
465	nećemo	to wish, want, desire
466	nekog	genitive of nȅtko / nȅko
467	ikada	ever, at any time
468	stalno	continuously
469	lako	easily
470	dečki	boy
471	strane	side
472	četiri	four
473	svijetu	world
474	vidite	second-person plural present
475	sata	clock, watch
476	velika	big, large
477	ideja	idea
478	najbolji	good
479	pred	before, just before, shortly before
480	dvoje	two
481	ljudima	people, men
482	skoro	soon
483	ljubav	love, affection
484	blizu	near, close
485	svih	all, complete, whole
486	e	hey
487	nemamo	not to have
488	jesu	third-person plural present of bȉti
489	kraj	near, next to, beside
490	vani	outside, outdoors, out
491	oružje	weapon
492	momci	a young man, lad
493	negdje	somewhere
494	ponekad	sometimes
495	brat	brother
496	plan	plan
497	ruku	arm
498	ponovno	repeatedly, once again
499	pola	half
500	dečko	boy
501	vratio	to return, come back
502	brod	ship
503	moguće	possibly
504	policija	police
505	k	to
506	kamo	where, in which direction, whither
507	rade	to work
508	prava	pure, true, genuine
509	svom	one's own
510	djevojka	girl, maiden
511	pojma	concept, idea, notion
512	radite	to work
513	brini	to worry
514	razlog	reason, cause
515	mjesta	place
516	sinoć	last night, yesterday night; yesterday evening
517	pištolj	pistol, handgun
518	niti	nor
519	tijelo	body
520	kažu	to say, to state
521	daleko	far
522	lice	face
523	tjedan	week
524	mala	small
525	smrt	death
526	našli	to find, discover
527	ovoj	wrapping, shell, casing, covering
528	radimo	to work
529	živi	live, alive
530	draga	bay, gulf
531	mjestu	place
532	manje	less
533	barem	at least
534	sina	shadow; shade
535	umrijeti	to die
536	novca	money
537	svega	masculine genitive singular
538	pazi	to beware, watch out, be careful
539	sobu	room
540	ikad	ever, at any time
541	pitati	to ask
542	šest	six
543	svima	everyone, everybody
544	budeš	to be, to exist
545	ponovo	repeatedly, once again
546	kraju	end, ending
547	polako	slowly
548	nje	of her
549	oboje	both
550	čujem	to hear
551	djeca	children
552	voliš	to love
553	pitam	to ask
554	pogledajte	to look, glance, cast an eye upon
555	spremni	ready, prepared
556	želimo	to wish, desire
557	umro	to die
558	sobi	room
559	čula	to hear
560	ranije	early
561	šanse	chance, opportunity
562	čim	the, as
563	odakle	whence, from where
564	čuti	to hear
565	vodi	water
566	iako	albeit, although, even though
567	laku	easy
568	uzeo	to take
569	ispod	below, under, beneath
570	dajte	to give
571	njoj	to her
572	nekako	somehow
573	njegove	his
574	otišla	to leave, part, depart
575	gledati	to watch, look, see
576	morati	to have to; must
577	vode	water
578	krv	blood
579	poruku	message
580	smiješno	ridiculously, funnily
581	dođe	to come, arrive
582	dragi	dear
583	gradu	city, town
584	doma	at home, home
585	piće	drink, beverage
586	ujutro	in the morning
587	zbilja	indeed
588	živjeti	to live, exist, be alive
589	bile	moreover, even
590	sestra	sister
591	zanima	to interest
592	pričati	to narrate, tell
593	ostani	to stay, remain
594	ostaviti	to leave
595	putu	road
596	jedino	only, solely
597	rat	war
598	poziv	call
599	znali	to know
600	ubojstvo	murder
601	očito	obviously
602	pitao	to ask
603	ubojica	murderer, killer
604	telefon	telephone
605	ovome	this, this one
606	takav	such, of such kind
607	dogoditi	to happen
608	kuća	house
609	isti	same
610	zadnji	back, rear, hind
611	deset	ten
612	ispred	in front of, before
613	boli	to stab
614	sastanak	tryst
615	ondje	there, over there
616	nekim	instrumental of nȅtko / nȅko
617	naprijed	forward, forwards
618	postoje	to be, exist
619	jedina	sole, only
620	time	masculine/neuter instrumental singular of tȃj
621	san	sleep
622	govoriti	to speak, talk, converse
623	priliku	opportunity
624	pre	before, earlier
625	svim	masculine/neuter instrumental singular
626	neku	some
627	tih	quiet, silent
628	zemlji	earth
629	uvek	always
630	poslu	job
631	doista	truly, indeed
632	večer	evening
633	čuli	to hear
634	poslao	to send
635	zemlju	earth
636	tražio	to seek, look for, search
637	jutros	this morning
638	muž	husband
639	igra	to play
640	zovem	to call, to be called
641	nazvati	to name
642	ovih	masculine genitive plural
643	drugu	friend
644	miru	peace
645	čeka	to wait, await
646	stan	flat, apartment
647	shvatio	to understand, comprehend, grasp, conceive
648	izaći	to go out, leave, come out, get out
649	ostali	to stay, remain
650	živ	live, alive
651	vijesti	news
652	osjećaj	to feel
653	tjedna	week
654	pustiti	to let, let go, release
655	jučer	yesterday
656	kriv	guilty, culpable
657	čekati	to wait, await
658	odgovor	answer
659	inače	otherwise
660	pokazati	to show, demonstrate
661	odvesti	to take, take away
662	jesmo	first-person plural present of bȉti
663	film	film
664	ovi	this, this one
665	druga	friend
666	jedva	barely, hardly, scarcely, only just
667	među	between
668	sljedeći	next, following
669	mjesec	moon
670	desilo	to happen, occur
671	obično	usually, commonly, ordinarily
672	sine	son
673	brata	brother
674	krevet	bed
675	zatim	then, afterwards
676	vrsta	kind, sort
677	piše	to write
678	lud	crazy
679	kojem	which, what
680	dali	masculine plural active past participle of dȁti
681	svakako	certainly, of course
682	gle	look, behold
683	grada	city, town
684	ući	to enter, go into, come in
685	umjesto	instead of
686	pored	beside, next to, alongside
687	nećete	to wish, want, desire
688	djece	children
689	ostalo	to stay, remain
690	vreme	time
691	kraja	end, ending
692	čuješ	to hear
693	uraditi	to do, make
694	razgovor	talk, conversation
695	zaustaviti	to stop
696	dobri	good
697	misle	to think
698	zemlje	earth
699	godinu	year
700	video	video
701	prestati	to stop, quit
702	jebeno	fucking
703	kim	whom
704	savršeno	perfectly
705	smijem	may, can
706	bolji	good
707	njen	her, hers
708	nova	nova
709	drugom	friend
710	završiti	to end, end up, wind up
711	red	row
712	um	mind
713	dobila	to receive, get, obtain, acquire
714	noge	leg
715	strani	side
716	nastavi	to continue
717	momak	a young man, lad
718	početi	to begin, start, commence
719	dom	home, house
720	igrati	to play
721	strašno	terribly, awfully, horribly
722	eto	look, see, behold
723	spasiti	to save, salvage
724	leđa	back
725	ured	office
726	iskreno	sincerely, honestly
727	the	alternative spelling of da
728	često	often
729	osobno	personally
730	roditelji	parent
731	gospodin	gentleman
732	izvan	outside, out of
733	zbogom	goodbye, farewell
734	riješiti	to solve
735	platiti	to pay
736	zauvijek	forever
737	posebno	individually, separately
738	sretno	luckily, with luck, having luck, with the help of luck
739	staviti	to put, place
740	uspio	to succeed, make good
741	saznati	to find out, come to know
742	kćer	alternative form of kćȋ
743	glavni	main, chief, principal
744	nevjerojatno	incredibly, unlikely, unbelievably, improbably
745	sobom	myself
746	oče	father
747	prošli	past, gone by
748	nove	new
749	pravila	rule
750	kome	to whom
751	dopustiti	to allow, permit, let
752	nazad	back, backwards
753	shvatiti	to understand, comprehend, grasp, conceive
754	brinuti	to worry
755	godinama	for years; in years
756	zatvor	prison, jail
757	stara	old
758	držati	to hold, grasp
759	promijeniti	to change
760	kurac	penis, dick, cock
761	napad	attack, assault, aggression
762	milijuna	million
763	pokušaj	attempt, try
764	tiče	bird
765	sedam	seven
766	imena	genitive singular of ȉme
767	kunem	to curse
768	doktor	doctor, physician
769	nemoguće	impossibly
770	izgubiti	to lose, misplace
771	policajac	policeman
772	cura	girl
773	kupiti	to buy, purchase
774	konačno	finally, at last
775	izvući	to pull out, draw out
776	kralj	king
777	pas	dog
778	glas	voice
779	pokušati	to try, attempt
780	našla	to find, discover
781	jesti	to eat, consume
782	nosi	to carry, bring
783	brate	brother
784	slike	picture, image
785	spavati	to sleep
786	sir	cheese
787	šef	chief, boss, manager, director, head
788	hajdemo	let's go
789	pitanju	question
790	novu	new
791	kasno	late
