rank	word	english	ipa
1	to	the, this, that	[ˈto]
2	se	myself	[ˈsɛ]
3	je	to be	[ˈjɛ]
4	a	and	[ˈa]
5	že	that	[ˈʒɛ]
6	jsem	to be	[ˈ(‿j)sɛm]
7	na	on, onto	[ˈna]
8	co	what	[ˈt͡so]
9	v	in	/v/
10	si	myself	[ˈsɪ]
11	tak	so	[ˈtak]
12	ale	but	[ˈalɛ]
13	ne	not	[ˈnɛ]
14	s	with	/s/
15	jsi	to be	[ˈ(‿j)sɪ]
16	já	first-person pronoun; I	[ˈjaː]
17	mi	first-person pronoun; I	[ˈmɪ]
18	mě	me	[ˈmɲɛ]
19	o	about	/o/
20	do	into, in	[ˈdo]
21	jak	how	[ˈjak]
22	ty	you	[ˈtɪ]
23	z	from	/z/
24	jo	yeah, yep, yup	[ˈjo]
25	jste	to be	[ˈ(‿j)stɛ]
26	už	again, already	[ˈuʃ]
27	když	when	[ˈɡdɪʃ]
28	jen	only	[ˈjɛn]
29	jsme	to be	[ˈ(‿j)smɛ]
30	jako	as	[ˈjako]
31	tu	the, this, that	[ˈtu]
32	za	behind	[ˈza]
33	ho	he	[ˈɦo]
34	ti	they, those	[ˈcɪ]
35	by	would	[ˈbɪ]
36	tady	here	[ˈtadɪ]
37	ano	yes	[ˈano]
38	pro	for	[ˈpro]
39	dobře	well	[ˈdobr̝ɛ]
40	není	third-person singular present indicative of nebýt	[ˈnɛɲiː]
41	byl	to be	[ˈbɪl]
42	tě	you	[ˈcɛ]
43	něco	something	[ˈɲɛt͡so]
44	proč	why	[ˈprot͡ʃ]
45	teď	now	[ˈtɛc]
46	no	certainly, indeed, of course	[ˈno]
47	k	to, toward, towards	[k]
48	tam	there	[ˈtam]
49	tohle	this	[ˈtoɦlɛ]
50	mám	to have	[ˈmaːm]
51	jsou	to be	[ˈ‿jsou̯]
52	ten	the, this, that	[ˈtɛn]
53	být	to be	[ˈbiːt]
54	toho	the, this, that	[ˈtoɦo]
55	bude	to be	[ˈbudɛ]
56	bych	to be	[ˈbɪx]
57	vás	you	[ˈvaːs]
