rank	word	english
1	jeg	I
2	det	the
3	er	to be
4	du	thou, you
5	ikke	not
6	at	that
7	i	in, inside
8	en	a, an
9	og	and
10	har	to have, have got
11	vi	we
12	til	to, towards
13	på	on
14	hvad	what
15	med	with
16	så	so, often with a following dependent result clause…
17	for	for
18	mig	first person singular accusative personal pronoun; me
19	der	there
20	han	he
21	dig	you
22	de	plural definite article
23	den	the
24	kan	to be able, can
25	af	by
26	var	to be
27	vil	to want to, be willing to
28	her	here
29	et	a, an
30	skal	will, would, shall, should
31	men	but
32	ved	at, by
33	om	about
34	nu	now
35	ja	yes
36	som	as, like
37	hun	she
38	nej	no
39	min	mine 1.st person singular possessive pronoun
40	noget	a little, a bit, somewhat
41	ham	him: objective of han
42	være	to be
43	bare	just
44	din	your, thy
45	hvor	where
46	må	must, have to, got to
47	hvis	if
48	os	us, objective of vi
49	kom	to come
50	ud	out
51	dem	them
52	godt	well
53	fra	from
54	have	sea, ocean
55	ville	to want to, be willing to
56	se	to see
57	gør	to do, perform, execute
58	hvorfor	wherefore, why
59	alle	all
60	lige	just, recently
61	op	up
62	hende	objective case of hun: her
63	sig	third-person pronoun
64	hvordan	how
65	tror	to believe
66	tak	to thank
67	gøre	to do, perform, execute
68	kunne	to be able, can
69	lad	let
70	kommer	to come
71	havde	to have, have got
72	eller	or
73	meget	very
74	nok	enough
75	få	few
76	da	surely
77	ingen	no
78	man	you, one, they, people
79	gå	to go
80	går	to go
81	hvem	who
82	bliver	to become; the latter is preferred with nouns if a change…
83	efter	after; subsequent; later in time than
84	sagde	to say
85	tilbage	back
86	når	when
87	alt	all
88	måske	perhaps, possibly, maybe
89	også	too, as well, also
90	jo	as you know or should know
91	mit	mine 1.st person singular possessive pronoun
92	ind	in
93	vores	our, ours
94	hej	hi, hello
95	mere	more
96	hans	he
97	skulle	will, would, shall, should
98	blev	to become; the latter is preferred with nouns if a change…
99	nogen	some
100	lidt	a little, slightly
101	aldrig	never
102	får	to get
103	siger	to say
104	selv	self, -self
105	far	father, dad
106	over	above
107	to	two
108	kun	only
109	sådan	like this, like that, in this way, in that way
110	ser	to see
111	dit	your, thy
112	jer	second person plural objective case – you, yourselves
113	igen	again
114	mor	To amuse, entertain
115	sammen	together
116	tager	to take, get, pick up
117	mand	man
118	hele	whole, entire, complete, full
119	deres	their
120	dag	day
121	tage	roof
122	mine	mine 1.st person singular possessive pronoun
123	sige	to say
124	gjorde	to do, perform, execute
125	fordi	because
126	end	than
127	undskyld	to excuse
128	før	before
129	været	to be
130	komme	to come
