rank	word	english	ipa
1	ik	I	/ɪk/
2	je	you	/jə/
3	het	the; it	/(ɦ)ət/
4	de	the	/də/
5	dat	that	/dɑt/
6	is	to be	/ɪs/
7	een	a, an	[eɪ̯n]
8	niet	not	/nit/
9	en	and	/ɛn/
10	van	of	/vɑn/
11	wat	what: e.g. asking for a subject complement; asking for a…	/ʋɑt/
12	we	we; first-person plural subjective personal pronoun	/ʋə/
13	in	in, inside	/ɪn/
14	ze	she; third-person singular feminine subjective personal…	/zə/
15	hij	he; third-person singular masculine subjective personal…	/ɦɛi̯/
16	te	too	/tə/
17	zijn	his; third-person singular masculine possessive determiner	/zɛi̯n/
18	op	up	/ɔp/
19	maar	only, just	/maːr/
20	er	there	/ɛr/
21	met	with, along with	/mɛt/
22	voor	for	/voːr/
23	die	that; referring to a thing or a person further away	/di/
24	heb	to have, to possess, own, hold	/ɦɛp/
25	me	myself; first-person singular reflexive pronoun	/mə/
26	als	if, when	/ɑ(l)s/
27	was	to be, to exist	/ʋɑs/
28	ben	to be, to exist	/bɛn/
29	om	around, about	/ɔm/
30	dit	this; referring to a thing or a person closer by	/dɪt/
31	mijn	my; first-person singular possessive determiner	/mɛi̯n/
32	aan	on	/aːn/
33	u	you	/y/
34	dan	then, at that time	/dɑn/
35	n	abbreviation of noord; north	/ˈɛn/
36	naar	to, towards in time, space, consequence, purpose etc	/naːr/
37	weet	to know, to be aware of something	/ʋeːt/
38	hier	here	/ɦir/
39	zo	so, thus, like that/this	/zoː/
40	jij	you; second-person singular subjective personal pronoun	/jɛi̯/
41	kan	can, to be able to	/kɑn/
42	geen	no, not a, not an, not any	/ɣeːn/
43	nog	still, as before	/nɔx/
44	ja	yes	/jaː/
45	hem	him; third-person singular masculine objective personal…	/ɦɛm/
46	heeft	to have, to possess, own, hold	/ɦeːft/
47	wel	the opposite of not	/ʋɛl/
48	moet	to be necessary, to be required	/mut/
49	wil	to want, desire	/ʋɪl/
50	hebben	to have, to possess, own, hold	/ˈɦɛbə(n)/
51	goed	well	/ɣut/
52	haar	her; third-person singular feminine objective personal…	/ɦaːr/
53	nee	no	[neɪ̯]
54	hoe	how	/ɦu/
55	nu	now, at the present moment	/ny/
56	waar	where, in which place	/ʋaːr/
57	over	over, above	/ˈoː.vər/
58	ook	also, too, moreover	/oːk/
59	doen	to do	/dun/
60	uit	out, from the inside to the outside	/œy̯t/
61	zou	used to form the future tense of a verb, together with an…	/zɑu̯/
62	ga	to go, to move from one place to another	/ɣaː/
63	of	or	/ɔf/
64	gaan	to go, to move from one place to another	[xaːn]
65	bent	to be, to exist	/bɛnt/
66	mij	me; first-person singular objective personal pronoun	/mɛi̯/
67	bij	at, with	/bɛi̯/
68	al	all, all of	/ɑl/
69	ons	us; first-person plural objective personal pronoun	[õs]
70	had	to have, to possess, own, hold	/ɦɑt/
71	iets	something	/its/
72	daar	there	/daːr/
73	jullie	you; second-person plural subjective personal pronoun	/ˈjʏli/
74	gaat	to go, to move from one place to another	/ˈɣaːt/
75	zal	used to form the future tense of a verb, together with an…	/zɑl/
76	m	nonstandard form of 'm	/ˈɛm/
77	hebt	to have, to possess, own, hold	/ɦɛpt/
78	kom	to come	/kɔm/
79	waarom	why, because of what	/ʋaːˈrɔm/
80	meer	anymore, any longer	/meːr/
81	deze	this; referring to a thing or a person closer by	/ˈdeːzə/
82	moeten	to be necessary, to be required	/ˈmutə(n)/
83	t	nonstandard form of 't	/ˈteː/
84	laat	to leave, to cause to remain in the same position or state	/laːt/
85	kunnen	can, to be able to	/ˈkʏnə(n)/
86	dus	so, therefore, thus, ergo	/dʏs/
87	jou	you; second-person singular objective personal pronoun	/jɑu̯/
88	denk	to think	/dɛŋk/
89	wie	who, whom	/ʋi/
90	alles	everything	/ˈɑləs/
91	echt	really	/ɛxt/
92	doe	to do	/du/
93	door	through	/doːr/
94	alleen	only, exclusively	/ɑˈleːn/
95	toch	still, nevertheless, anyway	/tɔx/
96	zien	to see	/zin/
97	weg	away	/ʋɛx/
98	eens	once, one time	/eːns/
99	man	man, human male, either adult or age-irrespective	/mɑn/
100	misschien	perhaps, maybe	/mɪˈsxin/
101	laten	serf	/ˈlaːtə(n)/
102	nooit	never	/noːit/
103	nou	come on; modal particle indicating a certain degree of…	/nɑu̯/
104	zei	to say, tell	/zɛi̯/
105	terug	backwards, back	/təˈrʏx/
106	oké	okay, correct, acceptable, satisfactory	/oːˈkeː/
107	mee	along, together	/meː/
108	niets	nothing	/nits/
109	iemand	someone	/ˈi.mɑnt/
110	komt	to come	/kɔmt/
111	toen	then, subsequently	/tun/
112	veel	many, much, a lot of	/veːl/
113	even	shortly, briefly	/ˈeː.və(n)/
114	onze	our; first-person plural possessive determiner	/ˈɔnzə/
115	gewoon	simply, just	/ɣəˈʋoːn/
116	weten	to know, to be aware of something	/ˈʋeːtə(n)/
117	komen	to come	/ˈkoːmə(n)/
118	nodig	necessarily, badly, urgently	/ˈnoːdəx/
119	mensen	human, any member of the species Homo sapiens	/ˈmɛnsə(n)/
120	tot	to, up to	/tɔt/
121	worden	to become, to get, to grow, to turn	/ˈʋɔrdə(n)/
122	zeggen	to say, tell	/ˈzɛɣə(n)/
123	tijd	time	/tɛi̯t/
124	weer	again, once more	/ʋeːr/
125	leven	to live	/ˈleːvə(n)/
126	twee	two	[tʋeɪ̯]
127	net	tidily, neatly	/nɛt/
128	tegen	against	/ˈteː.ɣə(n)/
129	maken	to make, create, prepare	/ˈmaːkə(n)/
130	uw	your; second-person singular and plural possessive…	/yu̯/
131	zeg	to say, tell	/zɛx/
132	omdat	because	/ɔmˈdɑt/
133	zit	to sit	/zɪt/
134	wordt	to become, to get, to grow, to turn	/ʋɔrt/
135	z	abbreviation of zuid; south	/ˈzɛt/
136	hou	to keep, preserve	/ɦɑu̯/
137	kijk	to look	/kɛi̯k/
138	heel	very	/ɦeːl/
139	wij	we; first-person plural subjective personal pronoun	/ʋɛi̯/
140	altijd	always	/ˈɑl.tɛi̯t/
141	mag	to be allowed	/mɑx/
142	gedaan	to do	/ɣəˈdaːn/
143	dood	a lot	/doːt/
144	zeker	certainly, surely	/ˈzeː.kər/
145	af	off	/ɑf/
146	jaar	year	/jaːr/
147	hun	their; third-person plural possessive determiner	/ɦʏn/
148	wilde	contraction of wilt + gij	/ˈʋɪldə/
149	dag	day	/dɑx/
150	allemaal	all, everyone	/ˈɑləˌmaːl/
151	jouw	your; second-person singular possessive determiner	/jɑu̯/
152	huis	to live	[ɦɜʏ̯s̠]
153	dacht	to think	/dɑx(t)/
154	doet	to do	/dut/
155	vader	father, male parent	/ˈvaː.dər/
156	kunt	can, to be able to	/kʏnt/
157	wacht	to wait	/ʋɑxt/
158	zie	to see	/ˈzi/
159	vrouw	woman	/vrɑu̯/
160	keer	to turn around, to turn around an axis	/keːr/
161	andere	other	/ˈɑndərə/
162	zoals	like, such as	/zoːˈɑls/
163	zij	she; third-person singular feminine subjective personal…	/zɛi̯/
164	dank	gratitude, thanks	/dɑŋk/
165	anders	otherwise	/ˈɑn.dərs/
166	geef	to give	/ɣeːf/
167	waren	to be, to exist	/ˈʋaːrə(n)/
168	willen	to want, desire	/ˈʋɪl.ə(n)/
169	zich	Third person singular and plural reflexive pronoun;…	/zɪx/
170	bedankt	to thank	/bəˈdɑŋkt/
171	één	alternative form of een	[eɪ̯n]
172	erg	very	/ɛrx/
173	wilt	to want, desire	/ʋɪlt/
174	praten	to talk	/ˈpraːtə(n)/
175	spijt	regret	/spɛi̯t/
176	geld	money	/ɣɛlt/
177	kon	can, to be able to	/kɔn/
178	werk	to work, labour	/ʋɛrk/
179	oh	oh	/oː/
180	iedereen	everyone	/ˌidɪːˈreːn/
181	beter	good	/ˈbeːtər/
182	werd	to become, to get, to grow, to turn	/ʋɛrt/
183	moeder	mother, female parent	/ˈmu.dər/
184	niemand	nobody, no one	/ˈni.mɑnt/
185	vinden	to find	/ˈvɪndə(n)/
186	staat	to stand, to be upright	/staːt/
187	gezien	in view of, considering	/ɣəˈzin/
188	niks	nothing	/nɪks/
189	binnen	inside, indoors	/ˈbɪ.nə(n)/
190	zitten	to sit	/ˈzɪtə(n)/
191	zullen	used to form the future tense of a verb, together with an…	/ˈzʏ.lə(n)/
192	na	after	/naː/
193	helpen	to help	/ˈɦɛl.pə(n)/
194	wist	to know, to be aware of something	/ˈʋɪst/
195	vind	to find	/vɪnt/
