rank	word	english	ipa
1	you	The people spoken, or written to, as an object	/jɪ/
2	i	The speaker or writer, referred to as the grammatical…	[aj]
3	the	because it has already been mentioned, is to be completely…	/ðə/
4	to	A particle used for marking the following verb as an…	/ˈtuː/
5	a	An unspecified example of; the indefinite article	/ə/
6	's	Contraction of us, found in the formula let's which is used…	/ɪz/
7	it	The third-person singular neuter personal pronoun used to…	/ət/
8	and	Used simply to connect two noun phrases, adjectives or…	/ˈænd/
9	that	Introducing a clause that is the object of a verb,…	/ðət/
10	't	Contraction of that	
11	of	Since, from	/ʌv/
12	is	To tend to do, often do; marks the habitual aspect	/ˈɪz/
13	in	Contained by; inside	/ən/
14	what	Which, especially which of an open-ended set of…	/wɑt/
15	we	Excluding the person being addressed	/wi/
16	me	As the object of a verb	/mi/
17	this	The here	/ðɪs/
18	he	A person who identifies as male, or animal already known or…	[hi(ː)]
19	for	Because	/fɔɹ/
20	my	Belonging to me	/maɪ/
21	on	To an operating state	/ɑn/
22	have	To possess, own	/ˈ(h)əv/
23	your	Belonging to you; of you; related to you	/jɚ/
24	do	The cardinal number occurring after el and before do one in…	/doʊ/
25	was	To tend to do, often do; marks the habitual aspect	/wəz/
26	'm	Am, used especially in I'm	/əm/
27	no	Not any	/noʊ/
28	not	Negates the meaning of the modified verb	/nɑt/
29	be	To tend to do, often do; marks the habitual aspect	/ˈbiː/
30	are	To tend to do, often do; marks the habitual aspect	/ɛəɹ/
31	don	A university professor, particularly one at Oxford or…	/dɑn/
32	're	An accepted metric unit of area equal to 100 square metres,…	
33	know	Used at the end of a sentence to draw attention to…	/noʊ/
34	can	OK; used at the end of a question when seeking approval or…	/kæn/
35	with	Against	/wɪθ/
36	but	Apart from, except, excluding	/ˈbʌt/
37	all	Every individual or anything of the given class, with no…	/ɔl/
38	so	As a result; for that reason; therefore; because of this;…	/soʊ/
39	just	Only, simply, merely	/d͡ʒʌst/
40	there	In or at a place or location that is perceived to be away…	/ðə(ɹ)/
41	here	In, on, or at this place; compare there	/ˈhɪɚ̯/
42	they	A group of entities previously mentioned	/ˈðeɪ̯/
43	like	As, the way	/laɪ̯k/
44	'll	Will, shall	/əl/
45	get	To obtain; to acquire	/ɡɛt/
46	she	The female person or animal previously mentioned or implied	/ʃi/
47	go	To move through space	/ɡoʊ/
48	if	Supposing that, assuming that, in the circumstances that;…	/ɪf/
49	right	On the right side	/ɹaɪt/
50	out	Away from the inside or centre	/ˈaʊ̯t/
51	about	In a circle around; all round; on every side of; on the…	/əˈbaʊ̯t/
52	up	Away from the surface of the Earth or other planet; in…	/ʌp/
53	at	In, near, or in the general vicinity of	/æt/
54	him	With dative effect or as an indirect object	/ˈhɪm/
55	now	At the present time	/nuː/
56	oh	Expression of surprise	/oʊ/
57	one	The number represented by the Arabic numeral 1; the…	/wʌn/
58	come	Used to indicate a point in time at or after which a stated…	/kʌm/
59	well	Accurately, competently, satisfactorily	/ˈwɛʊ̯/
60	her	Belonging to her	/ˈhɝ/
61	how	To what degree or extent	/haʊ/
