rank	word	english
1	la	the
2	mi	I, the one who is speaking, me, myself
3	vi	you
4	ne	no
5	estas	to be
6	kaj	and
7	ĉu	introduces a yes-no question
8	de	from
9	al	to; toward
10	ni	we
11	en	in, within, inside
12	li	he
13	ke	that
14	por	for, for the benefit of
15	ĉi	here
16	tio	that
17	sed	but
18	ili	they; them
19	kiel	how
20	vin	you
21	tie	there
22	pri	about, regarding, concerning, in relation to
23	min	myself
24	jes	yes
25	kio	what
26	mia	my, mine
27	kun	in the company of, with
28	estis	to be
29	kion	what
30	ĝi	it
31	povas	to be able to; can
32	kiu	who
33	via	your, yours
34	tiu	that person
35	ĝin	it
36	ŝi	she
37	bone	well
38	tion	that
39	se	if
40	volas	to wish, to want
41	havas	to have
42	do	therefore, then, so, indeed, however
43	pli	more
44	nur	only, just
45	oni	one
46	nun	now
47	scias	to know
48	kial	why
49	devas	ought; should; must
50	lin	he
51	el	made of
52	kiam	when
53	unu	one
54	kie	where
55	ja	emphatic particle; indeed, certainly, surely, after all
56	jam	already, prior to some time
57	jen	here is, here are
58	tiel	so
59	nu	well
60	da	Of, -ful
61	sur	on, upon
62	ankaŭ	also, too
63	pro	caused by, because of, owing to, due to
64	tre	very
65	per	by means of, with
66	ĉiuj	everyone
67	je	Indicating a time
68	diris	to say, tell
69	aŭ	or
70	estos	to be
71	ilin	they; them
72	ho	oh
73	vian	your, yours
74	tiun	that
75	iru	to go
76	ĉar	because
77	nin	we
78	nia	our, ours
79	plu	further, longer, more
80	ĉio	everything
81	dum	for
82	mian	my, mine
83	sinjoro	sir, mister
84	ankoraŭ	still
85	dankon	thank you
86	vere	truly, really
87	esti	to be
88	eĉ	even
89	ĝis	until
90	neniam	never
91	venu	to come
92	eble	possibly
93	diras	to say, tell
94	dio	a god
95	ion	something
96	du	two
97	antaŭ	before, prior to
98	ĉe	at
99	ĉiam	at all times, always
100	tiuj	that
101	ol	than
102	post	after
103	iu	some
104	fari	to do
105	tien	thither, to there
106	bezonas	to need
107	plej	most
108	tiom	that much, so much
109	homoj	a human being, person
110	kia	what kind of, which kind of
111	ĉion	everything
112	bona	good
113	certe	certainly; surely
114	bonan	good
115	rigardu	to look at, behold, watch, view
116	faras	to do
117	tuj	immediately
118	patro	father
119	faris	to do
120	bonvolu	please
121	diru	to say, tell
122	sen	without
123	paĉjo	daddy
124	kiuj	who
125	pardonu	to forgive, pardon
126	panjo	mummy, mommy
127	poste	afterwards, later
128	lia	his
129	saluton	hello
130	mem	-self, -selves
131	vidis	to see
132	tempo	time
133	vivo	life
134	tute	entirely; wholly; utterly; completely; totally
135	neniu	nobody, no one
136	kiom	how much
137	tro	too much
138	ŝin	her
139	ek	let's go, hurry up, get going
140	pensas	to think
141	kiun	whom
142	laŭ	according to, in accordance with, conformably to, pursuant…
143	vidas	to see
144	okazas	to happen, to occur
145	nenion	nothing
146	okazis	to happen, to occur
147	viaj	your, yours
148	estu	to be
149	multe	a lot
150	atendu	to wait
151	petas	to ask for, request, beg, bid
152	hodiaŭ	today
153	faru	to do
154	iom	some of
155	diri	to say, tell
156	lasu	to leave
157	granda	big, large
158	komprenas	to understand, comprehend
159	alia	other, another
160	homo	a human being, person
161	tiam	then, at that time
162	miaj	my, mine
163	for	away, far, gone
164	tamen	however, nevertheless
165	venis	to come
166	mondo	world
167	ĉiu	each one, everyone, each person
168	estus	to be
169	ha	ah
170	io	something
171	kien	whither, to where
172	nenio	nothing
173	vidi	to see
174	jaroj	year
175	rapide	rapidly; quickly
176	iras	to go
177	iri	to go
178	ci	thou, you
179	ŝatas	to like, appreciate
180	havis	to have
181	denove	again
182	patrino	mother
183	povus	could
184	tri	three
185	niaj	our, ours
186	ajn	used with ki- and i- correlatives to generalize them,…
187	tagon	day
188	eblas	to be possible
189	volis	to wish, to want
190	parolas	to speak, talk
191	donu	to give
192	sia	belonging to the subject of the sentence
193	aliaj	other, another
194	kredas	to believe
195	kontraŭ	against
196	ĝuste	just; right
197	aŭskultu	to listen
198	rajtas	to have the right to, may
199	unua	first
200	tia	that kind of, such a
201	sian	belonging to the subject of the sentence
202	viajn	your, yours
203	sin	himself, herself, itself, themselves, oneself
204	prenu	to take, get, seize, lay hold of, pick up
205	sola	lone, alone, only, sole
206	konas	to be well acquainted with, be familiar with, know
207	kara	dear
208	nek	neither, nor
209	morgaŭ	tomorrow
210	filo	son
211	bela	beautiful, pretty
212	he	interjection used to attract someone's attention, hey
213	faros	to do
214	tuta	whole, entire
215	ĉiujn	every, all, each
216	gravas	to be important, to matter
217	ŝajnas	to seem; to look outwardly; to look
218	infanoj	child
219	sinjorino	madam, miss
220	vidu	to see
221	venas	to come
222	trovis	to find, to retrieve
223	nomo	name
224	alian	other, another
225	iros	to go
226	kune	together
227	opinias	to think, to have an opinion; to opine
228	iam	sometime, ever
229	timas	to fear
230	helpu	to help
231	afero	thing
232	venos	to come
233	inter	between
234	sentas	to feel, perceive
235	tago	day
236	amas	to love
237	baldaŭ	soon
238	amiko	friend
239	ekde	since
240	simple	simply
241	povos	to be able to; can
242	kompreneble	of course
243	paroli	to speak, talk
244	longe	lengthily
245	preskaŭ	almost, nearly
246	pensis	to think
247	edzino	wife
248	tero	the earth's surface
249	foriru	to leave, go away
250	fartas	to fare
251	bonege	extremely well
252	mortis	to die, pass away
253	ĉesu	to cease, desist, stop
254	frato	brother
255	restu	to remain, to stay
256	ekzistas	to exist
257	tiujn	that
258	vivon	life
259	hej	hey
260	tra	through
261	reĝo	king
262	sub	under, below
263	atentu	to pay attention
264	tutan	whole, entire
265	iun	some
266	aŭdis	to hear
267	haltu	to stop; to halt; to stall
268	milito	war
269	knabo	boy
270	vera	true
271	domo	house
272	helpi	to help
273	loko	place; location; spot
274	aŭdas	to hear
275	vivas	to live
276	povis	to be able to; can
277	kvazaŭ	as if, as though
278	nian	our, ours
279	bedaŭras	to regret, be sorry
280	deziras	to desire, to wish
281	antaŭe	in front, at the front
282	viro	man
283	aspektas	to appear; to look like
284	revenos	to come back, return
285	fratino	sister
286	morto	death
287	unue	firstly; at first
288	bonvole	kindly, please
289	ordo	order
290	sufiĉas	to suffice
291	tempon	time
292	sciis	to know
293	memoras	to remember
294	miajn	my, mine
295	amo	love
296	gvidanto	leader
297	hejmen	to one’s home; home
298	nova	new
299	sufiĉe	sufficiently, adequately
300	moŝto	translates any noble style, either alone or with an…
301	laboro	job, work
302	ŝia	her, hers
303	certas	to be certain
304	kiujn	whom
305	komprenis	to understand, comprehend
306	iomete	slightly, a little
307	devus	ought, should
308	zorgu	to worry
309	amikoj	friend
310	akvo	water
311	fino	end, ending
312	signifas	to signify, mean
313	malfermu	to open
314	iris	to go
315	sankta	holy, sacred
316	ĵus	just
317	devos	ought; should; must
318	kvin	five
319	virino	woman
320	verŝajne	apparently, likely, probably, presumably
321	lando	country, land, nation
322	atendas	to wait
323	kapablas	can; to be able; to be able to
324	koro	heart
325	barono	baron
326	scii	to know
327	manĝi	to eat
328	damne	damn!
329	restos	to remain, to stay
330	lian	his
331	horo	hour
332	monon	money
333	finfine	at last, finally
334	tial	for that reason
335	almenaŭ	at least
336	multaj	many, a lot
337	nokton	night
338	dek	ten
339	mortos	to die, pass away
340	mono	money
341	malbone	badly
342	pretas	to be ready
343	ilia	Their, theirs
344	forgesis	to forget
345	restas	to remain, to stay
346	vojo	way
347	malpli	less
348	donis	to give
349	okazos	to happen, to occur
350	lasta	last
351	ku	alternative form of kuo
352	restis	to remain, to stay
353	decidis	to decide
354	malbona	bad
355	ege	extremely, immensely, greatly
356	eniru	to enter, go in
357	foriri	to leave, go away
358	tagoj	day
359	apud	near
360	urbo	city, town
361	perdis	to lose
362	knabino	girl
363	grava	important
364	bonas	to be good
365	havi	to have
366	kapo	head
367	mankas	to be lacking, be missing; to be wanting
368	niajn	our, ours
369	parolu	to speak, talk
370	ĉielo	sky
371	okuloj	eye
372	momenton	moment, instant
373	vidos	to see
374	lernejo	school
375	temas	to involve, to be about, to concern
376	petis	to ask for, request, beg, bid
377	sidiĝu	to sit down
378	fakte	actually, indeed, in fact, factually
379	devis	ought; should; must
380	alvenis	to arrive
381	morti	to die, pass away
382	nepre	definitely, without fail
383	siajn	belonging to the subject of the sentence
384	trovi	to find, to retrieve
385	jaro	year
386	pravas	to be right, be correct, have a correct opinion
387	diros	to say, tell
388	mortigi	to kill
389	tiaj	that kind of, such a
390	ŝipo	ship
391	resti	to remain, to stay
392	grandan	big, large
393	kapitano	captain
394	havos	to have
395	homojn	a human being, person
396	hejme	at home
397	traduko	translation
398	manĝu	to eat
399	nomiĝas	to be called, to be named
400	sukcesis	to succeed
401	arbaro	forest
402	avinjo	grandma, granny, nanna, nana
403	edzo	husband
404	pordon	door, gate
405	jarojn	year
406	dua	second
407	same	equally
408	kompreni	to understand, comprehend
409	krom	except, save, sans
410	infano	child
411	nederlanda	Dutch
412	rigardas	to look at, behold, watch, view
413	kelkaj	a few, several
414	liaj	his
415	permesu	to let, permit, allow
416	familio	family
417	planedo	planet
418	laboron	job, work
419	vivi	to live
420	kvar	four
421	revenis	to come back, return
422	problemo	problem, trouble
423	daŭre	continually, ceaselessly, incessantly
424	novan	new
425	trovos	to find, to retrieve
426	laboras	to work
427	prenis	to take, get, seize, lay hold of, pick up
428	aferoj	thing
429	silentu	to be silent
430	veni	to come
431	serĉas	to search, seek, look for
432	loĝas	to live; reside, dwell
433	facile	easily
434	rigardi	to look at, behold, watch, view
435	esperas	to hope
436	tenu	to hold, to keep
437	preni	to take, get, seize, lay hold of, pick up
438	vivu	to live
439	minutoj	minute
440	knaboj	boy
441	provu	to try, attempt
442	donos	to give
443	eta	tiny, little, minuscule, slight
444	filino	daughter
445	kamarado	comrade, pal, buddy
446	revenu	to come back, return
447	sukcesos	to succeed
448	donas	to give
449	nokto	night
450	ambaŭ	both
451	neniun	nobody, no one
452	juna	young
453	volus	would
454	ĉiun	every, all, each
455	parolis	to speak, talk
456	manĝas	to eat
457	gepatroj	parents
458	ŝatus	to like, appreciate
459	funkcias	to function, to work
460	trankviliĝu	to calm down, quiet down
461	momento	moment, instant
462	belega	gorgeous
463	manojn	hand
464	pordo	door, gate
465	multajn	much, a lot
466	fine	finally, at last; at the end
467	pardonon	pardon, forgiveness
468	foriris	to leave, go away
469	sama	same; equal
470	iliaj	Their, theirs
471	muziko	music
472	nomon	name
473	stulta	stupid
474	malfrue	late
475	ĉirkaŭ	around
476	prefere	preferably
477	ekstere	outside
478	ricevis	to receive, to get
479	diable	devilishly
480	vesperon	evening
481	prenos	to take, get, seize, lay hold of, pick up
482	ideo	idea, thought, concept
483	eniri	to enter, go in
484	celas	to aim for, aim at
485	lokon	place; location; spot
486	hieraŭ	yesterday
487	ludi	to play
488	matenon	morning
489	akvon	water
490	mortigos	to kill
491	supre	above, upstairs
492	manoj	hand
493	foje	once, one time, on one occasion
494	lo	The name of the Latin script letter L/l
495	princino	princess
496	pastro	priest, pastor
497	alportis	to bring, fetch
498	onklo	uncle
499	aliajn	other, another
500	adiaŭ	goodbye, farewell
501	daŭrigu	to continue
502	libro	a book
503	skribis	to write
504	libera	free
505	frue	early
506	feliĉa	full of well-being, happy
507	estro	a leader, head of something
508	trankvile	quietly
509	chu	H-system spelling of ĉu
510	eliru	to go out, exit
511	kelkajn	some; a few; a bit
512	stultulo	idiot
513	lumo	light
514	helpon	help, aid
515	hejmo	home
516	labori	to work
517	dormas	to sleep
518	montru	to show, to indicate, to point out
519	kuru	to run
520	mortigis	to kill
521	idioto	idiot
522	flugi	to fly
523	si	himself, herself, itself, themselves, oneself
524	helpos	to help
525	ofte	often
526	fojon	time, occasion
527	siaj	belonging to the subject of the sentence
528	scipovas	to know how
529	suno	the Sun
530	eliri	to go out, exit
531	a	The name of the Latin script letter A/a
532	iuj	some
533	metu	to put, place
534	revido	the act of seeing again; a reunion
535	similas	to resemble
536	doloras	to be hurting; to be sore
537	celo	goal, aim, purpose
538	rapidu	to hasten, hurry
539	doni	to give
540	reveni	to come back, return
541	virinoj	woman
542	okulojn	eye
543	forgesu	to forget
544	veron	truth
545	vero	truth
546	caro	tsar, czar
547	intencas	to intend
