rank	word	english	ipa
1	on	to be	/ˈonː/
2	ma	I	/mɑ/
3	ei	no	/ei̯/
4	sa	you, thou	/sɑ/
5	see	this	/ˈseː/
6	et	that	/et/
7	ja	and	/jɑ/
8	ta	he/she	/tɑ/
9	kui	as, like	/ˈkui̯/
10	seda	this	/ˈsed̥ɑ/
11	kas	Used to introduce a yes-or-no question	/kɑs/
12	me	we	/me/
13	mis	what	/mis/
14	mida	what	/ˈmid̥ɑ/
15	pole	contraction of ei + ole	/ˈpole/
16	jah	yes, indeed	/ˈjɑh/
17	aga	but	/ˈɑɡ̊ɑ/
18	oma	own	/ˈomɑ/
19	siis	then, after that	/siːs/
20	nii	this way, so	/ˈniː/
21	olen	to be	/ˈolen/
22	ära	away	/ˈærɑ/
23	oli	to be	/ˈoli/
24	oled	to be	/ˈoled̥/
25	mu	I	/mu/
26	siin	here	/siːn/
27	kõik	all	/ˈkɤi̯k/
28	nad	short form of nemad: they	/ˈnɑd̥/
29	selle	this	/ˈselːe/
30	midagi	something	/ˈmid̥ɑɡ̊i/
31	mind	I	/mind̥/
32	te	you	/te/
33	mul	I	/mul/
34	mulle	I	/ˈmulˑe/
35	minu	I	/ˈminu/
36	kes	who	/kes/
37	su	you, thou	/su/
38	nüüd	now	/nyːd̥/
39	sind	you	/sind̥/
40	kuidas	how, whereby	/ˈkui̯d̥ɑs/
41	ole	to be	/ˈole/
42	ka	also, too	/kɑ/
43	mitte	no, not	/ˈmitːe/
44	välja	out	/ˈvæljɑ/
45	tema	he/she	/ˈtemɑ/
46	nagu	like, as	/ˈnɑɡ̊u/
47	mina	I	/ˈminɑ/
48	sinu	you	/ˈsinu/
49	miks	Interrogative	/ˈmiks/
50	sulle	you, thou	/sˈulːe/
51	veel	yet, still	/veːl/
52	või	or	/vˈɤi̯/
53	meie	we	/mei̯e̯/
54	tagasi	In the opposite direction	/ˈtɑɡ̊ɑsi/
55	sul	you, thou	/ˈsul/
56	hea	good	/ˈheɑ̯/
57	küll	An intensifier corresponding to the English auxiliary do	/ˈkylː/
58	sina	you	/ˈsinɑ/
59	väga	very	/ˈvæɡ̊ɑ/
60	teda	he/she	/ˈted̥ɑ/
61	saa	to get, to receive	/sɑː/
62	seal	there	/seɑ̯l/
63	teie	you	/ˈtei̯e/
64	lihtsalt	simply, just	/lˈihtsɑlt/
65	üks	one	/ˈyks/
66	need	these, those	/neːd̥/
67	kus	where	/kus/
68	oleks	to be	/ˈoleks/
69	palju	many, a lot	/ˈpɑlju/
70	tea	to know	/teɑ̯/
71	teha	to do	/ˈtehɑ/
72	tead	to know	/teɑ̯d̥/
73	siia	here	/siːɑ̯/
74	kuid	although, but	/kui̯d̥/
75	hästi	well, good, fine, all right	/ˈhæsti/
76	pärast	after, afterwards, following, later, past, next	/ˈpærɑst/
