rank	sentence	english
1	You said it!	Yes. That's right.
3	I'm the law.	I am the law!
4	Stick to it!	Stick to it.
7	Come off it!	Come off it.
8	Come and see.	Come and see!
9	What's that?	What is that?
11	Let go of me!	Let go of me.
12	It is on me.	It's on me.
13	He's not in.	He is not in.
14	What a pity!	What a pity.
15	Here we are.	Here we are!
16	It is on me.	It's on me.
17	What's this?	What is this?
18	He is eight.	He's eight years old.
19	Wait for me!	Wait for me.
20	He's my dad.	He is my father.
21	It is on me.	It's on me.
22	Have a seat.	Take a seat.
23	Do your best.	Do your best!
24	Do it again!	Do it again.
25	That was Tom.	It was Tom.
27	No one came.	Nobody came.
28	Do not fold!	Do not fold.
29	Do be quiet.	Do be quiet!
30	Here we are.	Here we are!
33	Let me know.	Let me know!
34	Can Tom swim?	Is Tom able to swim?
35	Come with us.	Come with us!
36	Sad but true.	Sad but true!
37	All is over.	Everything is over.
38	It's so big!	It's so big.
39	Just kidding!	Just kidding.
40	Who's there?	Who is there?
41	Here we are.	Here we are!
42	They limped.	They were limping.
43	I like jazz.	I like jazz music.
45	Get serious.	Get serious!
46	She is nice.	She's nice.
47	You must go.	You must get going.
48	Come if you can.	Come if you can!
49	Tom's right.	Tom is right.
50	Check it out!	Check it out.
51	How about it?	What do you think about it?
52	Hurry it up!	Hurry it up.
53	I'm at home.	I am at home.
54	I killed him.	I took him out.
55	Now, listen!	Now, listen.
56	Oh, you poor thing.	Oh, you poor thing!
57	No one came.	Nobody came.
58	Come off it!	Come off it.
59	All is well.	Everything is OK.
60	Listen to her!	Listen to her.
61	How is life?	How's life?
62	Yeah, me too.	Yes, me too.
64	I will wait.	I'll wait.
65	I've got it.	I have got it.
66	I want more.	I need more.
67	Let me think.	Let me think!
68	As you wish.	As you wish!
69	I can't see!	I can't see.
70	I never did!	Well I never!
71	That's good.	That is good.
72	Who is next?	Who's next?
73	I don't see why.	I don't understand why.
74	I'm from Asia.	I am from Asia.
75	Let me know.	Let me know!
76	His name's Tom.	His name is Tom.
77	Yes, me too.	Yeah, me too.
78	When pigs fly!	When pigs fly.
79	They're going.	They are going.
80	Time for bed.	It's time to go to bed.
81	I'm an adult.	I am an adult.
82	That's okay.	That's OK.
83	Give it back!	Give it back.
84	Do I look OK?	Do I look okay?
85	Come with us.	Come with us!
86	Who would care?	Who cares?
87	Go with them!	Go with them.
88	Where is it?	Where has it got to?
89	We were dating.	We used to date.
90	Take a rest.	Take a rest!
91	Then let us begin.	Let's begin, then.
92	We had a blast.	We had a lot of fun.
93	Now or never.	It's now or never.
94	I've been busy.	I have been busy.
95	That's our car.	That is our car.
96	I'm gonna do it.	I am going to do it.
97	Tell everyone.	Tell everybody.
98	I'm really sorry!	I'm really sorry.
99	He is a man.	He's a man.
100	I want some more.	I need more.
101	I can't say.	I cannot say.
102	Hey, wait up!	Hey, wait up.
103	It could be.	Could be.
105	I'm close by.	I'm nearby.
106	I need help.	I need help!
107	Say something!	Say something.
108	It has begun.	It's begun.
109	I'm too fat.	I am too fat.
110	I want more.	I need more.
111	Do it this way.	Do it this way!
112	Blow me down!	Well, I'll go to the foot of our stairs.
113	Make it brief.	Make it short.
114	I'm very sad.	I am very sad.
115	Never again.	Never again!
116	I'm only a man.	I am only a man.
117	We're people.	We are people.
118	All is over.	Everything is over.
119	It's not because of that.	That's not the reason.
120	Is the cat little?	Is the cat small?
121	Please come.	Please come!
122	I love rock.	I love rock music.
123	This should work.	This should do the trick.
124	Tom is mean.	Tom's mean.
125	You said it!	Yes. That's right.
126	We're sorry.	We are sorry.
127	Give it back!	Give it back.
128	Come off it!	Come off it.
129	I am coming.	I'm coming.
130	No, thank you.	No, thanks.
131	That's not any fun.	That isn't any fun.
132	Come at two.	Come at two o'clock.
133	We are even.	We're even.
134	Nothing much.	Nothing much!
135	Nothing doing!	No way!
136	Are you sure?	Are you certain?
137	What's that thing?	What is that thing?
138	These are my kids.	These are my children.
139	I need help.	I need help!
140	Ladies first.	Ladies first!
141	I burst into tears.	I started to cry.
142	Ask me anything!	Ask me anything.
143	I'm still young.	I am still young.
144	I have to find it.	I've got to find it.
145	That's life.	So goes life!
146	Nothing new.	That's nothing new.
147	I'm sorry, sir. There must've been some mistake.	I'm sorry, sir. There must have been some mistake.
148	Have a nice day.	Have a nice day!
149	God damn it!	God damn it.
150	I will work.	I'll work.
151	Each to their own.	Each to his own.
153	Do it again!	Do it again.
154	Maybe later.	Perhaps later.
155	You must go.	You must get going.
156	He's done it before.	He has done it before.
157	We love each other.	We're in love.
158	Wait for me!	Wait for me.
159	Stop moving!	Stop moving.
160	Call me Tom.	Call me Tom!
161	I'm after him.	I am after him.
162	You have won.	You've won.
163	Tom'll talk.	Tom will talk.
164	He ran away.	He scarpered.
165	5 is less than 8.	Five is less than eight.
166	I thought so!	I thought so.
167	I'm at home.	I am at home.
168	I'm a night owl.	I am a night owl.
169	Put that down.	Put that down!
170	Tom's great.	Tom is great.
171	Those are my CDs.	Those are my CD's.
172	Last night I puked.	Last night I threw up.
173	I am better.	I'm better.
174	Everything is OK.	Everything is fine.
175	I told you so!	I told you so.
176	What is new?	What's new?
177	Things happen.	Things like that happen.
178	He's always busy.	He is always busy.
179	Keep talking!	Don't stop talking!
180	The way is long.	The road is long.
181	I'm 24 years old.	I'm 24.
182	Don't leave!	Don't leave.
183	He does not run.	He doesn't run.
184	I have no money.	I don't have any money.
185	No one's around.	No one is around.
186	My name is Tom.	My name's Tom.
187	No place is safe.	Nowhere is safe.
188	Don't ever leave.	Never leave.
189	I feel sick.	I feel poorly.
190	Good job, guys!	Good job, guys.
191	I'm a father.	I'm a dad.
192	Who's this guy?	Who is this guy?
193	You made it!	You made it.
194	They're old.	They are old.
195	Which is mine?	Which one is mine?
196	It's so big!	It's so big.
197	Thanks a lot!	Thank you very much!
198	I've done it.	I have done it.
199	Hello again.	Hello again!
200	That's nice.	That is nice.
201	I believe in him.	I have trust in him.
202	I am a girl.	I'm a girl.
203	Someone came.	Somebody came.
204	That's fine.	That's fine!
205	Many thanks.	Thank you very much!
206	Tom wanted it.	Tom wanted that.
207	You're so kind.	You are so kind.
208	I am coming.	I'm coming.
209	Tom moved house.	Tom relocated.
210	Every dog has his day.	Every dog has its day.
211	It'll be OK.	It'll be okay.
212	Let me through.	Let me through!
213	Tom's being mean.	Tom is being mean.
214	Yes, of course.	Yes, certainly.
215	Please stay.	Please stay!
216	He's left me.	He has left me.
217	He's my dad.	He is my father.
218	Fair enough!	Fair enough.
219	What happened?	What's happened?
220	Nobody came.	No one came.
221	Tom may win.	Tom might win.
222	I'm a mother.	I am a mother.
223	Tom's wrong.	Tom is wrong.
224	It's a small world.	It is a small world!
225	It's not bad.	It isn't bad.
226	Tom might win.	Tom may win.
227	He's three now.	He's three years old now.
228	It's hot today.	It's warm today.
229	Now, listen!	Now, listen.
230	Give it another go.	Give it another shot.
231	I understand.	I understand!
232	Can you hear me?	Am I coming through okay?
233	I remember it!	I remember it.
234	Ask anybody.	Ask anyone.
235	Each to his own.	Each to their own.
236	Same for me.	The same for me.
237	Show yourself!	Show yourself.
238	Need anything else?	Do you need anything else?
239	Kill 'em all.	Kill them all.
240	Stop talking.	Stop talking!
241	I've found it.	I have found it!
242	Who is next?	Who's next?
243	I'm getting old.	I am getting old!
244	Care to try?	Do you want to try?
245	Stop that car.	Stop that car!
246	Start looking.	Start searching.
247	He's my son.	He is my son.
248	Care to try?	Do you want to try?
249	I'm a woman.	I am a woman.
250	I also went.	I went, too.
251	Hi everybody.	Hello everyone.
252	Tom is dead.	Tom's dead.
253	Many thanks.	Thank you very much!
254	I don't mind.	I do not mind.
255	Hi, my friend!	Hello, my friend!
256	Do your best.	Do your best!
257	I love my mom.	I love my mum.
258	Fucking hell.	Fucking hell!
259	Good morning!	Good morning.
260	I am trying.	I'm trying.
261	There's a boy.	There is a boy.
262	We'll come together.	We will come together.
263	Be yourself!	Be yourself.
264	What's his job?	What is his job?
265	We saw a UFO.	We saw a flying saucer.
266	We're a family.	We are a family.
267	It's not real.	It isn't real.
268	No smoke without fire.	There is no smoke without fire.
269	I love you, baby.	I love you, honey.
270	Go to your room.	Go to your room!
271	Enough already!	Enough, already!
272	Get a move on!	Get a move on.
