rank	sentence	english
1	Aku terluka.	I am injured.
2	Kau agresif.	You're aggressive.
3	Yang itu, kan?	That's it, isn't it?
4	Tidak pasti.	It's not sure.
5	Ini kapalku.	It's my ship.
6	Itu penting?	Is it important?
7	Ya dan tidak.	Yes and no.
8	Dia di sini!	He is here!
9	Dia di sini!	He is here!
10	Kau akan mati.	You're going to die.
11	Apa itu UFO?	What is a UFO?
12	Kita bingung.	We're confused.
13	Ini untuk dijual.	It's for sale.
14	Aku tidak bisa.	I can't.
15	Ada masalah?	What's the matter?
16	Tak mungkin.	Impossible.
17	Mereka haus.	They're thirsty.
18	Anda dokter.	You're a doctor.
19	Beri aku tahu!	Give me tofu!
20	Aku dengan Tom.	I'll stick with Tom.
21	Saya cantik.	I am beautiful.
22	Dari mana kamu?	Where have you been?
23	Ya, tentunya.	Yes, of course.
24	Tapi itu tidak benar!	But that's incorrect.
25	Kami sepupu.	We are cousins.
26	Mau ke mana?	Where are you going?
27	Saya harus tidur	I have to sleep.
28	Sudah makan?	Have you already eaten?
29	Kamu kenapa?	Is something wrong with you?
30	Aku adalah kamu.	I am you.
31	Siapa orang itu?	Who is that person?
32	Santai saja.	Take your time.
33	Dia tidak seperti itu.	He's not like that.
34	Aku ingin mati!	I want to die!
35	Jika baik ada cacatnya.	Nobody is perfect.
36	Jangan pergi.	Don't go.
37	Hanya sedikit.	Just a little bit.
38	Kita semua haus.	We're all thirsty.
39	Sekarang malam.	It's night.
40	Dia di sini!	He is here!
41	Jadi siapa namamu?	So, what's your name?
42	Di dalam gelap.	It's dark inside.
43	Ini bukan bor.	This is not a drill.
44	Matang lebih baik.	Mature is better.
45	Bagaimana kakimu?	How's your foot?
46	Jangan mati!	Don't die!
47	Datang lagi?	Come again?
48	Aku punya ide.	I have an idea.
49	Lebih keras.	Louder.
50	Bertanyalah pada Tom.	Ask Tom.
51	Tak mungkin.	Impossible.
52	Kalian suka?	Do you like it?
53	Lakukan saja.	Just do it.
54	Tom syok karena ini.	Tom was shocked by this.
55	Tom sangat tua.	Tom is very old.
56	Beri aku satu.	Give me one.
57	Aku juga Tom.	I'm also Tom.
58	Apakah dia Tom?	Was he Tom?
59	Mau ke mana?	Where are you going?
60	Pernah ke Amerika?	Have you ever been to America?
61	Siapa namamu?	What is your name?
62	Aku telah gagal.	I've failed.
63	Ayo kembali.	Let's turn back.
64	Hal ini sangat penting.	This matter is of great importance.
65	Saat masada.	The watch is on the table.
66	Kamu kenapa?	Is something wrong with you?
67	Hari ini panas.	It's hot today.
68	Ayo kembali.	Let's turn back.
69	Ya atau tidak?	Yes or no?
70	Datang lagi?	Come again?
71	Begitu rupanya.	I see.
72	Makanlah sesuatu.	Eat something.
73	Airnya banyak.	There is plenty of water.
74	Menang benar?	Is it really true?
75	Terima kasih!	Thank you!
76	Tom menjadi buta.	Tom became blind.
77	Aku melihat.	I see.
78	Apa yang terjadi?	What happened?
79	Dia sudah melakukan itu.	He already did that.
80	Terima kasih!	Thank you!
81	Ceritakan tentang dia.	Tell me about him.
82	Lihat bajumu!	Look at your clothes!
83	Dia seorang siswa.	He is a student.
84	Aku tahu bahwa aku salah.	I know that I was wrong.
85	Kalau kamu mau.	If you want.
86	Kerja bagus!	Well done!
87	Ibumu bilang apa?	What does your mom say?
88	Masih lapar?	Still hungry?
89	Tanpa nama, oke?	No names, OK?
90	Ada yang lain?	Anything else?
91	Kamu di sana.	You're there.
92	Waktu habis!	Time's up.
93	Baiklah, kamu menang.	OK, you win.
94	Itu tempat tidurku.	That's my bed.
95	Mau ke mana?	Where are you going?
96	Yuk, keluar.	Now, let's go outside.
97	Pikir dulu, lalu ngomong	First think, and then speak.
98	Selamat malam.	Good evening.
99	Aku minta maaf.	I ask forgiveness.
100	Dia membuat spageti.	He made spaghetti.
101	Jangan mati!	Don't die!
102	Dia sedang lari	She is running.
103	Dia memiliki anggur.	He has wine.
104	Ini tahun berapa?	What year is this?
105	Mahal sekali.	It's really expensive.
106	Sampai jumpa!	Good-bye!
107	Anak pintar!	Good boy!
108	Bukuku baru.	My book is new.
109	Kalian dapat apa?	What've you got?
110	Tom punya beberapa.	Tom has some.
111	Ini ayah saya.	This is my father.
112	Tom pergi sendiri?	Did Tom go alone?
113	Jangan katakan itu!	Don't say that.
114	Aku mayat hidup!	I'm a zombie!
115	Mengapa ia sibuk?	Why is he busy?
116	Beri saya sebuah.	Give me one.
117	Aku perlu uang.	I need money.
118	Yang itu, kan?	That's it, isn't it?
119	Semuanya sama.	They are all the same.
120	Tunggu sebentar.	Wait a moment.
121	Apa itu salah?	Is that wrong?
122	Semuanya sama.	They are all the same.
123	Tom di rumah.	Tom's home.
124	Dia mengatakan itu.	He said it.
125	Ia menikahinya.	She married him.
126	Ketika babi dapat terbang!	When pigs fly!
127	Jangan masuk.	Stay outside.
128	Lebih cepat!	Faster!
129	Dengar kataku!	Listen to what I'm saying.
130	Besar banget!	It's so big!
131	Ada yang salah disini.	There's something wrong here.
132	Aku pikir aku paham.	I think I understand.
133	Tidak pasti.	It's not sure.
135	Dia ibu kami.	She's our mother.
136	Ada masalah?	What's the matter?
137	Aku benar-benar capek.	I'm all in.
138	Dia belum siap.	He was not ready.
139	Pak Dokter datang.	The doctor came.
140	Jangan bicara!	Don't talk!
141	Satu dua tiga…	One two three...
142	Ya, tentu saja.	Yes, of course.
143	Selamat pagi!	Good morning!
144	Sudah cukup!	Enough already!
145	Ini selalu enak.	This has been good.
146	Tuhan tidak ada.	God doesn't exist.
147	Kalian suka?	Do you like it?
148	Ada seseorang di aula.	There's someone in the hall.
149	Awasi pria itu.	Keep watch on that man.
150	Setelah hujan. Jalanan basah.	It's been raining. The roads are wet.
151	Aku mengerti!	Got it!
152	Tolong saya！	Give me a hand!
153	Dimana bukunya?	Where is the book?
154	Bahkan Tom sedikit terkejut.	Even Tom is a little surprised.
155	Tidak apa-apa.	Don't mention it.
156	Sami berada di bank.	Sami was at the bank.
157	Mary menemukan Tom.	Mary found Tom.
158	Hanya sedikit.	Just a little bit.
159	Kita bisa bertemu.	We can meet.
160	Boleh saya mendapatkan bantal?	Can I get a pillow?
161	Percaya padaku.	Trust me.
162	Aku terilhami oleh Tom.	I was inspired by Tom.
163	Sudah makan?	Have you already eaten?
164	Lama tak berjumpa.	Long time, no see.
165	Lihat di atas	See above.
166	dia marah kepada ku	She is mad at me.
167	Selamat tinggal.	Farewell.
168	Tom masih bekerja.	Tom still works.
169	Terlalu mahal!	It's too expensive!
170	Siapa wanita itu?	Who is that lady?
171	Aku anggap itu sebagai pujian.	I'll take that as a compliment.
172	Sayang sekali.	That's unlucky.
173	Dua kali sebulan.	It's twice a month.
174	Tetap buka matamu.	Keep your eyes open.
175	Apa kau yakin?	Are you sure?
176	Hanya ada satu cara.	There's only one way.
177	Yanni berhenti.	Yanni stopped.
178	Jalan ini luas.	This street is wide.
179	Setiap orang itu unik.	Every person is unique.
180	Tom sedang berpikir.	Tom is thinking.
181	Aku mulai lapar.	I'm getting hungry.
182	Halo, dunia!	Hello, world!
183	Mari berpesta.	Let's party.
184	Tom membunuh Mary.	Tom killed Mary.
185	Aku tidur selama delapan jam.	I slept for eight hours.
186	Di luar panas.	It's hot outside.
187	Buku itu kecil.	That book is small.
188	Aku yang pertama.	I'm first.
189	Sebelum makan?	Before eating?
190	Dia bunuh diri.	He committed suicide.
191	Pergi bersama Tuhan!	Go with God!
192	Tom mengambil alih situasi.	Tom took charge of the situation.
193	Boleh saya lihat?	May I look at it?
194	Merasa baikan?	Feel better?
195	Kami masih mencari.	We're still searching.
196	Aku perlu uang.	I need money.
197	Majalah apapun boleh.	Any magazine will do.
198	Saya senang.	I am happy.
199	Tom butuh air.	Tom needs water.
200	Ayolah, mari kita lakukan.	Come on, let's do it.
201	Aku teman Tom.	I'm Tom's friend.
202	Dia tahu yang sebenarnya.	He knows the truth.
203	Kami mencoba.	We try.
204	Gadis itu temanku.	That girl is my friend.
205	Baca ini dulu.	Read this first.
206	Tanpa nama, oke?	No names, OK?
207	Jam berdetik.	The clock is ticking.
208	Semakin buruk	It's getting worse and worse.
209	Para ayah bekerja.	The fathers work.
210	Saya polisi.	I'm a policeman.
211	Mary membawa semangka.	Mary is carrying a watermelon.
212	Berapa usiamu?	How old are you?
213	Orang-orang itu gila!	Those folks are insane!
214	Itulah saya.	That's me.
215	Aku tidak ingat.	I don't remember.
216	Kemudian ada masalah ...	Then there is a problem...
217	Kalian siap?	Are you ready?
218	Terus kenapa?	So what?
219	Dia gila judi.	He is mad on gambling.
220	Dokter pun datang.	The doctor came.
221	Tuan Smith adalah kenalannya.	Mr Smith is an acquaintance of hers.
222	Ibuku sakit.	My mother is sick.
223	Selamat tidur!	Good night!
224	Jim belum pulang.	Jim hasn't been home yet.
225	Datanglah segera.	Come soon.
226	Ini seharusnya mudah.	This shouldn't be hard.
227	dia marah kepada ku	She is mad at me.
228	Kau memang benar.	You are absolutely right.
229	Jangan takut.	Don't be afraid.
230	Kendalikan dirimu!	Control yourself!
231	Halo, dunia!	Hello, world!
232	Dia terlihat muda.	He looks young.
233	Nama saya Tom.	My name is Tom.
235	Sial! Aku harus kerja lembur lagi.	Rats! I've got to work overtime again.
236	Tom berbicara.	Tom speaks.
237	Aku minta maaf.	I ask forgiveness.
238	Aku suka kota ini.	I like this city.
239	Itu mobil Tom.	That's Tom's car.
240	Kami membantu Tom.	We help Tom.
241	Ini yang terakhir!	This is the last straw!
242	Itu luar biasa.	That's wonderful.
243	Aku cinta kamu.	I love you.
244	Tom itu seumuran dengan mu	Tom is exactly the same age as you.
245	Senin depan libur.	Next Monday is a holiday.
246	Tunggu sebentar.	Wait a moment.
247	Aku rasa tidak.	I don't think so.
248	Bagian mana yang salah?	Which part is wrong?
249	Pacarku bodoh.	My boyfriend is stupid.
250	Sialan, Tom. Jangan terulang kembali!	Dammit, Tom, not again!
251	Dia manusia.	She is human.
252	Satu dua tiga…	One two three...
253	Kita berhasil!	We succeeded!
254	Sungguh hari yang indah!	What a nice day!
255	Saya mendengar Anda.	I hear you.
256	Tepat sekali!	That's right!
257	Ada di bawah kursi.	It is under the chair.
258	Berikan uangmu.	Give me your money.
259	Ambil mangkuk.	Get a bowl.
260	Selamat pagi!	Good morning!
