rank	sentence	english
1	Ang taba ko.	I'm so fat.
2	Ingat sa aso!	Beware of the dog!
3	Tapos ka na?	Are you finished?
4	Alam ng lahat.	Everybody knows.
5	Alak mo 'to.	This is your wine.
6	Blow-awt ko.	It's my treat.
7	Bakit hindi?	Why not?
8	Matapat ako.	I'm an honest person.
9	Lumingon ka!	Look back!
10	At ano ngayon?	And so?
11	Mga ibon ito.	These are birds.
12	Ako ay bakla.	I'm gay.
13	Madali lang!	Piece of cake!
14	Aalis ka ba?	Are you leaving?
15	Mahirap ito.	This is difficult.
16	Mabait siya.	She is kind.
17	Oo, kung minsan.	Yes, sometimes.
18	Para kanino ito?	Who is this for?
19	Wala si Tom.	Tom isn't in.
20	At ano ngayon?	And so?
21	Nasaan kayo?	Where are you?
22	Halika dito.	Come here.
23	Alam ni Tom.	Tom knows.
24	May tumawag.	Someone called.
25	Uminom tayo.	Let's drink.
26	Oo nga, pero hindi.	Well yes, but actually no.
27	Lahat o wala.	All or nothing.
28	Ihalo mo pa.	Keep stirring.
29	Tama ka nga.	You were right.
30	Gusto mo ba?	Do you dig it?
31	Oo, paki' nga.	Yes, please.
32	Alam ni Tom.	Tom knows.
33	Inapi niya ako.	He took an unfriendly attitude toward me.
34	Wala si Tom.	Tom isn't in.
35	Nagawa natin.	We succeeded.
36	Ayan na naman!	Oh no, not again!
38	Lunes ngayon.	It's Monday.
39	Nanalo kami!	We've won!
40	Sige na. Subukan mo.	Come on. Give it a try.
41	Tiniis namin.	We endured.
42	Nanalo sila.	They gained a victory.
43	Kailangan kita.	I need you.
44	Bakit hindi?	Why not?
45	Sobra na yan!	That's too much!
46	Kaya ko ito.	I've got this under control.
47	Ikaw bahala.	You decide.
48	Di siya tao.	She's not human.
49	Akin ang paso.	The pot was mine.
50	Mahaba iyon.	That is long.
51	Hindi talaga.	Not at all.
52	Di siya tao.	She's not human.
53	Isa kang bato.	You're a rock.
54	Sabihin mo na.	Spill it.
55	Pumili ng isa.	Choose one.
56	Wala nang tayo.	We're not together anymore.
57	Kilala mo sya?	Do you know who he is?
58	Nakita ko yun.	I saw that.
59	Tikman niyo.	Taste it.
60	Iyan ay dahil babae ka.	That's because you're a girl.
61	Iniintriga nya ako.	He intrigues me.
62	Huwag sobra.	Don't overdo it.
63	Nasa bahay ako.	I am at home.
64	Sa iyo ba ito?	Is this yours?
65	Sino si Tom?	Who's Tom?
66	Ambabaho nila.	They smell bad.
67	Kilala kita.	I know you.
68	Alam ng Diyos.	God knows.
69	Meron bang saging?	Are there any bananas?
70	Sinong may sabi?	Who said it?
71	Ganyan ang buhay!	That's life.
72	Galing saan?	From where?
73	Tao rin kami.	We're people, too.
74	Salamat sayo!	Thank you!
75	Wag magsalita!	Don't talk!
76	Meron bang saging?	Are there any bananas?
77	Subukan natin to.	Let's try something.
78	Okey na kahit alin.	Either one will do.
79	Umalis sila.	They left.
80	Sino dapat una?	Who should start?
81	Gayon din po.	Likewise.
82	Isa iyong himala.	It was a miracle.
83	Magandang araw.	Good day.
84	Siguro tama ka.	Perhaps you're right.
85	Pakiulit po.	Pardon me?
86	Pumunta doon.	Go there.
87	Ipagpalagay natin na tama ka nga. Eh ano ngayon?	Let's assume you're right. So what?
88	Itigil iyan.	Stop it.
89	Paano lutuin ito?	How do you prepare this dish?
90	Gawin mo bukas.	Do it tomorrow.
91	Kay Tom ang aso.	The dog is Tom's.
92	Ito'y maliit na mundo.	It's a small world.
93	Oh, ano'ng nangyari sa kanya?	Well, what happened to her?
94	Hoy, gising.	Hey, wake up.
95	Nasaan ang iba?	Where's everyone else?
96	Kaibigan kita.	I'm your friend.
97	Sinong tama?	Who's right?
98	Tulad ko, maraming kaibigan si Lucy.	Like me, Lucy has many friends.
99	Pumunta doon.	Go there.
100	Teka, huwag mong ibaba!	Wait, don't take that down!
102	Tapos ka na?	Are you finished?
103	Iba ang ibig sabihin.	It doesn't mean the same thing.
104	Kapag tama ka, tama ka.	When you're right, you're right.
105	Anong ginagawa mo?	What have you been doing?
106	Nag-taxi ako kasi umuulan.	I took a taxi because it was raining.
107	Ilang taon ka na?	How old are you?
108	Nasaan kayo?	Where are you?
109	Maging maingat.	Use caution.
110	Mula sila rito.	They're from here.
111	Tingnan mo ako.	Look at me.
112	Mas mabuti ito.	This is better.
113	Puwede na iyan.	That would be sufficient.
114	Naghintay pala si Tom.	Tom apparently waited.
115	Bago ka ba rito?	Are you new here?
116	Magandang gabi.	Good evening.
117	Nandito sila.	They are here.
118	Sino ang ating kalaban?	Who are we fighting?
119	Sumilong ka muna.	Take shelter first.
120	Tungkol saan?	What about?
121	Sa kaniya ito.	This is hers.
122	Sana mamatay ka.	I hope you die.
123	Bahay ko ito.	This is my home.
124	Hindi totoo.	It's not real.
125	Ano'ng oras na?	What time is it?
126	Tikman ninyo.	Taste it.
127	Parang gutom siya.	He appeared hungry.
