rank	word	english	ipa
1	on	to be	/ˈon/
2	ei	The negative verb or negation verb; not, be not, do not, etc	/ˈei̯/
3	ja	and	/ˈjɑ/
4	se	that	/ˈse/
5	hän	he, she, one, they sg	/ˈhæn/
6	en	The negative verb or negation verb; not, be not, do not, etc	/ˈen/
7	mitä	the	/ˈmitæ/
8	että	that	/ˈetːæ/
9	ole	to be	/ˈoleˣ/
10	olen	to be	/ˈolen/
11	oli	to be	/ˈoli/
12	niin	like that, in that way, so	/ˈniːn/
13	mutta	but	/ˈmutːɑ/
14	sen	that	/ˈsen/
15	vain	only, merely, exclusively, solely, just	/ˈʋɑi̯n/
16	minä	I	/ˈminæ/
17	jos	if	/ˈjos/
18	tämä	this	/ˈtæmæ/
19	nyt	now	/ˈnyt/
20	voi	butter	/ˈʋoi̯/
21	sinä	you, thou	/ˈsinæ/
22	olet	to be	/ˈolet/
23	kun	when, as, while	/ˈkun/
24	sitä	the	/ˈsitæ/
25	kuin	as if	/ˈkui̯n/
26	he	they	/ˈhe/
27	hänen	he, she, one, they sg	/ˈhænen/
28	täällä	here, over here	/ˈtæːlːæ/
29	olla	to be	/ˈolːɑˣ/
30	et	apocopic form of että	/ˈet/
31	kaikki	everything	/ˈkɑi̯kːi/
32	minun	I	/ˈminun/
33	ovat	to be	/ˈovat/
34	hyvä	good	/ˈhyʋæ/
35	minua	I	/ˈminuɑ/
36	sitten	then	/ˈsitːen/
37	onko	to be	/ˈoŋko/
38	miksi	why	/ˈmiksi/
39	sinua	you, thou	/ˈsinuɑ/
40	miten	how	/ˈmiten/
41	sinun	you, thou	/ˈsinun/
42	älä	The negative verb or negation verb; not, be not, do not, etc	/ˈælæ/
43	siitä	from there, thence	/ˈsiːtæ/
44	hänet	he, she, one, they sg	/ˈhænet/
45	mitään	anything, any; nothing, no	/ˈmitæːn/
46	kyllä	an intensifier; corresponds to the English auxiliary do in…	/ˈkylːæ/
47	kiitos	thanks to	/ˈkiːtos/
48	hei	hi	/ˈhei̯/
49	mikä	what, which	/ˈmikæ/
50	olisi	to be	/ˈolisi/
51	ne	that	/ˈne/
52	kanssa	with	/ˈkɑnsːɑ/
53	pitää	to hold, grasp, grip	/ˈpitæːˣ/
54	joka	who, which, that	/ˈjokɑ/
55	ollut	to be	/ˈolːut/
56	tai	or	/ˈtɑi̯(ˣ)/
57	häntä	he, she, one, they sg	/ˈhæntæ/
58	tässä	here	/ˈtæsːæ/
59	tiedä	to know, be aware of	/ˈtiedæ/
60	minulle	I	/ˈminulːeˣ/
61	minulla	I	/ˈminulːɑ/
62	jotain	something	/ˈjotain/
63	ehkä	perhaps, maybe	/ˈehkæ/
64	missä	where	/ˈmisːæ/
65	tuo	that	/ˈtuo̯/
66	minut	I	/ˈminut/
67	me	we	/ˈme/
68	oletko	to be	/ˈoletko/
69	kuka	who	/ˈkukɑ/
70	hyvin	well	/ˈhyʋin/
71	anteeksi	sorry, I'm sorry	/ˈɑnteːksi/
72	vielä	yet	/ˈʋie̯læ/
73	tämän	this	/ˈtæmæn/
74	sinut	you, thou	/ˈsinut/
75	sinulle	you, thou	/ˈsinulːeˣ/
76	jo	already	/ˈjo/
77	koska	because, since	/ˈkoskɑ/
78	haluan	to want, desire, wish, crave	/ˈhaluan/
79	olemme	to be	/ˈolemme/
80	tiedän	to know, be aware of	/ˈtiedæn/
81	tehdä	to do, perform, execute, carry out	/ˈtehdæˣ/
82	tänne	here, hither	/ˈtænːeˣ/
83	meidän	we	/ˈmei̯dæn/
84	emme	The negative verb or negation verb; not, be not, do not, etc	/ˈemːe/
85	saa	to get, receive	/ˈsɑː/
86	tule	to come	/ˈtule/
87	paljon	a lot, plenty, much	/ˈpɑljon/
88	siellä	there	/ˈsie̯lːæ/
89	anna	to give	/ˈɑnːɑˣ/
90	eivät	The negative verb or negation verb; not, be not, do not, etc	/ˈei̯ʋæt/
91	tätä	this	/ˈtætæ/
92	pois	away, off	/ˈpoi̯s/
93	ennen	before, prior to	/ˈenːen/
94	sinulla	you, thou	/ˈsinulːɑ/
95	täytyy	must, have to	/ˈtæy̯tyː/
96	aina	always	/ˈɑi̯nɑ/
97	tulee	to come	/ˈtuleː/
98	siinä	there	/ˈsiːnæ/
99	enää	any more, any longer	/ˈenæː/
100	eikö	The negative verb or negation verb; not, be not, do not, etc	/ˈeikø/
101	takaisin	back	/ˈtɑkɑi̯sin/
102	herra	Mister	/ˈherːɑ/
103	mistä	from where, whence	/ˈmistæ/
104	selvä	clear	/ˈselʋæ/
105	yksi	one	/ˈyksi/
106	te	you	/ˈte/
107	juuri	right, just, exactly, precisely	/ˈjuːri/
108	näin	in this way, like this, so, thus	/ˈnæi̯n/
109	halua	desire, wish, want	/ˈhalua/
110	pitäisi	to hold, grasp, grip	/ˈpitæisɪ/
111	kuinka	how	/ˈkui̯ŋkɑ/
112	vai	or	/ˈʋɑi̯/
113	koko	whole, entire	/ˈkoko/
114	joku	someone, somebody	/ˈjoku/
115	meillä	we	/ˈmei̯lːæ/
116	olin	to be	/ˈolɪn/
117	kaksi	two	/ˈkɑksi/
118	hänelle	he, she, one, they sg	/ˈhænelːeˣ/
119	mennä	to go	/ˈmenːæˣ/
120	koskaan	ever; never	/ˈkoskɑːn/
121	tästä	from here, hither	/ˈtæstæ/
122	tietää	to know, be aware of	/ˈtie̯tæːˣ/
123	kai	probably, I guess	/ˈkɑi̯(ˣ)/
124	mies	man	/ˈmie̯s/
125	joten	so, therefore, hence, whereupon, thus	/ˈjoten/
126	aivan	very, rather, quite	/ˈɑi̯ʋɑn/
127	voin	butter	/ˈvoin/
128	ihan	very, rather, quite	/ˈihɑn/
129	no	well!	/ˈno/
130	siis	therefore, so, thus	/ˈsiːs/
131	totta	truth, reality, real thing	/ˈtotːɑ/
132	isä	father	/ˈisæ/
133	entä	what about	/ˈentæ/
134	aika	quite, rather, fairly	/ˈɑi̯kɑ/
135	siihen	there, thither	/ˈsiːhen/
136	mene	to go	/ˈmene/
137	oikein	correctly	/ˈoi̯kei̯n/
138	kuten	as, like	/ˈkuten/
139	vähän	few	/ˈʋæhæn/
140	olette	to be	/ˈoletːe/
141	edes	even	/ˈedes/
142	teet	to do, perform, execute, carry out	/ˈteːt/
143	äiti	mother	/ˈæi̯ti/
144	eikä	nor	/ˈei̯kæ/
145	todella	really, for real, truly	/ˈtodelːɑ/
146	hyvää	good	/ˈhyvæː/
147	voit	butter	/ˈvoit/
148	aikaa	time	/ˈaikaː/
149	kukaan	anybody, anyone; no-one, none, nobody	/ˈkukɑːn/
150	haluat	to want, desire, wish, crave	/ˈhaluat/
151	mukaan	along, with one, on	/ˈmukɑːn/
152	kunnossa	in shape	/ˈkunːosːɑ/
153	minusta	I	/ˈminustɑ/
154	itse	oneself, itself	/ˈitse(ˣ)/
155	myös	also, too, likewise, as well	/ˈmyø̯s/
156	vaan	but, rather	/ˈʋɑːn/
157	sanoi	to say, tell	/ˈsɑnoi̯/
158	sillä	for, since, because	/ˈsilːæ/
159	kaiken	everything	/ˈkaiken/
160	ettei	contraction of että + ei, literally “that not”	/ˈetːei̯/
161	noin	so, in that way, like that	/ˈnoi̯n/
162	ulos	out, outside; outdoors	/ˈulos/
163	hänellä	he, she, one, they sg	/ˈhænelːæ/
164	auttaa	to help, assist, give assistance, lend a hand, aid	/ˈɑu̯tːɑːˣ/
165	taas	again, another time, once again	/ˈtɑːs/
166	jälkeen	after, since	/ˈjælkeːn/
