rank	word	english
1	de	of, from
2	je	I
3	est	to be
4	pas	not
5	le	the
6	que	that
7	la	the; her
8	vous	you
9	tu	you
10	un	an, a
11	c'	apocopic form of ce
12	à	to
13	et	and
14	il	he
15	a	has
16	l'	apocopic form of le, la: the
17	ne	not
18	les	the
19	j'	I
20	en	in
21	on	one, people, you, someone
22	ça	that
23	une	an, a
24	d'	apocopic form of de: of
25	ce	this, that
26	qu'	apocopic form of que
27	pour	for
28	ai	to have; to own; to possess; to get
29	n'	Prevocalic form of ne
30	des	contraction of de + les, literally “of the, from the, some”
31	qui	who, whom
32	mais	but, although
33	dans	in, inside
34	nous	we
35	elle	she
36	me	me
37	bien	well
38	si	if, whether
39	du	contraction of de + le, literally “of the”
40	y	there
41	suis	to be
42	non	no
43	t'	elided form of te
44	avec	with
45	tout	all
46	plus	more, -er
47	mon	my
48	m'	prevocalic form of me
49	te	you
50	au	contraction of à + le, literally “to the, for the, at the”
51	fait	to do
52	moi	me
53	s'	Elision of si before il or ils
54	oui	yes
55	va	to go
56	était	to be
57	as	to have; to own; to possess; to get
58	faire	to do
59	ils	they
60	sur	on, upon
61	quoi	what
62	se	himself
63	comme	as
64	sais	to know
65	être	to be
66	veux	to want, wish, desire
67	ici	here
68	ma	my
69	toi	you
70	dit	to say, to tell
71	lui	him, he, it; the third-person masculine singular personal…
72	votre	your, belonging to you
73	es	to be
74	pourquoi	why
75	où	where
76	là	there
77	rien	nothing
78	cette	this, that
79	sont	to be
80	quand	when
81	peux	can, to be able to
82	dire	to say, to tell
83	son	his, her, their, its
84	avez	to have; to own; to possess; to get
85	vais	to go
86	alors	then
87	ton	your
88	comment	how
89	par	through
90	ou	or
91	chose	thing
92	bon	good
93	ont	to have; to own; to possess; to get
94	merci	thank you
95	juste	exactly, precisely
96	très	very
97	jamais	never
98	été	to be
99	aussi	too, also, as well
100	avoir	to have; to own; to possess; to get
101	vraiment	truly, really, genuinely
102	voir	please
103	même	even
104	sa	his, her, its, their, one's
105	oh	oh
106	maintenant	now, currently
107	tous	all
108	peut	can, to be able to
109	deux	two
110	ces	this, that
111	êtes	to be
112	allez	to go
113	ta	your
114	autre	another
115	peu	little; not very much/many
116	temps	time
117	quelque	some
118	fais	to do
119	toujours	always
120	encore	still
121	notre	our
122	mes	my
123	besoin	need
124	avait	to have; to own; to possess; to get
125	accord	chord
126	faut	to need, have to, to be necessary
127	dois	must, to have to, should
128	vie	life, the state of organisms prior to death
129	peut-être	maybe, perhaps
130	aller	to go
131	fois	times, multiplied by
132	vu	given
133	donc	therefore, consequently; thus
134	sans	without
135	monde	world
136	étais	to be
137	parce	only used in parce que
138	avant	beforehand; earlier
139	sûr	sure, certain
140	trop	too; too much
141	parler	to speak, talk
142	personne	no one, nobody
143	avais	to have; to own; to possess; to get
144	père	father
145	crois	to believe
146	après	after, later than in time
147	aux	Contraction of à + les
148	dieu	a god, male divinity
149	ouais	synonym of oui; yeah, yep, yup, yes, affirmative expression
150	ses	his, her, its, their, one's
151	pense	to think, reflect, concentrate one's mind on something
152	eu	to have; to own; to possess; to get
153	aime	to love
154	leur	them
155	homme	man
156	viens	to come
157	vrai	true; truly
158	femme	woman
159	ok	OK
160	doit	must, to have to, should
161	veut	to want, wish, desire
162	ans	year
163	mal	badly
164	chez	to, at, in or into the home, office, etc. of
165	déjà	already, before
166	depuis	since
