rank	word	english	ipa
1	თმა	hair	[tʰmä]
2	რამ	something, thing	[ɾäm]
3	არა	no	[äɾä]
4	და	and	[d̥ä]
5	არ	not, no	[äɾ]
6	ვენა	vein	[ve̞nä]
7	რომ	that	[ɾo̞m]
8	მა	clipping of მამა or მამი; dad, daddy	[mä]
9	რა	what	[ɾä]
10	ამ	this	[äm]
11	მაიკა	T-shirt	[mäikʼä]
12	მე	I, me	[me̞]
13	ეს	this	[e̞s]
14	შენ	you	[ʃe̞n]
15	უნდა	have to, should, ought to, need, must	[undä]
16	აქ	here	[äkʰ]
17	მამა	father	[mämä]
18	მაგრამ	but	[mäɡɾäm]
19	ის	he, she, it	[is]
20	თუ	if	[tʰu]
21	ჩემი	my, mine, singular first person possessive pronoun	[t͡ʃʰe̞mi]
22	კი	Affirmative particle. Used to affirm following sentence,…	[kʼi]
23	შენი	your, yours	[ʃe̞ni]
24	ვარ	to be	[väɾ]
25	ხარ	to be	[χäɾ]
26	იყო	to be	
27	ჩვენ	we	[t͡ʃʰʷe̞n]
28	არის	to be	[äɾis]
29	ძალიან	very	[d͡zäliän]
30	კარგი	nice, okay, well, good	[kʼäɾɡi]
31	ან	or, either	[än]
32	მას	he, she, it	[mäs]
33	ვერ	Used to negate an action that one is unable to perform;…	[ve̞ɾ]
34	ვიცი	first-person singular present simple of იცის: I know	[vit͡sʰi]
35	რაც	that, which, that which, it that, it which	[ɾät͡sʰ]
36	როგორ	how	[ɾo̞ɡo̞ɾ]
37	როგორც	as	
38	რატომ	why	[ɾätʼo̞m]
39	მისი	his/her/its	[misi]
40	ასე	so, like this, like so, thus	[äse̞]
41	ყველაფერი	everything	[χʼʷe̞ɫäpʰe̞ɾi]
42	თქვენ	you	[tʰkʰʷe̞n]
43	ახლა	now	[äχɫä]
44	რას	what	[ɾäs]
45	მათ	they, those	[mätʰ]
46	ერთად	conjointly, together	[e̞ɾtʰätʰ]
47	როცა	when	[ɾo̞t͡sʰä]
48	ნუ	Expresses negation combined with prohibition; corresponds…	
49	ხომ	Used when the response is expected to be confirmative. It…	[χo̞m]
50	ჩვენი	our	[t͡ʃʰʷe̞ni]
51	ჩემს	dative/adverbial attributive of ჩემი	[t͡ʃʰe̞ms]
52	უფრო	more	[upʰɾo̞]
53	გაქ	nonstandard form of გაქვს	[ɡ̊äkʰ]
54	უკვე	already	[ukʼʷe̞]
55	კიდევ	again	[kʼide̞v]
56	მინდა	to want	[mindä]
57	შეიძლება	it is possible, it may be that	[ʃe̞id͡zle̞bä]
58	ყველა	everybody	[χʼʷe̞ɫä]
59	ამას	this	[ämäs]
60	მხოლოდ	only	[mχo̞ɫo̞tʰ]
61	კარგად	well	[kʼäɾɡätʰ]
62	შემდეგ	after	[ʃe̞mde̞kʰ]
63	მალა	vertebra	[mäɫä]
64	აღარ	no longer, not anymore	[äʁäɾ]
65	ერთი	one	[e̞ɾtʰi]
66	დიდი	big, large, great	[d̥idi]
67	მან	he, she, it	[män]
68	იცი	to know	[it͡sʰi]
69	შემიძლია	to be able to	[ʃe̞mid͡zliä]
70	მის	his/her/its	[mis]
71	დედა	mother	[d̥e̞dä]
72	თქვენი	your, yours	[tʰkʰʷe̞ni]
73	კმ	km	[kʼm]
74	ყვირილი	cry, shout, yell	[χʼʷiɾili]
75	არც	neither/nor, not … either	[äɾt͡sʰ]
76	არიან	to be	[äɾiän]
77	ვინ	who	[vin]
78	სხვა	other	[sχʷä]
79	ჯერ	first	[d͡ʒe̞ɾ]
80	დიახ	yes	[d̥iäχ]
81	ეხლა	alternative form of ახლა	[e̞χɫä]
82	მეფე	king	[me̞pʰe̞]
83	თავს	head	[tʰäfs]
84	იქნება	to be	[ikʰne̞bä]
85	მაქვს	to have	[mäkʰʷs]
86	ისე	in that way, in that manner	[ise̞]
87	ვფიქრობ	to think	[fpʰikʰɾo̞pʰ]
88	გინდა	to want	[ɡ̊indä]
89	პატარა	little, small	[pʼätʼäɾä]
90	უბრალოდ	merely, simply	[ubɾäɫo̞tʰ]
91	სანამ	while	[sänäm]
92	ისინი	they, those	[isini]
93	რაღაც	something	[ɾäʁät͡sʰ]
94	მოხდა	to happen	[mo̞χdä]
95	შენს	dative/adverbial attributive of შენი	[ʃe̞ns]
96	სად	where	[sätʰ]
97	თავი	self	[tʰävi]
98	მაინც	still, anyway	[mäint͡sʰ]
99	იმ	that	[im]
100	ამის	this	
101	სულ	completely, entirely, all, the whole of	[sul]
102	სმა	to drink	[smä]
103	დღეს	today	[d̥ʁe̞s]
104	იყოს	let it/her/him be	[iχʼo̞s]
105	მერე	then	[me̞ɾe̞]
106	კაცი	anyone	[kʼät͡sʰi]
107	ვართ	to be	[väɾtʰ]
108	აი	Used to draw attention to, or to point out, an object or…	[äi]
109	ჰო	yeah	[ho̞]
110	ხალხი	people, folk, folks, public, nation	[χälχi]
111	მაშინ	At the time or immediately after something happened or will…	[mäʃin]
112	სახლში	at home, home	[säχlʃi]
113	ყოველთვის	always	[χʼo̞ve̞ltʰʷis]
114	არაფერი	nothing	[äɾäpʰe̞ɾi]
115	შენთვის	postpositional form with -თვის of შენ	[ʃe̞ntʰʷis]
116	ეგ	that	[e̞kʰ]
117	მოდი	Intensifies the expression of a desire or order by adding a…	[mo̞di]
118	ჩემო	my, mine, singular first person possessive pronoun	[t͡ʃʰe̞mo̞]
119	ორი	two	[o̞ɾi]
120	როდესაც	when, whenever	[ɾo̞de̞sät͡sʰ]
121	იმიტომ	therefore, because of that	[imitʼo̞m]
122	შეგიძლია	to be able to	[ʃe̞ɡid͡zliä]
123	გაქვს	to have	[ɡ̊äkʰʷs]
124	დრო	time	[d̥ɾo̞]
125	ყველას	everybody	[χʼʷe̞ɫäs]
126	ხართ	to be	[χäɾtʰ]
127	რადგან	because	[ɾädɡän]
128	თქმა	to say	[tʰkʰmä]
129	ჩრდილოეთის	north	
130	საკუთარი	own	[säkʼutʰäɾi]
131	უკან	back, backwards	[ukʼän]
132	გამო	because of	[ɡ̊ämo̞]
133	მეტი	more	[me̞tʼi]
134	წლის	year	
135	მართლა	really	[mäɾtʰɫä]
136	ყველაზე	A form of ყველა having a postposition: -ზე	[χʼʷe̞ɫäze̞]
137	შესახებ	about, concerning, regarding	[ʃe̞säχe̞pʰ]
138	ჩვენს	our	[t͡ʃʰʷe̞ns]
139	საქმე	affair	[säkʰme̞]
140	ცოტა	a little	[t͡sʰo̞tʼä]
141	ვიყავი	to be	[viχʼävi]
142	აქვს	to have	[äkʰʷs]
143	ფიქრობ	to think	[pʰikʰɾo̞pʰ]
144	ბევრი	many, much	[b̥e̞vɾi]
145	რომელიც	that, which	[ɾo̞me̞lit͡sʰ]
146	მალე	soon	[mäle̞]
147	მადლობა	thanks	[mädɫo̞bä]
148	მათი	their	[mätʰi]
149	ვწუხვარ	first-person singular present indicative of წუხს: I'm sorry	[ft͡sʼuχʷäɾ]
150	ალბათ	probably	[älbätʰ]
151	ბოლო	last	[b̥o̞ɫo̞]
152	თქვა	to say	[tʰkʰʷä]
153	დროს	time	[d̥ɾo̞s]
154	ქალი	woman	[kʰäli]
155	ვიდრე	than	[vidɾe̞]
156	იქ	there, therein	[ikʰ]
157	თუმცა	though	[tʰumt͡sʰä]
158	ერთ	country, nation	
159	თავის	head	
160	იგი	he, she, it	[iɡi]
161	მზად	ready	[mzätʰ]
162	დღე	day	[d̥ʁe̞]
163	სპა	spa	[spʼä]
164	ისევ	again	[ise̞v]
165	დარწმუნებული	assured, confident, secure, coaxed, convinced, induced,…	[d̥äɾt͡sʼmune̞buli]
166	ვინც	who	[vint͡sʰ]
167	მარტო	alone	[mäɾtʼo̞]
168	როგორი	what kind of	[ɾo̞ɡo̞ɾi]
169	ხდება	to happen	[χde̞bä]
170	სმ	cm	[sm]
171	გეი	gay man	[ɡ̊e̞i]
172	მეფის	king	[me̞pʰis]
173	იქნებოდა	to be	[ikʰne̞bo̞dä]
174	მერი	mayor	[me̞ɾi]
175	რომელსაც	that, which	[ɾo̞me̞lsät͡sʰ]
176	არასოდეს	never, nevermore	[äɾäso̞de̞s]
177	ბედნიერი	happy	[b̥e̞dnie̞ɾi]
178	ცხოვრება	life	[t͡sʰχo̞vɾe̞bä]
179	ლედი	lady	[le̞di]
180	გამარჯობა	hello, how do you do, good afternoon	[ɡ̊ämäɾd͡ʒo̞bä]
181	მთელი	all, integral, livelong, total, unbroken, whole, unit	[mtʰe̞li]
182	იყავი	to be	[iχʼävi]
183	ბოდიში	sorry	[b̥o̞diʃi]
184	შვილი	child	[ʃʷili]
185	შეუძლია	to be able to	[ʃe̞ud͡zliä]
186	ბიჭი	bastard, illegitimate child	[b̥it͡ʃʼi]
187	განა	adds a nuance of surprise to questions, and is used when…	[ɡ̊änä]
188	არასდროს	never	[äɾäsdɾo̞s]
189	რამე	something	[ɾäme̞]
