rank	word	english
1	ich	I
2	sie	she; they; you
3	das	the; that, which
4	ist	to be
5	du	you, thou
6	nicht	not, non-
7	die	the
8	es	it
9	und	and
10	der	the
11	wir	we
12	was	what
13	zu	to, towards
14	er	he
15	ein	one
16	in	in, inside, within, at
17	ja	obviously; certainly; of course; as you know; as is…
18	mir	I pronoun
19	mit	with
20	wie	how
21	den	that; whom; accusative masculine singular of der
22	mich	I pronoun
23	auf	on, upon
24	dass	that
25	aber	but; however; though
26	eine	one
27	so	so, such, that
28	hat	to have; to own
29	hier	here; in this place; refers to an environment one is…
30	haben	credit
31	für	for
32	sind	to be
33	war	to be
34	von	from
35	wenn	when, whenever
36	dich	you, thou
37	ihr	you, ye
38	nein	no
39	habe	to have; to own
40	an	on, upon, at, in, against
41	bin	to be
42	noch	still, yet
43	nur	only, just, merely, simply
44	da	there
45	dir	you, thou
46	sich	Reciprocal pronoun of the third person plural: each other
47	einen	one
48	uns	we
49	hast	to have; to own
50	dem	nominative masculine singular definite article, the
51	kann	to be able, to have the possibility of, can
52	gut	well
53	auch	also, too, as well
54	schon	already
55	als	at the same moment, when, while, as
56	sein	his
57	mal	times
58	jetzt	now
59	ihn	dative of sie; them
60	dann	then, after that
61	aus	out
62	meine	mine
63	um	about
64	im	contraction of in + dem; in the
65	wird	will, to be going to, forms the future tense
66	mein	my
67	bist	to be
68	doch	yes; surely; really; on the contrary
69	alles	everything; all
70	weiß	to know; to be aware of
71	keine	no; not a; not one; not any
72	oder	or
73	nach	after, past
74	s	abbreviation of Süd
75	nichts	nothing
76	man	one, you, they
77	muss	to have to; must; to be obliged; to need
78	werden	will, to be going to, forms the future tense
79	will	to want; to wish; to desire; to demand
80	ihnen	she
81	geht	to go, to walk
82	wo	where
83	etwas	something
84	oh	oh
85	mehr	something more
86	bei	by, near
87	also	so, therefore
88	bitte	please, if you please
89	immer	at all times without exception
90	hab	to have; to own
91	warum	why; for what reason
92	vor	in front of, ahead of
93	los	rid of, free of
94	können	to be able, to have the possibility of, can
95	wieder	again; indicates that the action taking place has happened…
96	sagen	to say
97	machen	to make, to produce, to create
98	danke	thanks, gratitude, appreciation
99	sehr	very
100	alle	all
101	denn	for; because; since
102	mann	man, male human being
103	tun	to do
104	ihm	he
105	zum	contraction of zu + dem, literally “to the; for the”
106	gehen	to go, to walk
107	sehen	to see; to have sight
108	vielleicht	perhaps, maybe
109	einem	one
110	wer	who
111	ihre	her
112	diese	this one, this
113	euch	you, ye
114	einer	one
115	komm	to come; to arrive
116	über	above, over
117	gibt	to give
118	okay	OK
119	wissen	to know; to be aware of
120	deine	yours, thine
121	müssen	to have to; must; to be obliged; to need
122	soll	should; to be obligated; ought; shall
123	werde	will, to be going to, forms the future tense
124	nie	never, never at all
125	wirklich	really, actually
126	kein	no; not a; not one; not any
127	viel	much, a lot
128	weg	away
129	würde	will, to be going to, forms the future tense
130	tut	to do
131	am	contraction of an + dem
132	des	nominative masculine singular definite article, the
133	einfach	easily
134	leben	a state in which organic entities such as animals, plants…
135	hatte	to have; to own
136	zeit	for the entire time of, during
137	weil	because, given that
138	willst	to want; to wish; to desire; to demand
139	kommen	to come; to arrive
140	dein	thy, your
141	heute	today
142	kommt	to come; to arrive
143	wollen	wool; woolen, woollen
144	damit	therefore, as a result
145	ganz	quite, rather
146	wäre	to be
147	wollte	to want; to wish; to desire; to demand
148	weißt	to know; to be aware of
149	sicher	safely
150	gesagt	to say
151	frau	woman
152	nun	now, at this moment
153	bis	until
154	wurde	will, to be going to, forms the future tense
155	leid	distressing, uncomfortable
156	na	well!, so!; used to introduce a statement
157	kannst	to be able, to have the possibility of, can
158	macht	to make, to produce, to create
159	dieser	this one, this
160	zurück	back, backward, backwards, to the rear
161	lassen	to allow; to permit; to let
162	hallo	a general greeting used when meeting someone
163	meinen	my
164	gott	god
165	seine	his
166	hätte	to have; to own
167	zwei	two
168	könnte	to be able, to have the possibility of, can
169	genau	just, exactly
170	waren	to be
171	zur	contraction of zu + der, literally “to the ”
172	lass	to allow; to permit; to let
173	klar	obviously, surely
174	morgen	tomorrow
175	leute	people, folk, peeps, guys
176	vater	father
177	schön	well, beautifully
178	glaube	to believe something
179	ab	beginning at that time or location; from
180	gerade	now
181	tag	to meet
182	gesehen	to see; to have sight
183	reden	to talk, to speak, to orate
184	wohl	possibly, probably; as I was told guess + clause
185	liebe	lovable; dear; darling; sweet; good-hearted; kind
186	sollte	should; to be obligated; ought; shall
187	sagte	to say
188	unsere	our
189	jemand	someone, somebody
190	geld	money
191	durch	by means of; by; through
192	ob	Introduces an indirect question, a doubt. if, whether
193	keinen	no; not a; not one; not any
194	mutter	mother
195	raus	out, out of there, outta there
196	gemacht	to make, to produce, to create
197	paar	some; few; a few
198	mach	to make, to produce, to create
199	passiert	to happen
200	dachte	not to forget; to remember
201	besser	good
202	musst	to have to; must; to be obliged; to need
203	wieso	why
204	dieses	this one, this
205	selbst	personally, by oneself
206	gehört	to hear through the ear
207	möchte	to like
208	ohne	without
209	hör	to hear through the ear
210	her	hither, to this place, to here, to me/us
211	sag	to say
212	meiner	mine
213	anderen	other, different
214	helfen	to help; to assist; to aid
215	nacht	night
216	finden	to find; to discover
217	diesen	this one, this
218	gute	good
219	wirst	will, to be going to, forms the future tense
220	lange	long, for a long time
221	natürlich	naturally
222	ach	oh, alas
223	meinem	my
224	gar	at all; even
225	ins	contraction of in to” + das
226	sei	to be
227	dort	there, yonder
228	weiter	further, farther, more
229	geben	to give
230	seit	since
231	gleich	alike
232	sagt	to say
233	recht	very, quite, rather, pretty, fairly
234	ihren	her
235	richtig	really
236	ordnung	arrangement, regulation
237	vom	contraction of von + dem, literally “from the, of the”
238	hören	to hear through the ear
239	sieht	to see; to have sight
240	davon	from it, from that, therefrom, off it, off that
241	dafür	for that, for it
242	geh	to go, to walk
243	diesem	this one, this
244	wegen	for, because of
245	hause	house, building
246	sollten	should; to be obligated; ought; shall
247	mädchen	girl
248	hin	there, thither; denotes direction towards a place that is…
249	sollen	should; to be obligated; ought; shall
250	abend	evening; the time from dusk until midnight
251	haus	house, building
252	denke	not to forget; to remember
253	viele	much, a lot
254	drei	three
255	deinen	thy, your
256	freund	friend
257	guten	good
258	unser	our
259	warte	to wait
260	machst	to make, to produce, to create
261	menschen	human, human being, person, man
