rank	word	english
1	να	added before the dependent or present verb forms to form…
2	το	it
3	δεν	not
4	είναι	to be
5	θα	added before the present verb forms to form the continuous…
6	και	and
7	μου	of me
8	με	with
9	για	for
10	την	her
11	ο	the definite masculine singular article. the
12	η	The number eight in Greek numerals
13	τον	him
14	τα	they
15	που	that
16	σου	you
17	σε	you
18	αυτό	he
19	του	him, it
20	τι	what?
21	ότι	that
22	από	from
23	στο	contraction of σε + το, literally “to the”
24	της	her
25	όχι	no; not
26	ναι	yes
27	ένα	a, an
28	τη	she
29	αν	if
30	αλλά	but
31	εδώ	here
32	μια	a, an
33	σας	your
34	τους	their
35	ήταν	to be
36	μας	our
37	πρέπει	to be fit for, to be worthy of, deserve
38	είσαι	to be
39	είμαι	to be
40	οι	the definite masculine singular article. the
41	στην	contraction of σε + την, literally “to the” with final…
42	πολύ	very, too, long
43	κι	and
44	γιατί	why
45	πως	that
46	τώρα	now
47	εγώ	I
48	εντάξει	OK, all right, in order
49	κάτι	something
50	έχει	to have/hold, in the sense of holding property
51	ξέρω	to know of, be familiar with
52	τις	them
53	έχω	to have/hold, in the sense of holding property
54	δε	on the other hand used together with μεν
55	μην	alternative form of μη
56	έτσι	thus; like this; like that
57	εσύ	you, thou
58	καλά	well
59	αυτή	she
60	θέλω	to want, desire, will
61	όταν	when, while, during, whenever, if
62	στον	contraction of σε + τον, literally “to the”
63	στη	contraction of σε + τη, literally “to the”, form of στην…
64	μπορώ	I can, be able
65	ξέρεις	to know of, be familiar with
66	έχεις	to have/hold, in the sense of holding property
67	κάνεις	to do
68	μόνο	only
69	μαζί	together, with
70	εκεί	there
71	σαν	like, as, as if
72	όλα	everything
73	τίποτα	nothing
74	σ	The number 200 in Greek numerals
75	ευχαριστώ	thank you!, thanks!
76	ή	or
77	πώς	how
78	κάνω	to do
79	τόσο	so, such, so much
80	μπορεί	may
81	κάνει	to do
82	ποτέ	ever; at any time
83	απλά	simply
84	αυτά	they
85	των	the definite masculine singular article. the
86	έλα	to come
87	λοιπόν	so, therefore, right, well, then
88	στα	contraction of σε + τα, literally “to the”
89	υπάρχει	to exist, be, live
90	ακόμα	yet, still
91	μπορείς	I can, be able
92	μέσα	in, inside
93	πάμε	to go, attend
94	σπίτι	house, home
95	αυτός	this
96	τότε	then
97	ίσως	might, may, perhaps, maybe
98	έχουμε	to have/hold, in the sense of holding property
99	γι	misspelling of γι’, contraction of για
100	πιο	more
101	παρακαλώ	please
102	ένας	a, an
103	κύριε	mister
104	πού	where
105	μετά	afterwards, later
106	νομίζω	to think, consider, opine
107	είμαστε	to be
108	πριν	ago
109	πάντα	always
110	πίσω	behind, back
111	γεια	hi, hello
112	λίγο	a little
113	πω	to say, tell
114	όπως	as, like, however
115	δουλειά	employment, work, job
116	αλήθεια	really, truly
117	ποιος	who
118	δύο	two
119	είπε	to say, tell
120	όλοι	whole, entire
121	είχε	to have/hold, in the sense of holding property
122	ας	added before the dependent or present verb forms to form…
123	έναν	a, an
124	λες	to say, tell
125	παιδιά	child; kid
126	άλλο	any more, anymore
127	θέλεις	to want, desire, will
128	ζωή	life
129	κάνουμε	to do
130	δω	to see, watch, look at
131	πάω	to go, attend
132	μη	not
133	έξω	out, outside
134	καλό	good
135	είπα	to say, tell
136	μία	a, an
137	έχουν	to have/hold, in the sense of holding property
138	επειδή	for, because
139	ήμουν	to be
140	μέχρι	until; up to; as far as
141	στις	contraction of σε + τις, literally “to the”
142	έπρεπε	it was fitting
143	κοίτα	to look at
144	ώρα	hour
145	πάνω	above, on, up, upstairs
146	μένα	alternative form of εμένα
147	φορά	time
148	χρόνια	days, years, time, ages
149	σένα	alternative form of εσένα
150	είστε	to be
151	ήθελα	to want, desire, will
152	ούτε	neither, nor
153	σωστά	right, truly, actually
154	ωραία	nicely, beautifully
155	όμως	however, but, although, though, still, yet
156	κάποιος	someone, somebody
157	μα	but
158	κάθε	every, each
159	πράγματα	thing, entity, object
160	πες	to say, tell
161	είχα	to have/hold, in the sense of holding property
162	καλή	good
163	χωρίς	without, -less, -free
164	μέρα	alternative form of ημέρα
165	κάτω	down
166	γυναίκα	woman
167	μπορούμε	I can, be able
168	μόλις	barely
169	κανείς	nobody, no one
170	θες	to want, desire, will
171	έκανε	to do
172	μαμά	mom, mum, ma
173	ακριβώς	exactly, precisely
174	καλύτερα	well
175	αυτόν	he
176	πάει	to go, attend
177	σήμερα	today
178	αρέσει	to be liked by somebody, to be pleasing to someone
179	θέλει	to want, desire, will
180	λέει	to say, tell
181	πόσο	how much, how many
182	συγγνώμη	sorry
183	έκανα	to do
184	φαίνεται	to seem, appear
185	θεέ	god
186	φυσικά	naturally
187	λυπάμαι	to be sorry
188	μέρος	part
189	συμβαίνει	to happen, to occur, to take place
190	έγινε	to become, turn into
191	πας	to go, attend
192	εμένα	me
193	πεις	to say, tell
