rank	word	english	ipa
1	है	to be	/ɦɛː/
2	के	part of, originating from	/keː/
3	मैं	I	/mɛ̃ː/
4	नहीं	no, not	/nə.ɦĩː/
5	हैं	to be	/ɦɛ̃ː/
6	में	in, inside of	/mẽː/
7	एक	one; 1	/eːk/
8	आप	ye, you	/ɑːp/
9	लिए	to take	/lɪ.eː/
10	और	more	/ɔːɾ/
11	यह	this one; he; she; it	/jəɦ/
12	से	comparative postposition: than	/seː/
13	की	of	/kiː/
14	क्या	initial interrogative particle	/kjɑː/
15	कि	that	/kɪ/
16	तुम	you, ye	/t̪ʊm/
17	हो	to be	/ɦoː/
18	कर	to do, to perform, to execute	/kəɾ/
19	मुझे	I	/mʊ.d͡ʒʱeː/
20	को	in some set phrases, indicates the Possessor: have	/koː/
21	हम	we: first-person plural personal pronoun, plural of मैं	/ɦəm/
22	था	to be	/t̪ʰɑː/
23	वह	that	/ʋəɦ/
24	पर	on	/pəɾ/
25	हूँ	to be	/ɦũː/
26	रहे	to stay, remain	/ɾə.ɦeː/
27	भी	even	/bʱiː/
28	रहा	to stay, remain	/ɾə.ɦɑː/
29	का	part of, originating from	/kɑː/
30	अपने	reflexive pronoun: oneself	/əp.neː/
31	कुछ	something	/kʊt͡ʃʰ/
32	तो	then	/t̪oː/
33	गया	to go, move, travel, leave, depart; to proceed from one…	/ɡə.jɑː/
34	इस	this one; he; she; it	/ɪs/
35	मेरे	oblique/vocative masculine singular	/meː.ɾeː/
36	ठीक	exactly	/ʈʰiːk/
37	करने	to do, to perform, to execute	/kəɾ.neː/
38	किया	to do, to perform, to execute	/kɪ.jɑː/
39	साथ	together	/sɑːt̪ʰ/
40	उसे	that	/ʊ.seː/
41	हाँ	yes	/ɦɑ̃ː/
42	वे	that	/ʋeː/
43	सकते	to be able	/sək.t̪eː/
44	लेकिन	but, however	/leː.kɪn/
45	यहाँ	here	/jə.ɦɑ̃ː/
46	तुम्हें	you, ye	/t̪ʊm.ɦẽː/
47	कोई	some, certain, any	/koː.iː/
48	तरह	type, kind	/t̪ə.ɾəɦ/
49	अब	now	/əb/
50	पता	address	/pə.t̪ɑː/
51	होगा	to be	/ɦoː.ɡɑː/
52	बहुत	very	/bə.ɦʊt̪/
53	बात	talk	/bɑːt̪/
54	सकता	apoplexy	/sək.t̪ɑː/
55	जाओ	to go, move, travel, leave, depart; to proceed from one…	/d͡ʒɑː.oː/
56	ही	an emphatic particle	/ɦiː/
57	दिया	to give, grant, award	/d̪ɪ.jɑː/
