rank	word	english	ipa
1	a	the	[ɒ]
2	nem	no, not	[ˈnɛm]
3	az	the	[ˈɒz]
4	hogy	how?	[ˈhoɟ]
5	és	and	[ˈeːʃ]
6	egy	one	[ˈɛɟː]
7	van	to be	[ˈvɒn]
8	ez	this, it	[ˈɛz]
9	is	also, too, as well	[ˈiʃ]
10	de	how!, very much	[ˈdɛ]
11	meg	and	[ˈmɛɡ]
12	csak	only, exclusively	[ˈt͡ʃɒk]
13	ha	if	[ˈhɒ]
14	mi	we	[ˈmi]
15	én	I	[ˈeːn]
16	azt	that	[ˈɒst]
17	volt	to be	[ˈvolt]
18	igen	quite, very, rather, highly	[ˈiɡɛn]
19	vagy	or	[ˈvɒɟ]
20	kell	must, need to, have to	[ˈkɛlː]
21	el	off	[ˈɛl]
22	itt	here, over here	[ˈitː]
23	már	already, yet	[ˈmaːr]
24	még	still, yet	[ˈmeːɡ]
25	ne	don't, should/shall not, stop	[ˈnɛ]
26	te	you	[ˈtɛ]
27	ki	out, not inside, from the inside, in an outward direction	[ˈki]
28	mit	why	[ˈmit]
29	ezt	this, it	[ˈɛst]
30	vagyok	to be	[ˈvɒɟok]
31	most	now	[ˈmoʃt]
32	jó	quite, pretty	[ˈjoː]
33	tudom	to know	[ˈtudom]
34	úgy	so	[ˈuːɟ]
35	miért	why	[ˈmijeːrt]
36	akkor	then, at that time	[ˈɒkːor]
37	mint	as, how	[ˈmint]
38	ő	he, she	[ˈøː]
39	jól	well, fine	[ˈjoːl]
40	lesz	to be	[ˈlɛsː]
41	nagyon	very	[ˈnɒɟon]
42	nincs	there is no, there is not	[ˈnint͡ʃ]
43	mert	because	[ˈmɛrt]
44	minden	every	[ˈmindɛn]
45	sem	…, neither	[ˈʃɛm]
46	amit	which, what	[ˈɒmit]
47	olyan	such a/an …, that kind of	[ˈojɒn]
48	rendben	all right, okay	[ˈrɛndbɛn]
49	így	thus, in this way, like this	[ˈiːɟ]
50	be	in	[ˈbɛ]
51	volna	would have, forms the past conditional	[ˈvolnɒ]
52	oké	OK	[ˈokeː]
53	nekem	to/for him/her	[ˈnɛkɛm]
54	le	down	[ˈlɛ]
55	fel	up, upward, upwards	[ˈfɛl]
56	tudod	to know	[ˈtudod]
57	ott	there, over there	[ˈotː]
58	lehet	to be	[ˈlɛhɛt]
59	valami	something	[ˈvɒlɒmi]
60	majd	sometime, later	[ˈmɒjd]
61	mindig	always	[ˈmindiɡ]
62	talán	maybe, perhaps	[ˈtɒlaːn]
63	maga	you	[ˈmɒɡɒ]
64	köszönöm	thank you	[ˈkøsønøm]
65	semmi	nothing	[ˈʃɛmːi]
66	hát	back	[ˈhaːt]
67	aki	who	[ˈɒki]
68	amikor	when	[ˈɒmikor]
69	hol	where?	[ˈhol]
70	neki	to/for him/her	[ˈnɛki]
71	szóval	that is, that is to say, in other words	[ˈsoːvɒl]
72	neked	to/for him/her	[ˈnɛkɛd]
73	ami	which; that	[ˈɒmi]
74	kis	small, little	[ˈkiʃ]
75	hé	hey	[ˈheː]
76	tényleg	really, in actuality, truly	[ˈteːɲlɛɡ]
77	hiszem	to believe	[ˈhisɛm]
78	elég	quite, rather, fairly	[ˈɛleːɡ]
79	valamit	something	[ˈvɒlɒmit]
80	fog	to hold	[ˈfoɡ]
81	lenne	to be	[ˈlɛnːɛ]
82	ó	oh!	[ˈoː]
83	igaz	true	[ˈiɡɒz]
84	rá	upon/on/unto him/her/it	[ˈraː]
85	vele	with him/her	[ˈvɛlɛ]
86	milyen	what?, what kind of?	[ˈmijɛn]
87	ilyen	such a/an …, this kind of	[ˈijɛn]
88	ide	here, hither, this way	[ˈidɛ]
89	biztos	surely, certainly	[ˈbistoʃ]
90	uram	my master	[ˈurɒm]
91	őket	they	[ˈøːkɛt]
92	vissza	back, backwards	[ˈvisːɒ]
93	nagy	big, great	[ˈnɒɟ]
94	tudja	to know	[ˈtuɟːɒ]
95	ma	today	[ˈmɒ]
96	egész	entirely, completely	[ˈɛɡeːs]
97	sajnálom	to regret	[ˈʃɒjnaːlom]
98	nos	well	[ˈnoʃ]
99	mikor	when? at what time?	[ˈmikor]
100	vagyunk	to be	[ˈvɒɟuŋk]
101	gyerünk	to come	[ˈɟɛryŋk]
102	vannak	to be	[ˈvɒnːɒk]
103	azért	for that reason, the reason is …, because	[ˈɒzeːrt]
104	ember	person	[ˈɛmbɛr]
105	történt	to happen	[ˈtørteːnt]
106	persze	of course, naturally	[ˈpɛrsɛ]
107	túl	excessively, too	[ˈtuːl]
108	sok	much, many	[ˈʃok]
109	mondta	to say, tell	[ˈmontɒ]
110	két	two	[ˈkeːt]
111	értem	for him / her / it	[ˈeːrtɛm]
112	gyere	to come	[ˈɟɛrɛ]
113	szia	hi	[ˈsijɒ]
114	valaki	somebody, someone	[ˈvɒlɒki]
115	ahogy	as	[ˈɒɦoɟ]
116	aztán	then, after it	[ˈɒstaːn]
117	pedig	and, while, whereas, in turn	[ˈpɛdiɡ]
118	kicsit	usually construed with egy: a bit, a little, a little bit	[ˈkit͡ʃit]
119	engem	I	[ˈɛŋɡɛm]
120	ezért	therefore	[ˈɛzeːrt]
121	velem	with him/her	[ˈvɛlɛm]
122	arra	that way, in that direction, on that route	[ˈɒrːɒ]
123	voltam	to be	[ˈvoltɒm]
124	mondtam	to say, tell	[ˈmontɒm]
125	ugye	right? isn't it so? is it? didn't you?	[ˈuɟɛ]
126	mindent	all, everything	[ˈmindɛnt]
127	őt	him, her	[ˈøːt]
128	na	well, so, hey	[ˈnɒ]
129	kellett	must, need to, have to	[ˈkɛlːɛtː]
130	új	new	[ˈuːj]
131	más	someone else, something else	[ˈmaːʃ]
132	semmit	nothing	[ˈʃɛmːit]
133	benne	inside someone or something, in him/her/it, him/her/it	[ˈbɛnːɛ]
134	se	alternative form of sem	[ˈʃɛ]
135	nézd	to look	[ˈneːzd]
136	akarsz	to want	[ˈɒkɒrs]
137	szerintem	in one's opinion, to one's way of thinking	[ˈsɛrintɛm]
138	miatt	because of, owing to, on account of, for	[ˈmijɒtː]
139	kérem	to ask, to make a request	[ˈkeːrɛm]
140	jobb	construed with szeretne in any person and tense:…	[ˈjobː]
141	veled	with him/her	[ˈvɛlɛd]
142	akarok	to want	[ˈɒkɒrok]
143	akarom	to want	[ˈɒkɒrom]
144	erre	this way, in this direction	[ˈɛrːɛ]
145	több	several, multiple	[ˈtøbː]
146	kérlek	first-person singular indicative present…	[ˈkeːrlɛk]
147	baj	trouble, matter, problem	[ˈbɒj]
148	mindenki	everybody, everyone	[ˈmindɛŋki]
149	legyen	to be	[ˈlɛɟɛn]
150	kéne	must, need to, have to	[ˈkeːnɛ]
151	soha	never	[ˈʃoɦɒ]
152	menj	to go, travel	[ˈmɛɲː]
153	nap	on the specified day	[ˈnɒp]
154	akar	to want	[ˈɒkɒr]
155	magát	you	[ˈmɒɡaːt]
156	együtt	together, with, in the company of	[ˈɛɟːytː]
157	rám	upon/on/unto him/her/it	[ˈraːm]
