rank	word	english
1	ég	I
2	er	which
3	í	in; to
4	ekki	not
5	og	and
6	á	on
7	hann	he
8	sem	as, like
9	mér	I
10	til	to, towards
11	en	how
12	fyrir	for
13	af	off, from
14	um	used in set phrases
15	var	to be
16	mig	myself
17	að	that
18	já	yes
19	hún	she
20	nei	no
21	allt	everybody, everyone, all
22	bara	only, just, if only
23	svo	so
24	eru	to be
25	ef	if
26	ert	you are, second-person of vera
27	það	it
28	ertu	you are, are you
29	eins	alike, identical
30	okkur	we, nominative plural form of the personal pronoun ég
31	vera	to be
32	lagi	layer
33	eftir	after
34	gera	to do
35	veit	to know, know of something
36	hefur	to have
37	hér	here
38	nú	now
39	frá	from, away from, about
40	fara	passage, ride
41	þú	you, thou
42	hvernig	how
43	við	we, nominative plural form of the personal pronoun ég
44	út	out
45	upp	up
46	aftur	back, backwards
47	honum	he
48	svona	thus, like this
49	minn	my, mine
50	ekkert	no one, none, nobody, no
51	vel	well
52	sé	to see, to sense or perceive with one's eyes
53	hana	she
54	hver	who, what
55	þetta	this, that
56	ykkur	you, you all; nominative plural of the personal pronoun þú
57	segja	to say, to tell
58	erum	are, the first person plural of vera
59	hérna	here
60	úr	out of
61	get	can, to be able
62	hverju	who, what
63	aldrei	never, at no time
64	hvar	where
65	hafa	to have
66	hjá	by, near, next to, at place
67	getur	ability
68	koma	to come
69	okkar	we, nominative plural form of the personal pronoun ég
70	inn	in, inside
71	fá	to receive, to get
72	núna	now, at the moment, currently
73	takk	thank you, thanks
74	kannski	maybe, perhaps
75	hvað	how
76	herra	lord, master
77	hans	he
78	tala	a short address, a speech
79	henni	she
80	væri	to be
81	sjá	to see, to sense or perceive with one's eyes
82	held	to hold
83	líka	also, too, as well, likewise
84	fer	to go, to leave
85	áfram	forward, forth, on
86	með	with
87	rétt	rightly, correctly
88	sér	oneself
89	mjög	very
90	vegna	because of
91	saman	together
92	gert	to do
93	þér	you, thou
94	sá	that, the, he
95	mín	I
96	einn	one
97	enn	still
98	alltaf	always
99	allir	everybody, everyone, all
100	ætla	to intend, to plan, to mean to, be going to
101	of	too; too much; overly
102	hafi	ocean, sea
103	pabbi	dad
104	yfir	above
105	má	to be allowed, to be permitted, may
106	mamma	mom, mum
107	enginn	no one, none, nobody, no
108	kom	to come
109	dag	a day
110	skal	shall, must
111	sig	oneself
112	heldur	but, instead
113	bíddu	wait a minute
114	vita	lighthouse
115	mitt	my, mine
116	förum	to go, to leave
117	heim	home
118	sama	indifferently
119	þig	you, thou
120	átt	direction
121	tíma	time
122	einhver	someone/something, some
123	höfum	ocean, sea
124	jæja	well, well then
125	mun	will, shall
126	meira	more
127	taka	to take
128	vildi	to want
129	veist	to know, know of something
130	fjandinn	devil, demon, fiend
131	satt	true, not a lie, authentic
132	eitt	alone
133	hvert	whereto, whither
134	voru	to be
135	halda	to hold
136	alla	everybody, everyone, all
137	myndi	to remember
138	öll	everybody, everyone, all
139	hvort	if, whether
140	fram	forth, forward
141	kvöld	evening
142	einu	one
143	láta	to put
144	gerir	to do
145	því	because, for, since
146	sagt	to say, to tell
147	ykkar	you, thou
148	alveg	entirely, completely
149	hélt	to hold
150	hennar	she
151	hæ	hi
152	ár	year
153	vinur	friend
154	eina	one
155	geri	to do
156	sinni	third-person reflexive possessive determiner: his, her,…
157	mína	my, mine
158	þá	then, the past
159	reyna	to try, attempt
160	ætti	to have, to be closely related to
161	hvers	who, what
162	gaman	fun, pleasure, enjoyment
163	menn	human being, person, humanity, mankind, man
164	elska	love
165	vissi	to know, know of something
166	skil	boundary, division
167	finna	to find
168	langar	only used in set phrases
169	vinna	a job, an occupation, an employment
170	án	without
171	drepa	to beat, hit
172	undir	under
173	mínum	my, mine
174	áttu	you have, have you
175	strax	immediately, right away
176	hugsa	to think, to consider, to plan, to decide
177	engin	no one, none, nobody, no
178	morgun	a morning
179	öllum	everybody, everyone, all
180	einmitt	exactly, precisely
181	alvöru	earnestness, seriousness
182	viss	certain, sure, positive
183	fimm	five
184	fékk	to receive, to get
185	kem	to come
186	gengur	passable
187	jú	yes, certainly
188	ná	to reach
189	þið	you, you all; nominative plural of the personal pronoun þú
190	átti	to have, to be closely related to
191	frú	madam, lady
192	lengi	long
193	sæll	fortunate
194	lengur	long
195	hvenær	when
196	komast	to get there, to get, to be able to come
197	hitta	to meet
198	segi	to say, to tell
199	betur	better
200	vilja	to want
201	fyrst	since
202	eiga	to have, to be closely related to
203	öllu	everybody, everyone, all
204	kominn	to come
205	einhvern	someone/something, some
206	inni	inside
207	burt	away, off
208	ára	year
209	víst	probably
210	daginn	a day
211	hjálpa	to help
212	mann	human being, person, humanity, mankind, man
213	a	abbreviation of austur
214	geta	can, to be able
215	handa	for
216	sinn	third-person reflexive possessive determiner: his, her,…
217	þeir	that, the, he
218	ein	alone
219	hægt	slowly
220	ættir	family
221	nema	except
222	mál	language
223	minni	my, mine
224	illa	badly, poorly
225	fyrr	early
226	sjálfur	self
227	búinn	completed, finished, over
228	líf	life
229	heiti	to be called, to be named
230	tveir	two
231	leita	to seek, to search, to look for
232	heima	home, at home
233	samt	yet, still, anyway
234	þegar	already, at once
235	gegn	through
236	engar	no one, none, nobody, no
237	langt	far
238	tvö	two
239	vorum	to be
240	mínu	my, mine
241	hætta	danger
242	annars	or else, otherwise
243	bless	goodbye, bye
244	enga	no one, none, nobody, no
245	tekur	to take
246	gefa	to give something
247	fjandans	damned, darned
248	deyja	to die
249	hve	how, like, as
250	hugmynd	idea
251	gat	can, to be able
252	klukkan	at o'clock, o'clock
253	heyra	to hear
254	stundum	sometimes
255	fær	to receive, to get
256	flott	flashy, stylish, smart, good-looking
257	spyrja	to ask
258	fæ	to receive, to get
259	verður	meal, portion, ration
260	gerast	to happen, to go on, to take place
261	allan	everybody, everyone, all
262	alls	altogether, in all
263	sért	to be
264	hvern	who, what
265	líklega	probably
266	fínt	fine, nice
267	mínir	my, mine
268	nota	to use
269	hjálp	help
270	sex	six
271	ganga	to walk
272	verið	to be
273	allar	everybody, everyone, all
274	fleiri	many, a lot of
275	þessu	this, that
276	sjáumst	see you soon!, see you later!, later
277	úti	outside, outdoors
278	ha	huh?, what?, come again?, I'm sorry?
279	tíu	ten
280	hey	hay
281	uppi	above, upstairs
282	baka	back
283	sæl	fortunate
284	tvær	two
285	smá	to disdain, to treat with contempt
286	virkilega	really
287	manni	human being, person, humanity, mankind, man
288	daga	a day
289	tvo	two
290	þau	they, nominative plural of það
291	man	to remember
292	byrja	to begin
293	hringja	to ring
294	jafnvel	even
295	milli	between
296	frekar	rather, preferably, specifies a choice or preference
297	eða	or
298	eigin	own
299	næstum	almost
300	gegnum	through
301	ættum	family
302	hluti	piece, part, share
303	árum	year
304	meina	to think, be of a certain opinion
305	eitthvað	someone/something, some
306	sonur	son
307	betra	to better, to improve
308	kona	a woman
309	engan	no one, none, nobody, no
310	hátt	habit, wont, custom
311	konan	a woman
312	sú	that, the, he
313	vitum	lighthouse
314	tími	time
315	helvítis	hell
316	beint	directly, straight
317	annan	other, another, another one
318	horfa	look, aspect
319	hverjum	who, what
320	vinir	friend
321	utan	relating to movement from the outside to the inside
322	undan	from under, from beneath
323	kalla	to call, name, refer to
324	hví	why
325	hversu	how
326	gætir	can, to be able
327	konu	a woman
328	tilbúinn	ready
329	reyndar	in fact, as a matter of fact, actually
330	félagi	companion, comrade
331	maður	one, you
332	miklu	large in quantity or number
333	grínast	to joke, to jest
334	myndir	image, picture
335	varlega	cautiously, carefully
336	tek	to take
337	annar	other, another, another one
338	átta	eight
339	kyrr	still, calm
340	engu	no one, none, nobody, no
341	andskotinn	shit! fuck! damn!
342	nafn	name
343	börn	child
344	seinna	later
345	meiri	large in quantity or number
346	borga	city
347	eiginlega	actually
348	sagði	to say, to tell
349	strákur	boy
350	sína	third-person reflexive possessive determiner: his, her,…
351	skilja	to separate
352	hamingju	happiness
353	mynd	image, picture
354	betri	better
355	frábær	excellent, brilliant, super, awesome, great
356	vona	hope
357	nær	nearer, closer
358	fallegt	beautiful, pretty, pulchritudinous
359	barn	child
360	næsta	very, quite
361	hlusta	to listen
362	bjarga	aid, rescue, help
363	oft	often
364	kenna	to teach, to tutor
365	margir	many, a lot of
