rank	word	english	ipa
1	aku	first person singular pronoun: I, me, my	/ˈaku/
2	kau	Second-person singular pronoun: you, your, yours	/ˈkau̯/
3	yang	that	/ˈjaŋ/
4	tidak	a negative marker used for negating the meanings of verbs,…	/ˈtidaʔ/
5	ini	only, just	/ˈini/
6	itu	that	/ˈitu/
7	dan	and	/dan/
8	dia	he	/ˈdia/
9	di	positioned at the upper surface of, touching from above	/di/
10	akan	of, about	/ˈakan/
11	apa	what	/ˈapa/
12	kita	First person plural inclusive pronoun: we, us, our	/ˈkita/
13	untuk	for	/ˈuntuʔ/
14	bisa	venom: a poison carried by an animal, usually injected into…	/ˈbisa/
15	ada	to be present, to exist, be there	/ˈʔä.dä/
16	tak	tidak	/ˈtaʔ/
17	mereka	third person plural pronoun: they, them, their	/məˈreka/
18	anda	second-person pronoun: you, your	/ˈanda/
19	tahu	once, yet	/ˈtahu/
20	dengan	with	/dəˈŋan/
21	saya	first person singular pronoun: I, me, my	/ˈsaja/
22	dari	from	/ˈdari/
23	ya	well, so	/ˈja/
24	tapi	alternative form of tetapi	/ˈtapi/
25	kami	First person plural exclusive pronoun: we, us, our	/ˈkami/
26	ke	to	[ˈkə]
27	harus	must, have to; should	/ˈharus/
28	sudah	perfective aspect, indicating that the process has been…	/ˈsudah/
29	kamu	second person pronoun: you, your	/ˈkamu/
30	adalah	a connector between two pieces of sentence that confirms…	/ˈadalah/
31	orang	human, person	/ˈoraŋ/
32	saja	also, besides; as well; further; too	/ˈsad͡ʒa/
33	seperti	Like; as though, similar to	/səpərˈti/
34	ingin	to wish for or desire; to feel a need or desire for; to…	/ˈiŋin/
35	jika	if	/ˈd͡ʒika/
36	pergi	to go	/pərˈɡi/
37	hanya	only	/ˈhaɲa/
38	semua	all	/səˈmua/
39	sekarang	now, today	/səˈkaraŋ/
40	sini	here	/ˈsini/
41	jadi	so	/ˈd͡ʒadi/
42	dalam	inside, in, within	/ˈdalam/
43	bukan	not	/ˈbukan/
44	baik	good, nice, decent	/ˈbaik/
45	bagaimana	how, in what manner	/ˌbaɡaɪˈmana/
46	jangan	expresses that something is forbidden or shouldn't happen:…	/ˈd͡ʒaŋan/
47	lagi	again, anew, anymore; any longer	/ˈlaɡi/
48	punya	of, belonging to	/ˈpuɲa/
49	lebih	more, to a greater degree or extent	/ləˈbih/
50	pada	at, on	/ˈpada/
51	mungkin	maybe, perhaps, possibly, probably	/ˈmuŋkin/
52	kalian	you	/kaˈlian/
53	lakukan	to do something	/laˈkukan/
54	karena	because	/karəˈna/
55	sangat	very	/ˈsaŋat/
56	satu	one	/ˈsatu/
57	juga	also, too	/ˈd͡ʒuɡa/
58	apakah	be	/apa.kah/
59	mau	to wish for or desire; to feel a need or desire for; to…	/ˈmau̯/
60	pernah	semelfactive or non-iterative aspect i. e. the action or…	/pərˈnah/
61	siapa	who, whose	/siˈapa/
62	telah	already	/təˈlah/
63	ayo	come on!	/ˈajo/
64	hal	circumstance, state, condition	/ˈhal/
65	saat	when, while, or referring to an occurrence that happened in…	/ˈsaat/
66	kenapa	why; for what reason	/kəˈnapa/
67	hari	any period of 24 hours	/ˈhari/
68	kembali	again; once more	/kəmˈbali/
69	atau	or	/ˈatau̯/
70	datang	to come	/ˈdataŋ/
71	begitu	like that	/bəˈɡitu/
72	sesuatu	something; a thing uncertain, undetected, or difficult to…	/səsuˈatu/
73	banyak	many	/ˈbaɲaʔ/
74	benar	true	/bəˈnar/
75	kasih	a deep caring for the existence of another	/ˈkasih/
76	menjadi	into	/mənˈd͡ʒadi/
77	melihat	active of lihat	/məˈlihat/
78	terjadi	to happen	/tərˈd͡ʒa.di/
79	melakukan	to do, to perform, to take action	/məlaˈkukan/
80	terima	to receive	/təˈrima/
81	tentang	of; about; on; regarding	/tənˈtaŋ/
82	lihat	to see, to perceive with the eyes	/ˈlihat/
83	seorang	human, person	/səˈoraŋ/
84	bahwa	that	/ˈbahwa/
85	kalau	if	/ˈkalau̯/
86	bagus	good, nice	/ˈbaɡus/
87	bilang	to say	/ˈbilaŋ/
88	masih	still	/ˈmasih/
89	oke	OK	/ɔke/
90	lain	other, another, else	/lain/
91	sana	there	/ˈsana/
92	waktu	when	/ˈwaktu/
93	baiklah	all right; alright	/baˈik.lah/
94	tempat	place	/təmˈpat/
