rank	word	english	ipa
1	e	and	/ˈe/
2	non	not	/non/
3	che	that, which	/ˈke/
4	di	of	/di/
5	la	the	/la/
6	il	the	/il/
7	un	a, an	/un/
8	a	to, at	/a/
9	per	for	/per/
10	è	Used as a copula. to be	/ˈɛ/
11	in	to	/in/
12	una	one	/ˈu.na/
13	mi	Used as ethical dative	/mi/
14	sono	Used as a copula. to be	/ˈso.no/
15	ho	first-person singular present indicative of avere and havere	/ˈɔ/
16	l'	apocopic form of il/lo, la: the	/l/
17	si	oneself, himself, herself, itself, themselves	/si/
18	ha	ah!	/ˈa/
19	ma	but, however	/ma/
20	lo	the form of il that is used before the so-called impure…	/lo/
21	cosa	what?	/ˈkɔ.za/
22	con	with, together	/kon/
23	no	not	/ˈnɔ/
24	le	the	/le/
25	ti	you; thou	/ˈti/
26	se	if	/se/
27	da	from	/da/
28	i	the	/ˈi/
29	come	how	/ˈko.me/
30	io	I	/ˈi.o/
31	ci	us	/ˈt͡ʃi/
32	hai	second-person singular present indicative of avere and…	/ˈaj/
33	questo	this, these	/ˈkwes.to/
34	bene	well, nicely, OK, right	/ˈbe.ne/
35	qui	here	/ˈkwi/
36	sei	six	/ˈsɛj/
37	del	contraction of di + il; some, of the, from the	/ˈdel/
38	tu	you; thou	/ˈtu/
39	solo	only, just, but, alone, merely	/ˈso.lo/
40	mio	my; of mine	/ˈmi.o/
41	al	contraction of a + il, literally “to the, at the”	/al/
42	me	Honorific alternative letter-case form of me, sometimes…	/ˈme/
43	tutto	all	/ˈtut.to/
44	c'	apocopic form of ci	
45	te	you, thee	/te/
46	era	Used as a copula. to be	/ˈɛ.ra/
47	della	contraction of di la; of the, from the	/ˈdella/
48	mia	mine	/ˈmia/
49	fatto	to do	/ˈfat.to/
50	fare	to do	/ˈfa.re/
51	essere	Used as a copula. to be	/ˈɛs.se.re/
52	so	to know	/ˈsɔ/
53	quando	when	/ˈkwan.do/
54	sì	yes	/ˈsi/
55	ora	now	/ˈo.ra/
56	lei	she	/ˈlɛj/
57	gli	him, to him; it; to it	/ʎi/
58	ne	from there	/ne/
59	oh	oh	/ˈo/
60	questa	this, these	/ˈkwes.ta/
61	detto	to utter with one's voice	/ˈdet.to/
62	ok	OK	/oˈkɛ.i/
63	va	to go	/ˈva/
64	perche	perch, Perca fluviatilis	/ˈpɛr.ke/
65	quello	that, those	/ˈkwel.lo/
66	mai	never	/ˈma.i/
67	alla	contraction of a + la; to the, at the	/ˈal.la/
68	o	or	/ˈɔ/
69	anche	also, too, as well, besides	/ˈan.ke/
70	stato	Used as a copula. to be	/ˈsta.to/
71	abbiamo	to have	/abˈbja.mo/
72	tutti	all; everybody, everyone	/ˈtut.ti/
73	dei	contraction of di + i; of the, from the	/ˈdej/
74	grazie	grace	/ˈɡrat.t͡sje/
75	chi	who, whom; whoever	/ki/
76	sta	to stay, remain	/ˈsta/
77	molto	much, very much, a lot	/ˈmol.to/
78	più	anymore, any longer	/ˈpju/
79	voglio	to want	/ˈvɔʎ.ʎo/
80	perché	because, why	/perˈke/
81	tuo	your	/ˈtu.o/
82	beh	well	/ˈbɛ/
83	sia	both ... and	/ˈsi.a/
84	nel	contraction of in il; in the	/nel/
85	lui	he	/ˈluj/
86	allora	then	/alˈlo.ra/
87	posso	can, could; to be able to	/ˈpɔs.so/
88	ehi	hey!	/ˈej/
89	prima	before	/ˈpri.ma/
90	tua	your	/ˈtu.a/
91	suo	his, her, its	/ˈsu.o/
92	niente	nothing	/ˈnjɛn.te/
93	qualcosa	something	/kwalˈkɔ.za/
94	sai	to know	/ˈsaj/
