rank	word	english
1	내가	allomorph of 나 I” before -가
2	그	that
3	난	topic-marked form of 나
4	내	allomorph of 나 before -가
5	안	not
6	수	a few, several
7	이	this
8	네	four
9	거야	last night, yesterday evening
10	좀	contraction of 조금: a little, somewhat, quite, very
11	그래	like this, like that
12	있어	해체 present tense form of 있다
13	왜	why
14	더	more, -er
15	그리고	and, also, in addition
16	우리	we, us, and possibly others, forming a collective “we”
17	다	all, completely
18	무슨	what, what kind of
19	한	one
20	하지만	but, however
21	잘	well
22	어떻게	how; adverbial form of 어떻다
23	할	a tenth
24	그냥	simply; just like that; just as it is
25	정말	really; truly
26	그럼	then, in that case
27	것	thing; something; that which; what; used to designate any…
28	게	contraction of 거이; nominative of 거
29	해	10²⁰
30	여기	here
31	넌	contraction of 너는 = 너 + 는
32	날	day
33	건	past determinative of 걸다: having been suspended, spoken; of…
34	전	ex-; previous
35	이제	now, and now
36	지금	now
37	그게	that thing
38	걸	alternative form of 것
39	거	contraction of 그것
40	아니	no; not
41	네가	allomorph of 너 you” before -가
42	돼	to become
43	저	that
44	우린	topic-marked form of 우리
45	제	allomorph of 저 before -가
46	못	cannot
47	좋아	to be good; great; excellent
48	다른	different, other
49	나	I, me; the first-person singular plain pronoun
50	그런	like that, such
51	너무	too, excessively
52	그래서	therefore, accordingly, because of that, because things are…
53	그렇게	so, so much
54	다시	again, once more
55	이런	like this; such
56	모든	all, every, each
57	당신	second person singular plain pronoun; you
58	아	I; me
59	오	five
60	때	time; occasion
61	너	second-person singular informal pronoun; you
62	하고	a conjunctive form of 하다
63	아냐	contraction of 아니야
64	나는	topic-marked form of 나: see -은
65	아니야	no
66	같이	together with
67	응	yes
68	이게	this thing
69	오늘	today
70	줄	ability, method; how to
71	또	also
72	널	panel, board, plank
73	누가	who
74	어떤	what kind of
75	아주	very
76	말	speech
77	아직	still
78	진짜	really; actually
79	모두	all, wholly
80	마	jinx; devil, demon; evil spirit / influence
81	같은	the same
82	어서	quickly
83	위해	harm; danger
84	해요	informal polite present exclamatory form of 하다
85	일이	one or two
86	하지	summer solstice
87	엄마	mum, mummy
88	바로	truly, without lie or deception
89	가	border, edge, end
90	근데	however; but
91	이렇게	like this, this way
92	빨리	quickly, without delay; often used when urging someone to…
93	이거	this thing, this matter
94	어	uh-huh, yes
95	아뇨	contraction of 아니요
96	계속	continuously
97	얼마나	how long, how much, how many
98	제발	please
99	어디	where
100	안녕	peace; tranquility
101	좋아요	like
102	자	10²⁴
103	두	two
104	때문에	because of this, because of the aforementioned
105	아빠	dad, papa
106	몇	how many
107	사람	human being, person
108	수도	capital
109	많이	many, much, a lot, plenty, in abundance
110	거지	beggar, bum, vagrant, vagabond, hobo, panhandler
111	저는	topic-marked form of 저: see -은
