rank	word	english	ipa
1	ir	additive conjunction used to join several similar sentence…	[ir]
2	es	I; first person pronoun, referring to the speaker	[ɛs]
3	tu	you; thou; second person pronoun, referring to the addressee	[tu]
4	un	additive conjunction used to link similar terms in a…	[ùn]
5	tas	that	[ˈtas]
6	ka	that; used to link a subordinate clause to the main clause,…	[ka]
7	man	to me; dative singular of es	/ˈman/
8	to	that; accusative singular masculine of tas	/ˈtuo/
9	vai	interrogative particle, used in either-or questions	/ˈʋai/
10	ko	who, what	/ˈkuo/
11	ar	with	/ˈar/
12	par	about, on	/ˈpar/
13	kas	who, what	/ˈkas/
14	tā	of that; genitive singular masculine of tas	[tāː]
15	kā	how	[ˈkâː]
16	viņš	he; third person pronoun, referring to someone other than…	[ˈviɲʃ]
17	tev	to you; dative singular of tu	/teu/
18	jā	used as a noun, generally with teikt or sacīt, to indicate…	[jàː]
19	uz	on, onto	/ˈuz/
20	no	from	/ˈnuo/
21	mēs	we; first person pronoun, referring to the speaker and…	[mɛ̄ːs]
22	nav	is not; third-person singular present indicative of nebūt	/nau/
23	labi	well; adverbial form of labs	/lɑbi/
24	nē	used instead of a negative verb form; no, ...not	/ˈneː/
25	bet	adversative conjunction, used to express contrast or…	[bɛt]
26	jūs	you; accusative plural of jūs	[juːs]
27	lai	with the conditional, indicating purpose, sometimes cause;…	[laî]
28	ja	if	/ˈja/
29	viņa	his; genitive singular masculine of viņš	/ˈʋiɲa/
30	mani	me; accusative singular of es	/ˈmani/
31	bija	was; third-person singular past indicative of būt	/ˈbija/
32	viņu	him; accusative singular of viņš	/ˈʋiɲu/
33	esmu	am; first-person singular present indicative of būt	[ˈæsmu]
34	esi	are; second-person singular present indicative of būt	/ˈesi/
35	tevi	you; accusative singular of tu	/ˈteʋi/
36	mums	to us; dative plural of mēs	/ˈmums/
37	ne	not	/ˈne/
38	tikai	referring to other possibilities, alternatives; not only,…	/ˈtikai/
39	tad	then	/ˈtad/
40	viņi	they; third person pronoun, referring to people other than…	/ˈʋiɲi/
41	kad	when	/ˈkad/
42	jums	to you; dative plural of jūs	/ˈjums/
43	arī	as well as	[aɾîː]
44	viss	all, everything, anything	[vis]
45	pie	at	[ˈpìɛ̯]
46	kur	where? in what place?	[kùɾ]
47	nu	well	/ˈnu/
48	vēl	yet; again; in addition	[ˈvɛ̂ːl]
49	tik	so	/ˈtik/
50	jau	used to indicate that an action or event has started,…	[ˈjàu̯]
51	tur	used to indicate an unnamed location relatively far from…	[tùɾ]
52	te	here	/ˈte/
53	kaut	Links parts of a sentence and expresses a wish	[ˈkaû̯t]
54	būs	will be; third-person singular future indicative of būt	/ˈbuːs/
55	paldies	thank you	/pɑldies/
56	visu	all, whole, entire	/ˈʋisu/
57	viņam	to him; dative singular of viņš	/ˈʋiɲam/
58	tagad	now	[taɡat]
59	pēc	after, afterwards, later, later on	[pɛː̂ts]
60	šeit	here	[ʃɛît]
61	kāpēc	why? for what reason? for what purpose?	[ˈkâːpêːts]
62	būtu	to be, to exist	/ˈbuːtu/
63	ļoti	used to intensify the meaning of the word it accompanies;…	[ʎùoti]
64	savu	own; used with all persons	/ˈsaʋu/
65	mūsu	our, ours, of us; genitive plural of mēs	[ˈmuːsu]
66	lūdzu	please	/ˈluːdzu/
67	taču	but, but also; adversative conjunction, used to express…	[ˈtat͡ʃu]
68	šo	this; accusative singular masculine of šis	/ˈʃuo/
69	gan	both, and	/ˈɡan/
70	mans	my, mine	/ˈmans/
71	ak	used to give an interjectional flavor to an utterance,…	/ˈak/
72	kāds	what, what kind	[kɑ̟ːt̪s̪]
73	jūsu	your, yours, of you; genitive plural of jūs	/ˈjuːsu/
74	zinu	to know	/ˈzinu/
75	daudz	much, a lot; adverbial form of daudzi	[ˈdāū̯d͡z]
76	jo	because	/ˈjuo/
77	varbūt	Used to express possibility, probability; perhaps, maybe,…	/ˈʋarbuːt/
78	esam	are; first-person plural present indicative of būt	[ˈæsːam]
79	kungs	gentleman	[ˈkùŋks]
80	cik	how	/ˈt͡sik/
81	zini	to know	/ˈzini/
82	tās	that	/ˈtaːs/
83	mana	my, mine	/ˈmana/
84	tiešām	really	/ˈtieʃaːm/
85	esat	are; second-person plural present indicative of būt	[ˈæsːat]
86	domāju	first-person singular present/past indicative of domāt	/duɔmaːju/
87	pa	on	/ˈpa/
88	var	can; to be able to	/ˈʋar/
89	varētu	can; to be able to	/ˈʋaræːtu/
90	būt	to be, to exist	[ˈbûːt]
91	tam	to that; dative singular masculine of tas	/ˈtam/
92	tāpēc	used, together with lai, to indicate intention or purpose;…	/ˈtaːpeːt͡s/
93	visi	all, whole, entire	/ˈʋisi/
94	nezinu	to not know; negative form of zināt	/ˈnezinu/
95	šī	of this; genitive singular masculine of šis	/ˈʃiː/
96	nekad	never	/neˈkad/
97	viens	one	[ˈviɛ̯̂ns]
98	līdz	till	/ˈliːdz/
99	pat	even	/ˈpat/
100	aiziet	to leave, to go away, to escape	/ˈaiziet/
101	gribu	to want	/ˈɡribu/
102	manu	my, mine	/ˈmanu/
103	varu	power	/ˈʋaru/
104	gribi	to want	/ˈɡribi/
105	kurš	which, who	/ˈkurʃ/
106	kopā	together	[ˈkuō.paː]
107	tie	those; nominative plural masculine of tas	/ˈtie/
108	neesmu	am not; first-person singular present indicative of nebūt	/ˈneesmu/
109	dievs	god	[ˈdìɛws]
110	prom	away	/ˈpruom/
111	domā	thought	/ˈduomaː/
112	pirms	before	/ˈpirm̩s/
113	vairs	any more, anymore	/ˈʋairs/
114	neko	nothing	/neˈkuo/
115	viņiem	to them; dative plural of viņi	/ˈʋiɲiem/
116	protams	which can or should be known; indefinite present passive…	/ˈpruotams/
117	vien	only	/ˈʋien/
118	šis	this	[ˈʃis̪]
119	kādu	what, what kind	/ˈkaːdu/
120	vajag	to be necessary, to be needed, to be desired	/ˈʋa`ja`ɡ/
121	mūs	us; accusative plural of mēs	/ˈmuːs/
122	kārtībā	ok	/ˈkaːrtiːbaː/
123	tieši	directly	/ˈtieʃi/
124	tava	your, yours	/ˈtaʋa/
125	atpakaļ	back	/ˈatpakaʎ/
126	viņai	to her; dative singular of viņa	/ˈʋiɲai/
127	nāc	to come	/ˈnaːt͡s/
128	tavs	your, yours	/ˈtaʋs/
129	vienu	one	/ˈʋieːnu/
130	nekas	nothing	/neˈkas/
131	patīk	to like	/ˈpatiːk/
132	vairāk	more	/ˈʋairaːːk/
133	notiek	to happen	/ˈnuotiek/
134	pats	self	[ˈpat͡s]
135	vienmēr	always; permanently; constantly; at any time	[ˈviɛ̯̂nmǣːɾ]
136	viņas	her, of her; genitive singular of viņa	/ˈʋiɲas/
137	nevaru	to not be able to; negative form of varēt	/ˈneʋaru/
138	vari	can; to be able to	/ˈʋari/
139	vienkārši	simply	/ˈʋieːnkaːrʃi/
140	tavu	your, yours	/ˈtaʋu/
141	dari	to do	/ˈdari/
142	bez	without	/ˈbez/
143	iet	to go, to walk	[iɛ̂t]
144	pret	against	/ˈpret/
145	ej	to go, to walk	/ˈej/
146	nebija	was not; third-person singular past indicative of nebūt	/ˈnebija/
147	labāk	better; adverbial form of labāks	/ˈlabaːːk/
148	dēļ	because of	[ˈdɛ̄ːʎ]
149	lieliski	great, wonderful, excellent, wonderfully, excellently;…	/ˈlielːiski/
150	kāda	what, what kind	/ˈkaːda/
151	teica	to say, to tell	/ˈteit͡sa/
152	biju	was; first-person singular past indicative of būt	/ˈbiju/
153	šķiet	to seem	/ˈʃciet/
154	laiku	time, era	/ˈlaiku/
155	nekā	than	/neˈkaː/
156	sveiks	safe; unharmed despite adverse circumstances	[svɛ̀jks]
157	mājās	house, dwelling	/ˈmaːjaːs/
158	tātad	so	/ˈtaːtad/
159	neviens	nobody	/neˈʋiens/
160	piedod	I'm sorry	/ˈpieduod/
161	zināt	to know	[zinâːt]
162	atkal	again	/ˈatkal/
163	iekšā	in, inside	/ˈiekʃaː/
164	laiks	time, era	[ˈɫāī̯ks̪]
165	nevar	to not be able to; negative form of varēt	/ˈneʋar/
166	pagaidi	to wait for a while	/ˈpaɡaidi/
167	viņus	them; accusative plural of viņi	/ˈʋiɲus/
168	ejam	to go, to walk	/ˈejam/
169	tāds	such	[ˈtâːt͡s]
170	trīs	three	[triːs]
171	teicu	first-person singular present/past indicative of teikt	/ˈteit͡su/
172	runā	to speak, to talk	/ˈrunaː/
173	manis	of me; genitive singular of es	/ˈmanis/
174	cilvēki	person, human being	/ˈt͡sillʋæːki/
175	ei	used to stimulate somebody's attention	/ˈei/
176	darīt	to do	[darîːt]
177	neesi	are not; second-person singular present indicative of nebūt	/ˈneesi/
178	pārāk	too	/ˈpaːraːːk/
179	labs	good following accepted moral rules, treating others in a…	/ˈlabs/
180	varam	being able to; adverbial object-of-perception present…	/ˈʋaram/
181	tevis	of you; genitive singular of tu	/ˈteʋis/
182	visiem	all, whole, entire	/ˈʋisiem/
183	sauc	to call, to cry	/sauts/
184	velns	the Devil; Satan	[ˈvǣlns]
185	cilvēks	person, human being	[ˈt͡sìlvǣːks]
186	draugs	friend	[drà͜ʊks̪]
187	laika	time, era	/ˈlaika/
188	sevi	-self, with -self; reflexive pronoun, accusative and…	/ˈseʋi/
189	ārā	out, outside	/ˈaːraː/
190	viena	one	/ˈʋieːna/
191	naudu	money	/ˈnaudu/
192	taisnība	justice	/taisniːbɑ/
193	tos	those; accusative plural masculine of tas	/ˈtuos/
194	tēvs	father	[ˈtǣːws]
195	skaidrs	clean, clear, bright, without clouds	[skāīdrs]
196	šurp	here	/ˈʃurp/
197	laikā	in time	/ˈlaikaː/
198	šodien	today	[ˈʃuɔ̯d̪iɛn̪]
199	notika	to happen	/nuotikɑ/
200	lietas	thing	/ˈlietas/
201	citu	another	/ˈt͡situ/
202	tajā	in that; locative singular masculine of tas	/ˈtajaː/
203	kuru	which, who	/ˈkuru/
204	atvainojiet	sorry	/ˈatʋaiːnuojiet/
205	teikt	to say, to tell	[tɛ̀ikt]
206	grib	to want	/ˈɡrib/
207	šīs	of this; genitive singular feminine of šis	/ˈʃiːs/
208	šajā	in this; locative singular masculine of šis	/ˈʃajaː/
209	nozīmē	meaning	/nuoziːmeː/
210	tādu	such	/ˈtaːdu/
211	dienu	day	/ˈdieːnu/
212	izskatās	to look	[isːkataːs]
213	kam	who, what	/ˈkam/
214	vecīt	pop	/ˈʋet͡siːt/
215	mīlu	love	/ˈmiːlu/
216	vajadzētu	to be necessary, to be needed, to be desired	/ˈʋa`ja`dzeːtu/
217	laikam	probably	/ˈlaikam/
218	žēl	used with verbs būt, tikt, tapt and kļūt to express pity	[ˈʒǣːl]
