rank	word	english	ipa
1	ir	and, too	[²ˈɪrˑ]
2	aš	I	[ˈɐʃ]
3	tai	that, then; introduces a complement to the main clause	/tɐɪ/
4	kad	that	[kɐd]
5	tu	you	[ˈtʊ]
6	ne	no	/nɛ/
7	taip	yes	[²ˈtɐɪˑp]
8	jis	he, it	/jɪs/
9	ką	who	[²ˈkɑː]
10	čia	here	[ˈt͡ʃʲɛ]
11	į	to, into, toward	[²ˈiː]
12	kaip	how	[²ˈkɐɪˑp]
13	su	identifies the object of a reciprocal action	[ˈsʊ]
14	ar	whether, if	[²ˈɐrˑ]
15	o	and, but	[²ˈoː]
16	man	I	[¹ˈmɑˑn]
17	kas	who	
18	gerai	well	/ˈɡʲærɐɪ̯/
19	mano	my, mine	[ˈmɐnoː]
20	bet	but, yet, though	[ˈbʲɛt]
21	iš	from, out of; through	[ˈɪʃ]
22	mes	we	/mʲæːs/
23	tik	just, only	[tʲɪk]
24	tau	you	[¹ˈtɑˑʊ]
25	ji	she	[jɪ]
26	yra	third-person singular/plural present of bū́ti	[iˈrɐ]
27	jei	if	[jæj]
28	jie	they	/jæ/
29	tavo	your	[ˈtɐʋoː]
30	buvo	to be	[ˈbʊʋoː]
31	savo	reflexive possessive pronoun; belonging to the subject of…	[ˈsɐʋoː]
32	kur	where	[²ˈkʊrˑ]
33	kai	when, while, as	/kɐɪˑ/
34	dar	yet; still	/dar/
35	mane	I	[mɐˈnʲɛ]
36	jūs	you	[²ˈju̟ːs]
37	dabar	now	[dɐ²ˈbɐrˑ]
38	apie	about	[ɐ²ˈpʲiɛ]
39	viskas	everything	[ˈʋʲɪskɐs]
40	jį	he, it	
41	tave	you	[tɐˈʋʲɛ]
42	jo	his	[²ˈjo̟ː]
43	jau	already	/jɛʊ̯/
44	labai	very; really	[lɐˈbɐj]
45	to	that; genitive singular masculine of tas	[²ˈtoː]
46	ten	there	[²ˈtʲɛnˑ]
47	reikia	to need	[²ˈrʲɛɪˑkʲɛ]
48	už	for	[ʊʒ]
49	turi	to have	/tʊˈrʲɪ/
50	kodėl	why	[koː²ˈdʲeːl]
51	po	under, beneath	[²ˈpoː]
52	dėl	for	[²ˈdʲeːl]
53	mūsų	our	[¹ˈmuːsuː]
54	per	through	[²ˈpʲɛrˑ]
55	nors	some-	[¹ˈnoːrs]
56	gali	to be able to; can, may	[ɡɐˈlʲɪ]
57	gal	maybe, perhaps	[¹ˈɡɑˑl]
58	jūsų	your	[ˈjusuː]
59	tikrai	really	/tʲɪˈkɾɐɪ̌ˑ/
60	ačiū	thank you	[²ˈɑːt͡ʃʲu̟ː]
61	nori	to want	[¹ˈnoːrʲɪ]
62	ko	who	[²ˈkoː]
63	nuo	from, off, out of	[²ˈnuɔ]
64	turiu	to have	[tʊˈrʲʊ̟]
65	bus	to be	[ˈbʊs]
66	jos	they	/joːs/
67	štai	here is	[²ˈʃtɐɪˑ]
68	manęs	I	/ˈmɑ̌ːnʲæːs/
69	ją	she	/jaː/
70	būti	to be	[ˈbuːtʲɪ]
71	mums	we	[¹ˈmʊms]
72	jam	he, it	
73	jums	you	
74	nes	because, since	[ˈnʲɛs]
75	visi	everyone, all of them	[ʋʲɪˈsʲɪ]
76	noriu	to want	[¹ˈnoːrʲʊ̟]
77	juk	emphatic particle: after all	[ˈjʊ̂kʰ]
78	žinai	to know	[ʒʲɪ²ˈnɐɪˑ]
79	tiesiog	straight, right	[tʲjɛˈsʲoɡ]
80	tavęs	you	[tɐ²ˈʋʲæːs]
81	žinau	to know	[ʒʲɪ²ˈnɒʊˑ]
82	tą	that	[²ˈtɑː]
83	nėra	negative form of yrà	[nʲeːˈrɐ]
84	ant	on	[²ˈɐnˑt]
85	daug	much, a lot	[²ˈdɒʊˑk]
86	tas	that	[ˈtɐs]
87	tada	at the time	[tɐˈdɐ]
88	prie	near	[²ˈpʲrʲiɛ]
89	iki	to	[ɪˈkʲɪ]
90	labas	hi, hello	/ˈɫɑ̌ːbɐs/
91	jų	their	/juː/
92	juos	they	
93	prieš	versus	[²ˈpʲrʲiɛʃ]
94	vienas	one	[¹ˈʋʲiɛnɐs]
95	daugiau	much, a lot	[dɒʊ²ˈɡʲɛʊˑ]
96	galiu	to be able to; can, may	[ɡɐˈlʲʊ̟]
97	manau	to deem	[mɐ²ˈnɒʊˑ]
98	mus	we	[ˈmʊs]
99	jus	you	
100	pas	by; with; at	[ˈpɐs]
101	pat	very, right	[ˈpɐt]
102	toks	such	[¹ˈtoːks]
103	net	even	[ˈnʲɛt]
104	be	without	[ˈbʲɛ]
105	kol	while, as long as; until	/koːl/
106	žinoma	of course	[ˈʒʲɪnoːmɐ]
107	kiek	how much, how many	[¹ˈkʲiɛk]
108	koks	what, which	[¹ˈkoːks]
109	mama	mother	
110	nei	neither ... nor	[²ˈnʲɛɪˑ]
111	esu	first-person singular present of bū́ti	[ɛˈsʊ]
112	pats	oneself: himself, herself, myself, yourself	[ˈpɐts]
113	būtų	to be	[ˈbuːtuː]
114	esi	to be	[ɛˈsʲɪ]
115	niekada	never	[nʲiɛkɐˈdɐ]
116	tiesa	by the way	/tʲiəˈsɐ/
117	kartą	time	/ˈkɐ̌rˑ.taː/
118	pasakyti	to say, to tell	[pɐsɐ¹ˈkʲiːtʲɪ]
119	jog	that	/ˈjôːɡ/
120	geriau	comparative degree of gerai̇̃	[ɡʲɛ²ˈrʲɛʊˑ]
121	visą	everyone, all of them	[ˈʋʲɪsɑː]
122	jai	she	
123	vieną	one	[¹ˈʋʲiɛnɑː]
124	kada	when	[kɐˈdɐ]
125	šiandien	today	[²ˈʃʲɛnʲˑdʲiɛn]
126	kuris	which	[kʊˈrʲɪs]
127	niekas	nobody; anybody	[²ˈnʲiɛkɐs]
128	atsiprašau	to apologize	[ɐt̪͡s̪ʲɪprɐˈʃɐʊ̯]
129	turime	to have	[ˈtʊrʲɪmʲɛ]
130	kuo	who	[²ˈkuɔ]
131	todėl	therefore; so; that's why	[toː²ˈdʲeːl]
132	aišku	neuter of áiškus	[¹ˈɑˑɪʃkʊ]
133	žmonės	human	[¹ˈʒmoːnʲeːs]
134	eik	to go	[²ˈɛɪˑk]
135	greičiau	quickly, swiftly	[ɡrʲɛɪ²ˈt͡ʃʲɛʊˑ]
136	tuo	instrumental masculine singular of tàs	[²ˈtuɔ]
137	palauk	to wait a bit; to hang on	[pɐ¹ˈlɑˑʊk]
138	arba	or	[ɐrˈbɐ]
139	laiko	genitive singular of lai̇̃kas	[²ˈlɐɪˑkoː]
140	patinka	to appeal, like	[pɐ²ˈtʲɪŋˑkɐ]
141	vėl	again	[²ˈʋʲeːl]
142	manai	to deem	/mɐˈnɐɪ̌/
143	jeigu	if	[jæjɡʊ]
144	sveiki	hello	
145	visai	completely, entirely	/ˈvʲɪ.s̪ɐɪ/
146	kartu	together	/kɐrˈtʊ/
147	visada	always, constantly	[ʋʲɪsɐˈdɐ]
148	buvau	to be	[bʊ²ˈʋɒʊˑ]
149	du	two	[ˈdʊ]
150	kam	why, for what reason, what's the reason	/ˈkɑ̂ːm/
151	tuoj	soon	[²ˈtuɔɪ̯]
152	namo	home, homewards	/nɐˈmoː/
153	ta	that	[ˈtɐ]
154	žmogus	human	[ʒmoːˈɡʊs]
155	tačiau	but, yet	[tɐ²ˈt͡ʃʲɛʊˑ]
156	jiems	they	
157	darai	to make	[dɐ²ˈrɐɪˑ]
158	kažkas	something	/kɐʃˈkɐs/
159	juo	he, it	
160	sakė	to say	[²ˈsɑːkʲeː]
161	padaryti	to do, accomplish	[pɐdɐ¹ˈrʲiːtʲɪ]
162	visus	everyone, all of them	[ʋʲɪˈsʊs]
163	irgi	also	[²ˈɪrʲˑɡʲɪ]
164	geras	good	/ˈɡʲæɾɐs/
165	eiti	to go	[ˈɛɪ̯̌ːtʲɪ]
166	šūdas	shit	/ˈʃuːdɐs/
167	sveikas	healthy	
168	kokia	feminine nominative/instrumental singular of kóks	[koːˈkʲɛ]
169	daryti	to make	[dɐ¹ˈrʲiːtʲɪ]
170	galbūt	maybe	[ɡɐl¹ˈbuːt]
171	viena	one	/vʲiəˈn̪ɐ/
172	visa	everyone, all of them	/vʲɪˈs̪ɐ/
173	kurie	which	[kʊ²ˈrʲiɛ]
174	dieną	day, daytime	[²ˈdʲiɛnɑː]
175	tam	for that purpose	
176	padėti	to help, assist	/pɐˈd̪ʲêː.t̪ʲɪ/
177	žmogau	human	[ʒmoː²ˈɡɒʊˑ]
178	šis	this	[ˈʃʲɪs]
179	velnias	devil; demon	[¹ˈʋʲæˑlʲnʲɛs]
180	myliu	to love	[¹ˈmʲiːlʲʊ̟]
181	sakiau	to say	[sɐ²ˈkʲɛʊˑ]
