rank	word	english	ipa
1	да	yes	[da(ː)]
2	не	no	[nɛ]
3	се	Short reflexive direct object pronoun	[sɛ]
4	е	to be	/e/
5	на	on	[na]
6	го	Short direct object form of тој	[ɡɔ]
7	и	and	/i/
8	што	the	[ʃtɔ]
9	ќе	Future particle equivalent to "will" in English	[cɛ]
10	во	in	[vɔ]
11	за	for	[za]
12	тоа	it, that	[ˈtɔa]
13	ти	you	[ti]
14	дека	that	[ˈdɛka]
15	од	from	[ɔt]
16	со	with	[sɔ]
17	ми	Short indirect object form of јас	[mi]
18	си	Short reflexive indirect object pronoun	[si]
19	ја	short direct object form of таа	[ja]
20	како	how	[ˈkakɔ]
21	јас	I	[jas]
22	ги	Short direct object form of тие	[ɡi]
23	ова	this one	/ˈɒvɐ/
24	сум	to be	[sum]
25	добро	well, alright, fine, okay	[ˈdɔbrɔ]
26	ме	Short direct object form of јас	[mɛ]
27	те	at times... at other times	[tɛ]
28	само	only, just	[ˈsamɔ]
29	ли	An interrogative particle used in yes-or-no questions	[li]
30	нема	to not have, to lack	[ˈnɛma]
31	но	but	[nɔ]
32	ако	if, assuming that, suppose	[ˈakɔ]
33	а	what about	[a]
34	тој	that	[tɔj]
35	беше	to be	[ˈbɛʃɛ]
36	треба	to be necessary, be advisable	[ˈtrɛba]
37	кога	when	[ˈkɔɡa]
38	сега	now	[ˈsɛɡa]
39	многу	very, a lot	[ˈmnɔɡu]
40	кој	which	[kɔj]
41	му	Short indirect object form of тој	[mu]
42	има	to have	[ˈima]
43	нешто	something	[ˈnɛʃtɔ]
44	може	to be able	[ˈmɔʒɛ]
45	мене	Long direct object form of јас	[ˈmɛnɛ]
46	би	A verbal particle used to render the conditional mood	[bi]
47	каде	where, whereto, whither	[ˈkadɛ]
48	сакам	to want, desire	[ˈsakam]
49	тебе	Long direct object form of ти	[ˈtɛbɛ]
50	тука	here	[ˈtuka]
51	дали	if, whether	[ˈdali]
52	така	that way, thus, so	[ˈtaka]
53	зошто	why	[ˈzɔʃtɔ]
54	сите	entire, whole, all	[ˈsitɛ]
55	ајде	let's go	[ˈajdɛ]
56	ред	line, string, row	[rɛt]
57	ни	neither	[ni]
58	па	so	[pa]
59	овде	here	[ˈɔvdɛ]
60	таа	she	[ˈtaa]
61	биде	to be	[ˈbidɛ]
62	по	after	[pɔ]
63	сакаш	to want, desire	[ˈsakaʃ]
64	до	next to, beside	[dɔ]
65	еден	one	[ˈɛdɛn]
66	ви	Short indirect object form of вие	[vi]
67	уште	still, yet	[ˈuʃtɛ]
68	или	or	[ili]
69	некој	some	/ˈnæko̞j/
70	ама	but	[ˈama]
71	време	time	[ˈvrɛmɛ]
72	ништо	nothing	[ˈniʃtɔ]
73	тие	they	[ˈti(j)ɛ]
74	таму	there	[ˈtamu]
75	сме	to be	[smɛ]
76	мора	to have to, must	[ˈmɔɾa]
77	пред	before	[prɛt]
78	можеби	maybe, perhaps	[ˈmɔʒɛbi]
79	имам	to have	[ˈimam]
80	ве	Short direct object form of вие	[vɛ]
81	малку	a little, some	[ˈmaɫku]
82	молам	please	[ˈmɔɫam]
83	ние	we	[ˈni(j)ɛ]
84	еј	hey	[ɛj]
85	повеќе	rather, preferably	[ˈpɔvɛcɛ]
86	навистина	really, truly	[naˈvistina]
87	колку	how much, how	[ˈkɔɫku]
88	него	Long direct object form of тој	[ˈnɛɡɔ]
89	работа	work, labor	[ˈrabɔta]
90	тогаш	then	[ˈtɔɡaʃ]
91	оди	to go, walk	[ˈɔdi]
92	здраво	healthily, wholesomely	[ˈzdravɔ]
93	толку	that much, that	[ˈtɔɫku]
94	никогаш	never	[ˈnikɔɡaʃ]
95	луѓе	person	[ˈɫuɟɛ]
96	вие	you	[ˈvi(j)ɛ]
97	им	Short indirect object form of тие	[im]
98	кои	who	[ˈkɔi]
99	значи	so, thus, in other words	[ˈznat͡ʃi]
100	затоа	therefore	[ˈzatɔa]
101	една	one	[ˈɛdna]
102	благодарам	thanks	[bɫaˈɡɔdaɾam]
103	овој	this	[ˈɔvɔj]
104	која	who	[ˈkɔja]
105	татко	father	[ˈtatkɔ]
106	веќе	already	[ˈvɛcɛ]
107	работи	work, labor	[ˈrabɔti]
108	нели	right, don't you think	[ˈnɛli]
109	без	without	[bɛs]
110	човек	person	[ˈt͡ʃɔvɛk]
111	години	year	[ˈɡɔdini]
112	нас	Long direct object form of ние	[nas]
113	ден	day	[dɛn]
114	оваа	this one	[ˈɔvaa]
115	фала	thanks	[ˈfaɫa]
116	кај	at, by	[kaj]
117	сака	to want, desire	[ˈsaka]
118	направи	to do, make	[ˈnapravi]
119	о	wow	/ɔ/
120	рече	to say, utter, tell	[ˈrɛt͡ʃɛ]
121	види	to see, look	[ˈvidi]
122	изгледа	to look, appear, seem	[ˈizɡlɛda]
123	додека	while	[ˈdɔdɛka]
124	бидејќи	because, since	[biˈdɛjci]
125	кажи	to tell, say	[ˈkaʒi]
126	пат	way, road	[pat]
127	вас	Long direct object form of вие	[vas]
128	никој	no, not any	[ˈnikɔj]
129	место	instead of	[ˈmɛstɔ]
130	овие	this one	[ˈɔvi(j)ɛ]
131	дома	at home	[ˈdɔma]
132	мајка	mother	[ˈmajka]
133	секогаш	always	[ˈsɛkɔɡaʃ]
134	жал	sorrow, grief	[ʒaɫ]
135	неа	Long direct object form of таа	[ˈnɛa]
136	добар	good	[ˈdɔbar]
137	бил	to be	[biɫ]
138	дојде	to come, arrive	[ˈdɔjdɛ]
139	подобро	good	[ˈpɔdɔbrɔ]
140	боже	god	[ˈbɔʒɛ]
141	нив	Long direct object form of тие	[nif]
142	неколку	a few, several, some	[ˈnɛkɔɫku]
143	луѓето	person	[ˈɫuɟɛtɔ]
144	било	to be	[ˈbiɫɔ]
145	веднаш	immediately	[ˈvɛdnaʃ]
146	живот	life	[ˈʒivɔt]
147	она	that one	/ˈɒnɐ/
148	жена	woman	[ˈʒɛna]
149	секако	everyhow	[ˈsɛkakɔ]
150	тато	dad	[ˈtatɔ]
151	секој	every, each	/ˈsæko̞j/
152	добра	good	[ˈdɔbra]
153	знае	to know	[ˈznaɛ]
154	исто	identically, in the same way	[ˈistɔ]
155	право	straight, directly	[ˈpravɔ]
156	извини	to forgive, excuse, pardon	[ˈizvini]
157	гледам	to see	[ˈɡlɛdam]
158	еве	here, here it is, here you are, voilà	/ˈæve̞/
159	сигурно	surely, certainly	[ˈsiɡurnɔ]
160	ох	oh	[ɔx]
161	пари	money	[ˈpaɾi]
162	поради	because of, due to	[ˈpɔɾadi]
163	дај	to give	[daj]
164	прави	right, proper	[ˈpravi]
165	врати	to return, restore, give back	[ˈvrati]
166	сеуште	misspelling of сѐ уште	[ˈsɛuʃtɛ]
167	дури	even	[ˈduɾi]
168	сакав	to want, desire	[ˈsakaf]
169	повторно	again	[ˈpɔftɔrnɔ]
170	видам	to see, look	[ˈvidam]
171	гледаш	to see	[ˈɡlɛdaʃ]
172	дојди	to come, arrive	[ˈdɔjdi]
173	после	afterwards, later	[ˈpɔslɛ]
174	друг	other	[druk]
175	доволно	sufficiently, enough	[ˈdɔvɔɫnɔ]
176	надвор	outside	[ˈnadvɔr]
177	три	three	[tri]
178	помош	help	[ˈpɔmɔʃ]
179	баш	exactly, precisely	[baʃ]
180	едно	one	[ˈɛdnɔ]
181	убаво	beautifully	[ˈubavɔ]
182	кон	towards, to	/koːn/
183	сакате	to want, desire	[ˈsakatɛ]
184	проблем	problem	[ˈprɔblɛm]
185	пак	again	[pak]
186	супер	awesomely, superbly	[ˈsupɛr]
187	немам	to not have, to lack	[ˈnɛmam]
188	денес	today	[ˈdɛnɛs]
189	мој	my, mine	[mɔj]
190	брат	brother	[brat]
191	син	blue	[sin]
192	г	g	/g/
193	два	two	[dva]
194	под	under	[pɔt]
195	начин	way, manner, method	[ˈnat͡ʃin]
196	точно	correctly, accurately	[ˈtɔt͡ʃnɔ]
197	име	name	[ˈimɛ]
198	заедно	together	[ˈzaɛdnɔ]
199	дел	part	[dɛɫ]
200	две	two	[dvɛ]
201	потоа	then, subsequently, afterwards	[ˈpɔtɔa]
202	момци	lad, youth, boy	[ˈmɔmt͡si]
203	зарем	really? is it possible that...?	[ˈzaɾɛm]
204	минути	minute	[ˈminuti]
205	сигурен	sure, certain	[ˈsiɡuɾɛn]
206	зборуваш	to speak	[ˈzbɔɾuvaʃ]
207	нека	let, may	[ˈnɛka]
208	низ	through	[nis]
209	врска	connection, link	[ˈvr̩ska]
210	утре	tomorrow	[ˈutrɛ]
211	видиме	to see, look	[ˈvidimɛ]
212	зашто	because	[ˈzaʃtɔ]
213	пријател	friend, pal, mate	[ˈpri(j)atɛɫ]
214	ноќ	night, nighttime	[nɔc]
215	дете	child, kid	[ˈdɛtɛ]
216	видов	to see, look	[ˈvidɔf]
217	деца	child, kid	[ˈdɛt͡sa]
218	назад	backward, in the back	[ˈnazat]
219	всушност	actually, in fact	[ˈfsuʃnɔst]
220	околу	around	[ˈɔkɔɫu]
221	лошо	badly, poorly	[ˈɫɔʃɔ]
222	девојка	girl, young female, maiden	[ˈdɛvɔjka]
223	момче	boy	[ˈmɔmt͡ʃɛ]
224	кое	who	[ˈkɔɛ]
225	брзо	fast, quickly, rapidly	[ˈbr̩zɔ]
226	моја	my, mine	[ˈmɔja]
227	внатре	inside	[ˈvnatrɛ]
228	сакал	to want, desire	[ˈsakaɫ]
229	мртов	dead	[ˈmr̩tɔf]
230	себе	Long reflexive direct object pronoun	[ˈsɛbɛ]
231	страна	side	[ˈstrana]
232	остави	to leave, abandon, relinquish	[ˈɔstavi]
233	освен	except, apart from, besides	[ˈɔsvɛn]
234	вечерва	tonight	[ˈvɛt͡ʃɛrva]
235	некогаш	sometimes, occasionally, formerly, a long time ago	[ˈnɛkɔɡaʃ]
236	имаат	to have	[ˈimaat]
237	сам	alone, by oneself	[sam]
238	еднаш	once	[ˈɛdnaʃ]
239	година	year	[ˈɡɔdina]
240	кого	who	[ˈkɔɡɔ]
241	доста	enough, sufficiently	[ˈdɔsta]
