rank	word	english	ipa
1	ഒരു	one	/oɾu/
2	നീ	you	/n̪iː/
3	ഞാൻ	I	/ɲaːn/
4	അത്	that	/ɐd̪ɨ/
5	എനിക്ക്	to me; for me	/enikkɨ/
6	ഈ	this	/iː/
7	ആ	that	/aː/
8	ഇത്	this	/id̪ɨ/
9	എന്റെ	I	/en̪re/
10	ഇവിടെ	here	/iʋiɖe/
11	എന്നെ	1st person singular pronoun	/en̪n̪e/
12	തന്നെ	same	/t̪ɐn̪n̪e/
13	പക്ഷെ	obsolete spelling of പക്ഷേ	
14	എന്താ	what	/en̪t̪aː/
15	ഇല്ല	no	/illɐ/
16	അതെ	yes	/ɐd̪e/
17	എന്ന്	A quotative marker, used to introduce quotes and names	/en̪n̪ɨ/
18	പിന്നെ	later; at some unspecified time in the future	/pin̪n̪e/
19	നിന്നെ	you	/n̪inne/
20	ശരി	correct	/ʃɐɾi/
21	എന്ത്	what	/en̪t̪ɨ/
22	ആണ്	yes; affirmative adverb	/aːɳɨ/
23	വളരെ	very, to a great extent or degree	/ʋɐɭɐɾe/
24	നിങ്ങൾ	you all	/n̪iŋŋɐɭ/
25	നല്ല	good	/n̪ɐllɐ/
26	പക്ഷേ	but	/pɐkʂeː/
27	അവിടെ	there	/ɐʋiɖe/
28	കൊണ്ട്	using	/koɳɖɨ/
29	എല്ലാം	all	/ellaːm/
30	അല്ല	not; no; absolute negation	/ɐllɐ/
31	പോലെ	like	/poːle/
32	വേണ്ട	don't want	/ʋeːɳɖɐ/
33	വാ	shortened form of വായ	/ʋaː/
34	നിന്ന്	from	/n̪in̪n̪ɨ/
35	നന്ദി	thank	/n̪ɐn̪n̪i/
36	ഉണ്ട്	to be, exist, be present, be located	/uɳɖɨ/
37	ഇനി	from now on	/ini/
38	ഒന്ന്	one	/on̪n̪ɨ/
39	കാര്യം	crux	/kaːɾjɐm/
40	പറഞ്ഞു	to say, to tell	/pɐrɐɲɲu/
41	കൂടെ	with	/kuːɖe/
42	എല്ലാ	all	/ellaː/
43	നോക്ക്	to look	/n̪oːkkɨ/
44	അങ്ങനെ	that way; in that manner	/ɐŋŋɐne/
45	കാരണം	because	/kaːɾɐɳɐm/
46	വേണം	wanted, needed	/ʋeːɳɐm/
47	അവൻ	he	/ɐʋɐn/
48	അവർ	they	/ɐʋɐr/
49	എന്നോട്	sociative case case of എൻ; me	/enːoːɖɨ̆/
50	വലിയ	big; large	/ʋɐlijɐ/
51	അദ്ദേഹം	The respectful form of he, used for mahatmas, celebrities,…	/ɐd̪d̪eːhɐm/
52	പേര്	name	/peːɾɨ/
53	വേഗം	quickly	/ʋeːɡɐm/
54	നമ്മൾ	inclusive we; 1st person plural nominative case	/n̪ɐmmɐɭ/
55	കുറച്ച്	some, few	/kurɐt͡ʃt͡ʃɨ/
56	ശരിക്കും	really	/ʃɐɾikkum/
57	എവിടെ	where	/eʋiɖe/
58	മാത്രം	only; exclusively	/maːt̪ram/
59	പോകാം	let's go	/poːɡaːm/
60	ജോലി	job	/d͡ʒoːli/
61	ഇന്ന്	today, this day	/in̪n̪ɨ/
62	ഹലോ	hello	/häloː/
63	വരെ	till, up to	/ʋɐɾe/
64	ഏറ്റവും	most	/eːtäʋum/
65	എങ്ങനെ	how	/eŋŋɐne/
66	മതി	enough	/mɐd̪i/
67	സമയം	time	/sɐmɐjɐm/
68	എത്ര	How many	
69	പറ്റി	about; concerning; regarding	/pɐrri/
70	വീണ്ടും	again	/ʋiːɳɖum/
71	ആര്	who	/aːɾɨ/
72	വരും	coming; next	/ʋɐɾum/
73	എന്നിട്ട്	and then; next	/en̪ːiʈːɨ̆/
