rank	word	english
1	jeg	I
2	det	it; third person singular, neuter gender. Nominative,…
3	er	to be
4	du	thou, you
5	ikke	not, no
6	en	a, an
7	og	and
8	i	in, inside of
9	har	to have
10	vi	we
11	på	on
12	å	to; an infinitive marker placed before a verb in the…
13	til	to
14	deg	thee, you; object form of du
15	med	with
16	meg	objective case of jeg: me
17	han	he, him
18	for	too
19	hva	what
20	som	as; similar to, in the same way that
21	at	that
22	så	so
23	kan	can, could
24	de	definite article, equivalent to "the", used before…
25	den	it; third person singular, masculine/feminine gender.…
26	var	to be
27	vil	to want to, be willing to
28	om	around
29	av	off
30	men	but, however, though introducing a clause that contrasts…
31	skal	will, would, shall, should
32	et	a, an
33	ja	yes
34	her	here
35	hun	she
36	bare	only, merely, just
37	dette	this
38	dere	you
39	må	must
40	noe	something
41	nei	no
42	vet	to know; have knowledge of
43	nå	now
44	ham	him
45	min	my, mine
46	ut	out
47	kom	to come; to approach or move towards the speaker, another…
48	da	then
49	din	your, yours
50	oss	us
51	ha	to have
52	gjør	to do
53	hvor	where
54	fra	from
55	være	to be
56	noen	somebody, someone; anybody, anyone
57	der	there
58	dem	them
59	igjen	again
60	se	to see
61	ta	to take
62	ville	wild
63	kommer	to come; to approach or move towards the speaker, another…
64	alle	everybody, everyone
65	går	To walk, go
66	alt	everything, all, anything
67	tror	to think, believe
68	hvorfor	wherefore, why
69	hvordan	how
70	få	few
71	gjøre	to do
72	hvis	if
73	opp	up
74	seg	oneself; itself; himself/herself
75	ingen	no; no one; nobody; nothing
76	hadde	to have
77	sa	to say
78	bra	well
79	henne	her; object form of hun
80	får	to get; to have; to obtain; to receive
81	når	when
82	blir	to stay, remain
83	takk	to thank
84	gå	To walk, go
85	eller	or
86	bli	to stay, remain
87	si	her / his / its / their
88	ser	to see
89	hvem	who, whom
90	la	the
91	hei	hi
92	litt	a bit, a little
93	inn	inside, in
94	etter	after
95	ble	to stay, remain
96	denne	this; this one
97	kanskje	perhaps; maybe
98	tilbake	back
99	aldri	never
100	vel	well
101	skulle	will, would, shall, should
102	jo	yes; in disagreement with the last speaker's negative…
103	trenger	to press
