word	rank_a	rank_b	english
en	10	9	and
van	14	10	of
u	26	33	you
dat	28	5	that
ja	32	44	yes
hier	36	38	here
daar	37	72	there
aan	43	32	on
nee	46	53	no
doen	47	59	to do
hoe	51	54	how
of	67	63	or
alles	71	90	everything
niks	73	188	nothing
iets	77	71	something
wie	78	89	who, whom
goeie	83	804	good
vertel	91	297	to tell
geen	92	42	no, not a, not an, not any
weg	95	97	away
nooit	96	102	never
wel	97	47	the opposite of not
ander	114	497	another, another person, someone else
help	117	400	to help
twee	130	126	two
beter	137	181	good
omdat	151	132	because
eerste	158	222	first
naam	161	241	name
speel	163	1127	to play
genoeg	165	196	enough
vergeet	170	542	to forget
luister	173	246	to listen
liefde	174	521	love
klein	176	498	small, little
geld	180	176	money
eet	188	753	to eat
vind	192	195	to find
wanneer	196	253	when
lees	202	1340	to read
geluk	211	557	luck, good luck
vriend	213	259	friend
verloor	214	1451	to lose
leef	234	1580	to live
drie	250	215	three
noem	267	829	to call, to name
brief	268	1023	letter
oorlog	270	550	war
tussen	272	361	between
luitenant	289	949	lieutenant
broer	292	380	brother
woord	294	587	word
koffie	301	666	coffee
idee	302	230	idea
volg	305	1000	to follow
eer	312	1039	honour
probleem	318	300	problem
hoeveel	320	383	how much, how many
welkom	321	579	welcome
waarheid	333	463	truth
tante	345	1118	aunt
oom	355	768	uncle
prinses	379	1713	princess
kort	382	1104	short
vier	392	392	four
bos	412	1267	wood, forest
gevaar	420	788	danger, peril
mis	433	419	to miss
langs	445	533	along, alongside
hond	454	638	dog
stilte	456	1876	silence
bloed	457	455	blood
soort	458	389	sort, kind
gooi	461	1193	to throw
voordat	462	402	before
tafel	468	920	table
bier	471	1353	beer
muur	481	1081	wall
soms	484	337	sometimes
melk	492	1751	milk
hallo	498	226	hello
grond	499	698	ground, dirt, soil
kans	509	352	chance
koud	512	957	cold
donker	518	1179	dark
honger	533	927	hunger
spreek	535	939	to speak
verrassing	544	1133	surprise
trein	551	1207	train
mond	556	563	mouth
wit	564	1912	white
sluit	568	1067	to close
weggaan	574	1154	to go away, to leave
hoog	594	1054	high
diep	595	1008	deep, down low
ring	630	1178	ring, hollow circular object
derde	631	940	third
bekend	670	764	known
kantoor	689	572	office
wet	696	977	law
glas	697	1257	glass
minuut	714	1488	minute
sommige	719	741	some
veiligheid	729	1279	safety, security
neus	735	1122	nose
voet	745	1292	foot
open	746	345	to open
groep	752	888	group
tien	757	478	ten
taal	767	1952	language
dak	786	1329	roof
telefoon	814	510	telephone
kelder	815	1739	cellar, basement
engels	822	1531	English
waardeer	824	1599	to appreciate, to value
vriendin	831	492	female friend
hoek	849	1280	corner
verjaardag	852	1197	birthday
boot	854	911	boat
papier	855	1878	paper
gratis	876	1317	free, without charge
politiek	879	1914	politics
vertaling	942	855	translation
afstand	1001	1282	distance
lid	1005	1663	member
eiland	1008	1320	island
boom	1015	1327	tree
trap	1023	1503	stairs, staircase
vingers	1037	1722	finger
broers	1041	1694	brother
goud	1052	1306	gold
eenheid	1091	1894	unity
inderdaad	1097	547	indeed
advies	1117	1414	advice
maan	1138	1425	moon
laag	1140	1687	low
park	1148	1094	park
verslaan	1151	1646	to defeat
steen	1175	1634	stone
twaalf	1188	1479	twelve
kamp	1223	1579	camp
drank	1233	1664	beverage, drink
invloed	1283	1858	influence
twintig	1356	1618	twenty
ster	1409	1545	star
slot	1422	1397	lock
slaapkamer	1439	1910	bedroom
volledig	1479	1061	complete
restaurant	1496	1376	restaurant
energie	1699	1242	energy
keel	1768	1986	throat
klant	1802	1619	customer, client
honderd	1859	1583	hundred
