word	rank_a	rank_b	english
da	1	2	that
je	2	1	of her
ne	3	3	not
se	4	4	myself
i	5	5	and
u	6	6	in, at
to	7	7	that, the aforementioned
sam	8	8	to be, to exist
na	9	10	on, at, in
ti	10	11	you
mi	11	13	we
za	12	12	for
si	13	14	to myself
li	14	15	question-forming interrogative particle
što	15	9	why
ja	16	16	I
su	17	17	third-person plural present of bȉti
šta	18	91	what
ali	19	18	but
sa	20	35	alternative form of s; used instead of s when the following…
nije	21	19	to be, to exist
ovo	22	27	this, this one
samo	23	21	just, only, only just, merely, solely
te	24	29	of you
me	25	23	of me
od	26	24	from, since
a	27	25	but, and
ga	28	22	of him
bi	29	26	to be, to exist
kako	30	28	how
o	31	31	on, against
dobro	32	32	well
ako	33	33	if
smo	34	34	to be, to exist
sve	35	36	Intensity amplifier, used exclusively in phrases
kao	36	37	as, like
će	37	30	third-person singular/plural present of htȅti/htjȅti
tako	38	40	so, like that, in such a way
znam	39	41	first-person singular present of znȁti
s	40	20	with, together with, along with
mogu	41	46	can, to be able to
nisam	42	43	to be, to exist
pa	43	47	then
ste	44	42	second-person plural present of bȉti
bio	45	45	to be, to exist
biti	46	39	to be, to exist
redu	47	51	row
on	48	49	he
zašto	49	48	why, what for
koji	50	55	which, what
još	51	50	more, another
bilo	52	52	generalization particle used before another word to express…
nešto	53	53	something
ću	54	38	first-person singular present of htȅti/htjȅti
vas	55	56	of you
kad	56	54	when
hvala	57	58	praise
iz	58	59	from, out of
mislim	59	57	to think
ima	60	64	he has, she has
ovdje	61	44	here, over here
ili	62	60	or
ih	63	62	of them
sada	64	69	genitive singular of sȃd
znaš	65	67	second-person singular present of znȁti
onda	66	71	then
moj	67	70	my, mine
do	68	76	only, except
vam	69	65	you
možda	70	61	perhaps, maybe
više	71	66	over, above
zar	72	80	used in tag questions, to ask for an affirmation to a polar…
rekao	73	68	to say
bila	74	78	to be, to exist
kada	75	89	bathtub
ona	76	82	she
nas	77	81	of us
bih	78	72	first-person singular aorist of bȉti
nema	79	77	mute, dumb
mu	80	74	to him
malo	81	84	little, few, some
mene	82	85	of me, long form
treba	83	110	girl, chick
ovde	84	307	here
molim	85	88	to ask, request, beg
ništa	86	79	nothing
tebe	87	94	of you
hajde	88	112	let's go
hej	89	95	hi
imam	90	96	to have, possess, own
tamo	91	104	there
sad	92	98	now
ni	93	102	even, either
gdje	94	63	where
ko	95	340	who
tu	96	99	here
nam	97	103	to us
jesi	98	105	second-person singular present of bȉti
zbog	99	101	because of, due to, owing to
želim	100	83	first-person singular present of žèljeti
možeš	101	97	can, to be able to
jer	102	92	because, for
može	103	86	can, to be able to
vi	104	87	you
ljudi	105	106	people, men
svi	106	107	everyone
stvarno	107	111	really, truly
po	108	113	half
moram	109	108	to have to; must
ćemo	110	75	first-person plural present of htȅti/htjȅti
zato	111	119	so, therefore, for that/this reason, ergo
koliko	112	115	how much, how many
jedan	113	114	one
idemo	114	117	to go, walk
misliš	115	118	to think
baš	116	120	at all, truly, really, exactly
koje	117	127	which, what
ćeš	118	100	second-person singular present of htȅti/htjȅti
nego	119	121	than
ono	120	128	it
dok	121	126	while, as long as
gde	122	441	where
bez	123	123	without, excluding, not counting
oni	124	130	they
joj	125	129	to her
ovaj	126	133	this, this one
već	127	116	already
naravno	128	137	of course
reći	129	90	to say
sto	130	347	hundred
toga	131	132	that, the aforementioned
imaš	132	135	to have, possess, own
tvoj	133	144	your, yours
taj	134	136	that, the aforementioned
koja	135	140	which, what
neće	136	122	to wish, want, desire
možemo	137	125	can, to be able to
prije	138	93	before, earlier
posao	139	139	job
imamo	140	141	to have, possess, own
dana	141	142	day
reci	142	160	river
radi	143	149	for, because of, for the sake of
žao	144	134	sorry
rekla	145	147	to say
nikad	146	143	never
kod	147	159	by, at, near, besides
zdravo	148	210	healthily
dan	149	145	day
godina	150	150	year
mama	151	163	mom
put	152	148	to, toward
mogao	153	138	can, to be able to
bolje	154	151	comparative degree of dòbro: in a better or superior manner
želiš	155	131	to wish, desire
neko	156	329	someone, somebody
nemoj	157	153	don't
mora	158	166	sea
mnogo	159	205	many, a lot, lots
jeste	160	162	emphatic yes
vidim	161	181	first-person singular present of videti and vidjeti
uvijek	162	109	always
bili	163	146	to be, to exist
meni	164	157	to me
radiš	165	175	to work
tata	166	173	dad, daddy
volim	167	177	to love
dobar	168	164	good
im	169	172	to them
svoje	170	152	one's own
stvar	171	169	thing
dva	172	165	two
idem	173	199	to go, walk
neću	174	155	to wish, want, desire
tko	175	73	who
vremena	176	174	time
vidi	177	235	third-person singular present
bude	178	229	third-person singular present of bȉti
nisu	179	170	to be, to exist
vrijeme	180	124	time
njega	181	167	of him
evo	182	201	look, see, behold
imao	183	168	to have, possess, own
danas	184	184	today
život	185	171	life
kažem	186	231	to say, to state
nikada	187	183	never
odmah	188	194	right now, immediately
zna	189	185	to know
kući	190	182	home, at home
puno	191	154	much, a lot, lots
ime	192	195	name
neka	193	187	let, may
tri	194	198	three
tim	195	207	team
upravo	196	190	exactly, precisely
možete	197	158	can, to be able to
tobom	198	213	with you
svoj	199	191	one's own
koju	200	208	which, what
svoju	201	197	feminine accusative singular of svȏj
pre	202	624	before, earlier
toliko	203	220	that much/many, so much/many, as much/many
uvek	204	629	always
neki	205	215	some
mnom	206	224	me
oko	207	211	around, about, roughly, approximately
opet	208	188	again
kaže	209	217	to say, to state
jesam	210	203	first-person singular present of bȉti
god	211	230	generalization particle
ide	212	221	to go, walk
sranje	213	256	A very difficult situation, big trouble
jednom	214	239	once, one time
radim	215	293	to work
čak	216	216	even
nismo	217	219	to be, to exist
čemu	218	206	whereto, whither; to what
sigurno	219	196	certainly
žena	220	222	woman
vidimo	221	254	first-person plural present
postoji	222	226	to be, exist
nemam	223	236	not to have
ta	224	227	that, the aforementioned
godine	225	252	year
novac	226	232	money
jako	227	178	very, very much, really
znao	228	218	to know
tebi	229	247	to you
trebao	230	186	to be needed, to be required
otac	231	242	father
vreme	232	690	time
prvi	233	240	first
dovoljno	234	233	enough, sufficiently
veoma	235	452	very, very much, extremely
ovamo	236	279	hither, this way
želi	237	200	to wish, desire
puta	238	255	times
pravu	239	263	pure, true, genuine
drugi	240	237	second
njih	241	248	of them
prema	242	225	towards, at
imate	243	234	to have, possess, own
dalje	244	265	far
jedna	245	281	one
sutra	246	274	tomorrow
problem	247	268	problem
pomoći	248	179	help
vrlo	249	189	very, extremely
nakon	250	193	after
zajedno	251	266	together
vidiš	252	290	second-person singular present of videti and vidjeti
niko	253	810	no one, nobody
dušo	254	264	soul
sebe	255	257	myself
ova	256	299	feminine nominative singular
dosta	257	297	enough, sufficiently
odavde	258	308	from here
ma	259	276	bah, whatever
kroz	260	271	through
drago	261	267	to be glad, pleased, delighted
vrata	262	251	neck
vidio	263	176	to see
koga	264	309	of whom
nekoliko	265	262	some, several, a few
siguran	266	272	sure, certain
mogla	267	282	can, to be able to
došao	268	243	to come, arrive
brzo	269	310	quickly, rapidly
način	270	241	way, method, approach, manner
njim	271	296	him
pod	272	289	under, beneath
vidjeti	273	161	to see
zaista	274	395	indeed
svaki	275	288	every, each
par	276	317	pair, couple
gore	277	286	up, above
unutra	278	318	inside, indoors, in
dođi	279	280	to come, arrive
ovu	280	328	this, this one
ići	281	180	to go, walk
dugo	282	283	for a long time
desilo	283	670	to happen, occur
ponovo	284	545	repeatedly, once again
mali	285	332	small
mogli	286	301	can, to be able to
minuta	287	337	minute
protiv	288	311	against
pravo	289	285	straight
isto	290	324	as well, also, too, likewise
nama	291	321	to us
previše	292	269	too much / too many
naš	293	295	our, ours
ćete	294	214	second-person plural present of htȅti/htjȅti
mog	295	343	genitive masculine/neuter
ovako	296	338	in this way, thus, like so
imaju	297	333	to have, possess, own
prvo	298	341	that which is the first
noć	299	300	night, nighttime
nećeš	300	312	to wish, want, desire
loše	301	313	bad, malicious
imala	302	330	to have, possess, own
pusti	303	370	to let, let go, release
preko	304	348	over
osim	305	292	except, besides
vaš	306	258	your, yours
mjesto	307	228	instead of
vama	308	291	to you
imati	309	270	to have, possess, own
kasnije	310	365	later on, afterwards
majka	311	360	mother
naći	312	261	to find, discover
večeras	313	315	this evening
ovom	314	350	this, this one
momci	315	492	a young man, lad
dakle	316	250	so, thus, therefore
budem	317	457	to be, to exist
pravi	318	356	pure, true, genuine
auto	319	326	car, automobile
video	320	700	to see
teško	321	304	heavily
niste	322	303	to be, to exist
doći	323	244	to come, arrive
vratiti	324	275	to return, come back
čovjek	325	204	man, person
one	326	362	they; nonvirile third-person plural pronoun, used for all…
ljude	327	335	people, men
želite	328	253	to wish, desire
broj	329	359	number
čuo	330	305	to hear
radio	331	363	to work
imali	332	346	to have, possess, own
njegov	333	334	his
istina	334	327	truth
zapravo	335	277	in fact, really, actually
mislite	336	322	to think
znati	337	245	to know
zove	338	357	to call, to be called
misli	339	355	to think
sviđa	340	320	to like, please
budi	341	389	second-person singular imperative of bȉti
pomoć	342	319	help
ruke	343	364	arm
ju	344	238	her
kakav	345	375	what kind of
tip	346	345	type
nju	347	383	her
pet	348	368	five
netko	349	156	someone, somebody
dobiti	350	278	profit
uz	351	344	up, upward
izvinite	352	900	sorry!
ideš	353	398	to go, walk
rekli	354	342	to say
onaj	355	377	that, that one
čini	356	260	third-person present singular of čìniti
mrtav	357	358	dead, deceased
kuće	358	353	house
vezi	359	403	connection, link
oprosti	360	246	sorry!
prijatelj	361	361	friend
svojim	362	378	one's own
novi	363	372	new
ubiti	364	302	to kill, murder
raditi	365	298	to work
iza	366	382	behind
no	367	212	but, however
lepo	368	1117	beautifully, nicely
bit	369	209	essence
svog	370	392	one's own
lijepo	371	249	beautifully, nicely
veze	372	379	connection, link
dobio	373	306	to receive, get, obtain, acquire
otišao	374	352	to leave, part, depart
otići	375	284	to leave, part, depart
sebi	376	436	to myself
posla	377	385	job
jednostavno	378	369	simply
e	379	486	hey
znala	380	397	to know
nekoga	381	374	genitive of nȅtko / nȅko
života	382	386	life
sin	383	402	son
govori	384	380	speech
bismo	385	339	first-person plural aorist of bȉti
njima	386	399	to them
sama	387	404	self
poput	388	273	like, as, such as
ipak	389	391	still, however, but, yet, anyway, nevertheless,…
oprostite	390	294	sorry!
njom	391	400	her
pitanje	392	393	question
nekog	393	466	genitive of nȅtko / nȅko
ćao	394	1003	hi!
budeš	395	544	to be, to exist
srce	396	434	a heart
voli	397	429	to love
skoro	398	482	soon
nazad	399	752	back, backwards
učiniti	400	192	to do, make
uraditi	401	693	to do, make
priča	402	416	story, tale
halo	403	462	hello
vidite	404	474	second-person plural present
radimo	405	528	to work
gotovo	406	376	almost, hardly
dati	407	354	to give
briga	408	417	worry, concern
van	409	349	except
dio	410	323	part
žene	411	407	genitive singular
bar	412	424	at least
razgovarati	413	259	to cheer up sb
ovoga	414	445	filled pause; er, uh, um
njemu	415	396	to him
sjajno	416	446	great, magnificently, excellently
posle	417	1263	later
najbolje	418	422	superlative degree of dòbro
biće	419	859	to be, to exist
jutro	420	410	morning
spreman	421	427	ready, prepared
jedini	422	442	sole, only
strane	423	471	side
došli	424	388	to come, arrive
dvije	425	325	two
drži	426	437	to hold, grasp
mesto	427	1214	instead of
brini	428	513	to worry
uskoro	429	425	soon
tačno	430	1301	exactly, correctly
dijete	431	314	child, kid
nitko	432	202	no one, nobody
potpuno	433	447	completely, entirely, wholly
dole	434	1244	down
trenutak	435	409	moment
stari	436	387	old
bog	437	411	god, deity
oca	438	431	father
mala	439	524	small
tada	440	408	then, at that time
sat	441	438	clock, watch
važno	442	390	importantly
čovek	443	1094	man, person
pitam	444	553	to ask
ostati	445	371	to stay, remain
stalno	446	468	continuously
rade	447	507	to work
ozbiljno	448	428	seriously
ideja	449	477	idea
morao	450	423	to have to; must
vjerujem	451	351	to believe, have faith in
tek	452	456	only, only just, hardly, barely
ljubav	453	483	love, affection
ranije	454	560	early
grad	455	454	city, town
ponekad	456	494	sometimes
došla	457	443	feminine singular active past participle
odlično	458	451	excellently, terrifically
bok	459	223	side
pola	460	499	half
nemaš	461	461	not to have
lako	462	469	easily
napraviti	463	331	to do, commit
našao	464	455	to find, discover
između	465	414	between
osoba	466	444	person
pazi	467	538	to beware, watch out, be careful
sata	468	475	clock, watch
velika	469	476	big, large
vise	470	1217	third-person plural present of vȉsiti
radite	471	512	to work
ovoj	472	527	wrapping, shell, casing, covering
jasno	473	430	clearly, obviously
najbolji	474	478	good
napravio	475	384	to do, commit
valjda	476	413	probably, likely
nemamo	477	487	not to have
ruku	478	497	arm
pred	479	479	before, just before, shortly before
ženu	480	458	woman
prava	481	508	pure, true, genuine
čega	482	450	of what
dvoje	483	480	two
ikada	484	467	ever, at any time
svih	485	485	all, complete, whole
blizu	486	484	near, close
brat	487	495	brother
kraj	488	489	near, next to, beside
policija	489	504	police
ljudima	490	481	people, men
životu	491	459	life
kuću	492	439	house
plan	493	496	plan
noći	494	432	night, nighttime
polako	495	547	slowly
draga	496	530	bay, gulf
slučaj	497	421	case, occurrence, event, incident
lice	498	522	face
pojma	499	511	concept, idea, notion
moći	500	448	can, to be able to
pored	501	686	beside, next to, alongside
novca	502	536	money
živi	503	529	live, alive
kraju	504	546	end, ending
dve	505	1544	two
svom	506	509	one's own
oči	507	463	eye
brod	508	502	ship
kažu	509	520	to say, to state
voliš	510	552	to love
odakle	511	563	whence, from where
vodi	512	565	water
vratio	513	501	to return, come back
nećemo	514	465	to wish, want, desire
sobu	515	539	room
ha	516	426	expresses laughter
biste	517	415	genitive singular
svega	518	537	masculine genitive singular
čudno	519	440	oddly, weirdly, strangely
žele	520	449	jelly
laku	521	567	easy
poslije	522	381	later
sina	523	534	shadow; shade
manje	524	532	less
nje	525	548	of her
prilično	526	453	rather, pretty, quite, fairly
uzeti	527	420	to take
oružje	528	491	weapon
razlog	529	514	reason, cause
daleko	530	521	far
momak	531	717	a young man, lad
pištolj	532	517	pistol, handgun
smrt	533	525	death
vjerovati	534	366	to believe, have faith in
četiri	535	472	four
sobi	536	558	room
svima	537	543	everyone, everybody
takođe	538	1466	also, too
jesu	539	488	third-person plural present of bȉti
vode	540	577	water
šanse	541	561	chance, opportunity
ikad	542	540	ever, at any time
ispod	543	569	below, under, beneath
čujem	544	550	to hear
njen	545	707	her, hers
neku	546	626	some
našli	547	526	to find, discover
dolje	548	336	down
telefon	549	604	telephone
spremni	550	555	ready, prepared
bile	551	589	moreover, even
ostani	552	593	to stay, remain
nekako	553	572	somehow
dajte	554	570	to give
moguće	555	503	possibly
gradu	556	583	city, town
zovem	557	640	to call, to be called
poruku	558	579	message
ovi	559	664	this, this one
sinoć	560	516	last night, yesterday night; yesterday evening
kojeg	561	464	masculine genitive singular
njoj	562	571	to her
šest	563	542	six
verovatno	564	1561	probably
rat	565	597	war
njegove	566	573	his
otišla	567	574	to leave, part, depart
sastanak	568	614	tryst
želio	569	401	to wish, desire
ispred	570	612	in front of, before
volio	571	418	to love
dragi	572	582	dear
umro	573	557	to die
čula	574	559	to hear
sestra	575	590	sister
ovome	576	605	this, this one
svijet	577	433	world
uzeo	578	568	to take
ovih	579	642	masculine genitive plural
dete	580	1617	child, kid
jedina	581	619	sole, only
sine	582	672	son
oboje	583	549	both
kola	584	960	cart, wagon, vehicle
jedino	585	596	only, solely
nekim	586	616	instrumental of nȅtko / nȅko
deo	587	1564	part
igra	588	639	to play
uopšte	589	1701	generally, in general
iako	590	566	albeit, although, even though
dečko	591	500	boy
dođe	592	581	to come, arrive
putu	593	595	road
pogledajte	594	554	to look, glance, cast an eye upon
krv	595	578	blood
dali	596	680	masculine plural active past participle of dȁti
čim	597	562	the, as
zemlji	598	628	earth
djevojka	599	510	girl, maiden
točno	600	287	exactly, correctly
morati	601	576	to have to; must
brate	602	783	brother
želimo	603	556	to wish, desire
svim	604	625	masculine/neuter instrumental singular
isti	605	609	same
svijetu	606	473	world
kome	607	750	to whom
boli	608	613	to stab
deset	609	611	ten
san	610	621	sleep
pitao	611	602	to ask
zemlju	612	635	earth
vjerojatno	613	316	probably
poslu	614	630	job
drugu	615	643	friend
vidjeli	616	412	to see
druga	617	665	friend
piće	618	585	drink, beverage
takav	619	606	such, of such kind
videla	620	1715	to see
devojka	621	1944	girl, maiden
poziv	622	598	call
jebeno	623	702	fucking
barem	625	533	at least
eto	626	722	look, see, behold
film	627	663	film
pronaći	628	419	to find
niti	629	518	nor
negdje	630	493	somewhere
kim	631	703	whom
sretan	632	460	happy, merry
ostali	633	649	to stay, remain
miru	634	644	peace
muž	635	638	husband
nastavi	636	716	to continue
odem	637	843	to leave, part, depart
poslao	638	634	to send
svako	639	968	everyone, everybody
kuća	640	608	house
lud	641	678	crazy
znali	642	599	to know
drugom	643	709	friend
pitanju	644	789	question
tih	645	627	quiet, silent
krevet	647	674	bed
doktor	648	768	doctor, physician
k	649	505	to
kraja	650	691	end, ending
natrag	651	367	back, backwards
budu	652	830	to be, to exist
mjesta	653	515	place
nova	654	708	new
čuješ	655	692	to hear
napolje	656	1721	outside
stan	657	646	flat, apartment
pošto	658	901	after
jedva	659	666	barely, hardly, scarcely, only just
vani	660	490	outside, outdoors, out
tražio	661	636	to seek, look for, search
bas	662	1915	bass
grada	663	683	city, town
zemlje	664	698	earth
jutros	665	637	this morning
shvatio	666	647	to understand, comprehend, grasp, conceive
posebno	667	737	individually, separately
dobila	668	713	to receive, get, obtain, acquire
ujutro	669	586	in the morning
budemo	670	841	first-person plural present of bȉti
hajdemo	671	788	let's go
roditelji	672	730	parent
djeca	673	551	children
također	674	406	likewise, also, too
odgovor	675	658	answer
brata	676	673	brother
godinu	677	699	year
riječ	678	435	word
noge	679	714	leg
zanima	680	591	to interest
ostaviti	681	594	to leave
red	682	711	row
dobri	684	696	good
važi	685	1190	to weigh
zao	686	1452	evil, malicious, bad, mean, wicked
tijelo	687	519	body
priliku	688	623	opportunity
the	689	727	alternative spelling of da
živ	690	650	live, alive
gospodin	691	731	gentleman
jesmo	692	662	first-person plural present of bȉti
pravila	693	749	rule
strani	694	715	side
bitno	695	827	essentially, in essence
misle	696	697	to think
obitelj	697	373	family
nosi	698	782	to carry, bring
mjestu	699	531	place
čeka	700	645	to wait, await
pričati	701	592	to narrate, tell
pitati	702	541	to ask
piše	703	677	to write
zadnji	704	610	back, rear, hind
radila	705	793	to work
bolji	706	706	good
time	707	620	masculine/neuter instrumental singular of tȃj
sobom	708	745	myself
sedam	709	765	seven
idu	710	792	to go, walk
um	711	712	mind
zbogom	712	733	goodbye, farewell
svetu	713	1786	holy, saint
nove	714	748	new
hranu	715	795	food
vrsta	716	676	kind, sort
kunem	717	767	to curse
ajde	718	912	alternative form of hàjde
napad	719	761	attack, assault, aggression
umrijeti	720	535	to die
policajac	721	771	policeman
obično	722	671	usually, commonly, ordinarily
godinama	724	755	for years; in years
konačno	725	774	finally, at last
trenutno	726	825	currently
svakako	727	681	certainly, of course
vjerovatno	728	1510	probably
iskreno	729	726	sincerely, honestly
glavni	730	743	main, chief, principal
kasno	731	791	late
među	732	667	between
kriv	733	656	guilty, culpable
kurac	734	760	penis, dick, cock
zatvor	735	756	prison, jail
stara	736	757	old
slike	737	784	picture, image
vodu	738	808	water
videti	739	1846	to see
savršeno	740	704	perfectly
pustiti	741	654	to let, let go, release
prokletstvo	742	876	curse
čuli	744	633	to hear
dom	745	719	home, house
soba	746	831	room
usta	747	812	mouth
našla	748	780	to find, discover
nekad	749	890	once, in former times
svet	750	1876	holy, saint
veče	751	1822	evening
strašno	752	721	terribly, awfully, horribly
ka	753	1073	as, like
jest	754	405	third-person singular present of bȉti
tokom	755	1524	during
stigao	756	814	to arrive, reach
imena	757	766	genitive singular of ȉme
kojim	758	799	which, what
razgovor	760	694	talk, conversation
odvesti	761	661	to take, take away
gledati	762	575	to watch, look, see
novu	763	790	new
glas	764	778	voice
seks	765	871	sex
