word	rank_a	rank_b	english
ne	3	13	not
se	4	2	myself
on	48	121	he
ona	76	209	she
ono	120	640	it
oni	124	384	they
sto	130	1562	hundred
dva	172	153	two
život	185	179	life
žena	220	350	woman
jedna	245	327	one
sebe	255	251	myself
auto	319	379	car, automobile
dole	434	689	down
osoba	466	1214	person
ženu	480	595	woman
oči	507	554	eye
smrt	533	633	death
šest	563	638	six
sestra	575	753	sister
deset	609	669	ten
doktor	648	612	doctor, physician
vodu	738	962	water
okolo	824	1089	around
naši	846	560	our, ours
pivo	858	1045	beer
voda	875	1122	water
auta	886	608	car, automobile
nad	893	452	over, above
minut	1014	406	minute
test	1028	1322	test
prsten	1062	1481	ring
klub	1065	1861	club
hotel	1101	1810	hotel
zlato	1112	313	gold
detektiv	1142	1279	detective
očima	1158	1761	eye
ulice	1170	1500	street
škola	1200	1439	school
zvuk	1205	1520	sound
čaj	1209	1272	tea
oba	1218	437	both
kontakt	1249	1612	contact
park	1385	1942	park
milion	1420	1955	million
zločin	1476	1609	crime
bomba	1486	1722	bomb
trik	1502	1976	trick
stanice	1561	1809	station
prostor	1567	1784	space
duše	1610	1142	soul
rose	1815	1776	dew
