word	rank_a	rank_b	english
i	5	6	and
tu	96	28	here
oni	124	213	they
zna	189	739	to know
drugi	240	822	second
jedna	245	463	one
problem	247	293	problem
auto	319	1760	car, automobile
one	326	638	they; nonvirile third-person plural pronoun, used for all…
osoba	466	1055	person
brat	487	657	brother
daleko	530	684	far
telefon	549	451	telephone
oboje	583	912	both
brata	676	823	brother
stara	736	1238	old
usta	747	1888	mouth
seks	765	1016	sex
znak	772	1458	sign
auta	886	1915	car, automobile
jaja	914	1417	egg
minut	1014	362	minute
program	1094	1336	program
stare	1171	1585	old
grupa	1187	1559	group
kontakt	1249	1606	contact
milion	1420	1898	million
sekund	1723	1150	second
