word	rank_a	rank_b	english
da	1	1	that
je	2	2	of her
ne	3	3	not
se	4	4	myself
i	5	5	and
u	6	6	in, at
to	7	7	that, the aforementioned
sam	8	8	to be, to exist
na	9	9	on, at, in
ti	10	10	you
mi	11	11	we
za	12	12	for
si	13	13	to myself
li	14	14	question-forming interrogative particle
što	15	16	why
ja	16	17	I
su	17	20	third-person plural present of bȉti
šta	18	15	what
ali	19	18	but
sa	20	19	alternative form of s; used instead of s when the following…
nije	21	21	to be, to exist
ovo	22	22	this, this one
samo	23	23	just, only, only just, merely, solely
te	24	25	of you
me	25	24	of me
od	26	26	from, since
a	27	27	but, and
ga	28	28	of him
bi	29	29	to be, to exist
kako	30	30	how
o	31	31	on, against
dobro	32	32	well
ako	33	33	if
smo	34	35	to be, to exist
sve	35	34	Intensity amplifier, used exclusively in phrases
kao	36	36	as, like
će	37	37	third-person singular/plural present of htȅti/htjȅti
tako	38	38	so, like that, in such a way
znam	39	39	first-person singular present of znȁti
s	40	47	with, together with, along with
mogu	41	41	can, to be able to
nisam	42	40	to be, to exist
pa	43	44	then
ste	44	42	second-person plural present of bȉti
bio	45	45	to be, to exist
biti	46	53	to be, to exist
redu	47	52	row
on	48	48	he
zašto	49	46	why, what for
koji	50	54	which, what
još	51	49	more, another
bilo	52	51	generalization particle used before another word to express…
nešto	53	50	something
ću	54	57	first-person singular present of htȅti/htjȅti
vas	55	56	of you
kad	56	55	when
hvala	57	58	praise
iz	58	59	from, out of
mislim	59	60	to think
ima	60	61	he has, she has
ovdje	61	163	here, over here
ili	62	62	or
ih	63	65	of them
sada	64	68	genitive singular of sȃd
znaš	65	63	second-person singular present of znȁti
onda	66	67	then
moj	67	75	my, mine
do	68	72	only, except
vam	69	69	you
možda	70	64	perhaps, maybe
više	71	66	over, above
zar	72	70	used in tag questions, to ask for an affirmation to a polar…
rekao	73	77	to say
bila	74	78	to be, to exist
kada	75	80	bathtub
ona	76	86	she
nas	77	83	of us
bih	78	73	first-person singular aorist of bȉti
nema	79	81	mute, dumb
mu	80	76	to him
malo	81	79	little, few, some
mene	82	84	of me, long form
treba	83	74	girl, chick
ovde	84	43	here
molim	85	88	to ask, request, beg
ništa	86	82	nothing
tebe	87	87	of you
hajde	88	91	let's go
hej	89	101	hi
imam	90	95	to have, possess, own
tamo	91	92	there
sad	92	89	now
ni	93	90	even, either
gdje	94	221	where
ko	95	85	who
tu	96	100	here
nam	97	98	to us
jesi	98	103	second-person singular present of bȉti
zbog	99	96	because of, due to, owing to
želim	100	99	first-person singular present of žèljeti
možeš	101	94	can, to be able to
jer	102	104	because, for
može	103	93	can, to be able to
vi	104	97	you
ljudi	105	109	people, men
svi	106	105	everyone
stvarno	107	102	really, truly
po	108	106	half
moram	109	110	to have to; must
ćemo	110	112	first-person plural present of htȅti/htjȅti
zato	111	107	so, therefore, for that/this reason, ergo
koliko	112	111	how much, how many
jedan	113	115	one
idemo	114	116	to go, walk
misliš	115	113	to think
baš	116	108	at all, truly, really, exactly
koje	117	120	which, what
ćeš	118	118	second-person singular present of htȅti/htjȅti
nego	119	119	than
ono	120	127	it
dok	121	121	while, as long as
gde	122	71	where
bez	123	124	without, excluding, not counting
oni	124	134	they
joj	125	130	to her
ovaj	126	132	this, this one
