word	rank_a	rank_b	english
ne	3	2	not
mi	11	16	we
kako	30	30	how
biti	46	84	to be, to exist
on	48	92	he
hvala	57	50	praise
vam	69	72	you
ona	76	135	she
vi	104	109	you
koliko	112	139	how much, how many
ono	120	1524	it
oni	124	246	they
sto	130	461	hundred
dan	149	94	day
stvar	171	162	thing
dva	172	136	two
evo	182	847	look, see, behold
ime	192	116	name
tri	194	149	three
svoj	199	205	one's own
prvi	233	200	first
drugi	240	187	second
minuta	287	1426	minute
naš	293	228	our, ours
vaš	306	192	your, yours
njegov	333	207	his
znati	337	1595	to know
tip	346	223	type
pet	348	216	five
prijatelj	361	178	friend
sin	383	199	son
oprostite	390	142	sorry!
dati	407	346	to give
bar	412	666	at least
jutro	420	236	morning
ostati	445	311	to stay, remain
brat	487	225	brother
policija	489	280	police
dve	505	160	two
oči	507	179	eye
ha	516	489	expresses laughter
smrt	533	251	death
njen	545	267	her, hers
dajte	554	266	to give
šest	563	292	six
sestra	575	270	sister
isti	605	390	same
deset	609	308	ten
tih	645	1476	quiet, silent
odgovor	675	367	answer
zadnji	704	297	back, rear, hind
videti	739	113	to see
soba	746	437	room
usta	747	462	mouth
glas	764	379	voice
seks	765	440	sex
kralj	767	330	king
čuti	788	928	to hear
oče	806	102	father
slika	807	529	picture, image
kapetan	813	854	captain
pokazati	825	537	to show, demonstrate
njihov	834	480	their, theirs
sistem	849	374	system
pivo	858	417	beer
voda	875	445	water
nad	893	240	over, above
sir	900	509	cheese
čast	903	435	honour
ključ	905	400	key
prevod	924	409	translation
reči	928	174	to say
telo	942	366	body
korak	949	466	step
igrati	950	423	to play
zabava	959	402	fun, amusement
glava	962	553	head
poslati	971	711	to send
knjiga	992	543	book
misliti	1005	565	to think
mir	1018	416	peace
vlada	1033	510	government
jezik	1043	481	tongue
hrana	1063	504	food
devet	1081	519	nine
zlato	1112	541	gold
nos	1120	521	nose
ples	1146	449	dance
zid	1161	689	wall
ulice	1170	618	street
boriti	1196	610	to fight, struggle
dama	1197	602	lady
nož	1198	507	knife
kraljica	1199	499	queen
čaj	1209	514	tea
let	1215	118	flight
večer	1216	274	evening
vojska	1222	545	army
vino	1242	584	wine
meso	1252	599	meat
govor	1272	631	speech
riba	1292	867	fish
tišina	1301	636	silence
taksi	1319	632	taxi
general	1361	413	general
umreti	1371	369	to die
bivši	1374	660	former
zrak	1386	433	air
borba	1398	1399	fight
dar	1407	823	gift
država	1413	639	country
sredi	1444	414	Wednesday
nedelja	1454	1501	Sunday
ček	1457	829	cheque
vrat	1458	359	neck
kamen	1464	598	stone
luke	1474	774	harbor; harbour
zločin	1476	609	crime
razlika	1477	704	difference
bomba	1486	653	bomb
profesor	1526	493	professor
pete	1537	582	heel
ptica	1559	1144	bird
most	1565	679	bridge
princ	1580	652	prince
nebo	1590	675	sky
rezultat	1594	842	result
ulica	1605	859	street
piti	1611	724	to drink
prst	1622	747	finger
velik	1627	281	big, large
član	1633	658	member
mlad	1655	673	young
sladoled	1675	783	ice cream
led	1686	734	ice
če	1710	21	if
duša	1727	741	soul
konj	1734	687	horse
sok	1741	821	juice
papir	1775	792	paper
polje	1781	813	field
dnevnik	1813	775	diary
pasti	1834	913	to fall
noga	1867	863	leg
želja	1906	746	wish, desire
lagati	1910	889	to lie
mačka	1948	657	cat
nov	1950	340	new
datum	1980	920	date
teorija	2000	916	theory
