word	rank_a	rank_b	english
е	2	4	to be
и	5	7	and
но	21	31	but
така	32	52	that way, thus, so
беше	40	35	to be
само	48	28	only, just
сега	51	38	now
или	64	68	or
сме	71	75	to be
време	79	71	time
без	109	109	without
при	113	728	at, near, by
ден	117	113	day
едно	118	180	one
бил	132	137	to be
пари	183	161	money
сам	189	237	alone, by oneself
две	190	200	two
заедно	192	198	together
проблем	204	184	problem
живот	205	146	life
под	207	194	under
сигурно	211	159	surely, certainly
три	215	177	three
стана	218	505	to become
утре	219	210	tomorrow
била	223	277	to be
било	232	144	to be
освен	246	233	except, apart from, besides
кога	249	37	when
два	273	193	two
брат	274	190	brother
момче	283	223	boy
година	303	239	year
дете	317	215	child, kid
сериозно	338	401	seriously
сестра	348	340	sister
над	353	395	above, over
даде	366	255	to give
час	378	357	hour
готов	382	797	ready, prepared
зад	406	380	behind
пет	410	334	five
лесно	420	341	easily
чао	427	347	bye
долу	444	306	down, downward
превод	446	413	translation
причина	447	366	cause, reason
нов	473	325	new
против	480	253	against
двете	489	554	two
четири	509	424	four
грешка	515	396	mistake, error
избор	525	391	choice
вчера	536	451	yesterday
особено	556	1123	especially, particularly
кафе	567	497	coffee
шест	577	510	six
месец	596	560	month
внимание	638	536	attention
често	641	675	often, frequently
задник	686	1269	buttocks, bottom, butt
идиот	698	623	idiot
мое	712	454	my, mine
рано	714	1055	early
детектив	723	1006	detective
десет	741	634	ten
баба	759	669	grandmother, grandma, granny, gran
секунда	760	620	second
група	762	621	group
стар	764	500	old
бебе	771	599	baby, infant, babe
лице	774	417	face
виновен	776	740	guilty, culpable
минута	778	550	minute
внимателно	782	680	carefully, cautiously
музика	817	770	music
книга	821	577	book
синко	849	677	son
карта	853	1060	map
телефон	874	438	telephone
глава	903	400	head
шоу	910	995	show
величество	931	1361	Majesty
опасност	934	633	danger, peril
разговор	942	805	talk, conversation
болница	964	602	hospital
крал	972	530	king
вино	987	814	wine
секси	1019	989	sexy
риба	1023	872	fish
шега	1046	885	joke, jest
хотел	1055	1095	hotel
бавно	1059	1846	slowly
мои	1062	503	my, mine
полковник	1068	1854	colonel
силен	1071	904	strong, powerful
клуб	1090	1015	club
глас	1092	759	voice
чаша	1093	1434	glass
мир	1095	579	peace
ниво	1116	863	level
дама	1129	1109	lady
наш	1146	839	our, ours
половина	1148	453	half
дух	1165	657	ghost
разлика	1168	501	difference
тука	1177	50	here
дело	1182	1082	work, deed, act
знак	1184	662	sign
чувство	1197	801	feeling, sensation
улица	1201	539	street
парче	1205	868	piece
клиент	1218	1208	client
коса	1219	798	hair
око	1224	946	eye
милион	1237	881	million
душа	1251	838	soul
гладен	1264	858	hungry
маса	1265	866	table
генерал	1276	1302	general
офицер	1285	1771	officer
интернет	1286	1136	Internet
планета	1293	1005	planet
член	1296	1072	member
девет	1313	1163	nine
бомба	1329	957	bomb
нож	1336	1000	knife
брак	1337	910	marriage, matrimony
ваш	1351	1190	your, yours
машина	1352	1056	machine
модел	1361	1824	model
парк	1380	1128	park
интерес	1391	1873	interest
класа	1404	1376	class
затвор	1415	355	prison, jail
принц	1430	1498	prince
животно	1441	1011	animal
век	1449	1344	century
контакт	1464	815	contact
двата	1470	1400	two
остров	1493	1202	island
злато	1506	746	gold
пациент	1524	1790	patient
видео	1527	1244	video
резултат	1540	1858	result
понеделник	1551	1422	Monday
север	1552	1088	north
сто	1566	1385	hundred
професор	1571	1625	professor
богат	1572	1404	rich, wealthy
стил	1578	1010	style
проект	1604	1670	project
проклет	1616	917	cursed, damned
крадец	1619	1470	thief
американски	1671	1258	American
нормален	1679	1403	normal, standard
банка	1682	1212	bank
куршум	1706	1104	bullet
пример	1709	578	example, instance
банда	1710	1910	gang
трева	1735	1370	grass
глад	1736	1950	hunger
амин	1739	1503	amen
сок	1742	1611	juice
звук	1755	1477	sound
правило	1757	1283	rule
топло	1781	1261	warmly
село	1782	1345	village
твои	1790	845	your, yours
пица	1792	1539	pizza
болест	1801	1262	illness, disease, sickness, malady, ailment
кожа	1810	1255	skin
ангел	1813	1332	angel
период	1829	1532	period
закон	1835	1097	law
сладолед	1861	1705	ice cream
кино	1868	1872	cinema, movies
кошмар	1875	1866	nightmare
запад	1877	1406	west
фирма	1886	1935	firm, company
роб	1905	1052	slave
познат	1915	951	known, familiar
слаб	1922	1407	weak, effete, feeble, puny
сол	1945	1192	salt
радио	1971	1162	radio
