word	rank_a	rank_b	english
и	5	5	and
или	64	65	or
там	78	68	there
точно	102	178	exactly, precisely, accurately
работа	115	365	work
две	190	478	two
три	215	249	three
мой	247	77	my, mine
два	273	201	two
брат	274	410	brother
ясно	276	330	clearly
трудно	314	750	with difficulty
почти	319	350	almost, nearly
вероятно	331	997	possibly, perhaps
сестра	348	617	sister
над	353	335	above, over
дам	376	924	to give
история	434	733	history
ужасно	454	655	terribly, horribly
против	480	300	against
информация	497	1562	information
вчера	536	426	yesterday
едва	538	1533	hardly, barely
вместо	545	825	instead of
план	554	600	plan, scheme
лично	598	1171	personally, in person
ваше	603	368	your, yours
убийство	615	781	murder, homicide
бизнес	631	1366	business
внимание	638	632	attention
идиот	698	1127	idiot
ваша	704	310	your, yours
рано	714	946	early
детектив	723	830	detective
абсолютно	773	886	absolutely
дайте	775	718	to give
система	795	1731	system
книга	821	1709	book
телефон	874	595	telephone
президент	891	920	president
шоу	910	745	show
слава	926	1128	glory
чай	941	1742	tea
разговор	942	1186	talk, conversation
пистолет	951	932	pistol, handgun
операция	1031	1948	operation
дал	1039	639	to give
мои	1062	193	my, mine
сезон	1063	1348	season
полковник	1068	1711	colonel
мир	1095	413	peace
дон	1122	1571	don
наш	1146	280	our, ours
директор	1185	1513	manager, director, principal, headmaster
ситуация	1209	1632	situation
наша	1275	501	our, ours
генерал	1276	1635	general
офицер	1285	1388	officer
костюм	1299	1622	suit
такси	1327	1497	taxi; cab
нож	1336	1739	knife
брак	1337	1745	marriage, matrimony
тест	1346	1853	test
ваш	1351	269	your, yours
офис	1450	1266	office
ключ	1483	1169	key
видео	1527	1322	video
сто	1566	1514	hundred
плюс	1590	1814	plus sign
адрес	1626	1294	address
наши	1631	343	our, ours
урок	1653	1969	lesson
отношение	1684	1947	attitude
звук	1755	1752	sound
внезапно	1832	1953	suddenly, all of a sudden
закон	1835	1489	law
отец	1931	191	father
