word	rank_a	rank_b	english
добре	25	47	well
там	78	43	there
точно	102	146	exactly, precisely, accurately
без	109	99	without
три	215	169	three
мамо	230	330	vocative singular of ма́ма
два	273	140	two
брат	274	269	brother
ясно	276	245	clearly
момент	300	488	moment, instant
сестра	348	525	sister
над	353	232	above, over
де	358	69	where
син	399	345	son
план	554	432	plan, scheme
ваше	603	361	your, yours
ваша	704	189	your, yours
рано	714	627	early
група	762	1556	group
абсолютно	773	562	absolutely
система	795	1282	system
тихо	807	518	quietly
музика	817	1218	music
книга	821	1154	book
телефон	874	500	telephone
президент	891	1008	president
шоу	910	797	show
слава	926	747	glory
чай	941	1061	tea
герой	954	1369	hero
вино	987	1198	wine
сезон	1063	966	season
клуб	1090	1317	club
мир	1095	561	peace
наш	1146	179	our, ours
половина	1148	1674	half
око	1224	1525	eye
наша	1275	312	our, ours
генерал	1276	1740	general
костюм	1299	1193	suit
тест	1346	1572	test
ваш	1351	191	your, yours
принц	1430	1615	prince
ключ	1483	828	key
рак	1523	1709	crawfish, crayfish
сто	1566	847	hundred
професор	1571	1695	professor
урок	1653	1285	lesson
мак	1729	1441	poppy
звук	1755	1041	sound
правило	1757	1415	rule
майор	1787	1880	major
закон	1835	1205	law
