word	rank_a	rank_b	english
va	18	55	to go
qui	62	31	who, whom
vas	83	172	to go
temps	104	116	time
oh	173	105	oh
nom	222	201	name
entre	273	215	between
venir	274	269	to come
sang	283	298	blood
tard	310	273	late
ah	324	220	ah
prendre	384	193	to take
perdre	406	566	to lose
servir	417	1062	to serve
quatre	427	516	four
nord	443	1164	north
fort	469	468	strongly
agent	504	540	agent
morts	522	659	dead
dormir	524	689	to sleep
dur	549	456	hard
probablement	554	737	probably
armes	637	741	weapon
futur	655	1327	future
oncle	708	763	uncle
bons	770	936	good
sud	789	1199	south
cent	850	1772	hundred
mur	882	1157	wall
soldats	891	1473	soldier
vendre	936	989	to sell
club	950	888	club
sergent	988	1225	sergeant
soldat	989	1482	soldier
elles	1005	265	they
mon	1020	47	my
ma	1028	68	my
monstre	1058	1292	monster
noms	1073	1386	name
horrible	1098	1098	horrible
acte	1125	1871	act
content	1207	704	content, satisfied, pleased
simple	1224	631	single
agents	1253	1589	agent
mentir	1259	1492	to lie
univers	1274	1731	universe
exemple	1277	1064	example
responsable	1298	991	responsible
vent	1384	1368	wind
membre	1394	1698	member
ministre	1510	1657	minister
arbre	1602	1662	tree
dents	1627	1352	tooth
animal	1714	1785	animal
ton	1769	87	your
restaurant	1775	1422	to restore
vacances	1819	1279	vacancy
membres	1899	1736	member
