word	rank_a	rank_b	english
de	3	5	of; from
aquí	31	29	here
vida	121	89	life
sempre	125	110	always
oh	173	195	oh
tres	212	179	three
matar	220	345	to kill
cada	224	155	each
rei	228	256	king
hora	244	278	hour
sol	249	468	sun
amor	253	223	love
problema	269	251	problem
guerra	276	175	war
bo	280	134	good
pensar	284	339	to think
contra	292	191	against
nova	305	207	new
filla	311	382	daughter
ah	324	387	ah
penso	341	227	to think
entrar	354	501	to enter
viu	375	733	to see
mans	386	307	hand
servir	417	1228	to serve
pensa	481	483	to think
difícil	503	407	difficult
pregunta	506	536	to ask
escola	573	445	school
número	600	384	digit, numeral, number
explicar	635	1505	to explain
enviar	667	1704	to send
hospital	673	627	hospital
pagar	683	621	to pay
oficina	685	707	office
calma	706	953	calm
sistema	707	563	system
boca	720	547	mouth
mar	722	519	sea
illa	730	782	island
resposta	731	761	answer, response
mestre	790	1068	master
esta	823	59	this
amiga	832	964	friend
preguntar	842	967	to ask
baixa	846	842	low
música	870	554	music
entra	884	792	to enter
pobre	888	551	poor
aire	898	736	air
batalla	907	688	battle
tocar	914	1191	to touch
corre	919	1168	to run
hotel	924	666	hotel
planeta	931	1297	planet
cura	953	1968	care
caixa	963	1218	box
causa	976	821	cause
horrible	1098	1384	horrible
vella	1129	607	old
toca	1130	1803	to touch
coronel	1135	1379	colonel
visita	1153	991	to visit
pedra	1157	1089	stone
ferro	1198	1094	iron
continuar	1246	1249	to continue
crear	1250	1416	to create
baixar	1288	1236	to lower
recuperar	1290	1593	to recover, recuperate
dan	1326	1176	to give
nacional	1519	566	national
gas	1563	1554	gas
calor	1624	705	heat
alcalde	1629	1440	mayor
militar	1644	811	military
cantar	1671	1058	to sing
animal	1714	1216	animal
desastre	1767	1753	disaster
presa	1784	1414	prisoner
vermella	1815	1106	red, vermilion
natural	1845	1437	native, natural
sal	1914	1565	salt
