word	rank_a	rank_b	english
va	18	63	to go
tu	33	38	you; thou
o	65	68	or
fa	81	102	ago
mai	85	66	never
sempre	125	118	always
oh	173	59	oh
te	189	45	you, thee
problema	269	259	problem
pensava	299	1766	to think
penso	341	184	to think
nord	443	1264	north
pensa	481	473	to think
papa	485	396	pope
morta	647	580	dead
significa	684	426	to mean, to signify
sud	789	1355	south
club	950	1102	club
cura	953	647	care
causa	976	616	cause
finestra	1100	1390	window
bomba	1179	1287	bomb
testimoni	1306	1941	witness
teoria	1449	1792	theory
paga	1582	1684	to pay
