word	rank_a	rank_b	english
problema	269	361	problem
vine	323	246	to come
ah	324	586	ah
doctor	432	666	doctor
nord	443	1008	north
agent	504	753	agent
general	587	937	general
atac	687	932	attack
real	721	989	real
oficial	749	1462	official
gust	785	1525	taste
sud	789	1046	south
minut	819	703	minute
tren	922	1524	train
hotel	924	930	hotel
zona	932	821	zone
club	950	1129	club
sergent	988	1140	sergeant
soldat	989	1186	soldier
continua	998	874	to continue
bar	1159	1043	bar
est	1175	1312	east
risc	1217	1518	risk
explica	1287	1342	to explain
nas	1505	1658	nose
dorm	1533	1160	to sleep
total	1586	1175	total
mor	1619	735	to die
mori	1902	985	to die
complicat	1965	1663	complicated
