word	rank_a	rank_b	english
va	18	100	to go
aquí	31	33	here
o	65	61	or
vas	83	155	to go
van	93	277	to go
casa	97	91	to marry, wed someone to
dos	118	96	two
vida	121	122	life
oh	173	101	oh
manera	199	307	way; manner; method; style
tres	212	201	three
hora	244	244	hour
sol	249	813	sun
amor	253	249	love
morir	257	482	to die
entre	273	250	between
ah	324	274	ah
persona	343	309	person
aquella	377	1610	that
reina	436	1063	queen
final	455	444	end
papa	485	1545	pope
pregunta	506	469	to ask
dormir	524	553	to sleep
explicar	635	1909	to explain
comprar	652	808	to buy
enviar	667	1872	to send
especial	672	610	special
hospital	673	591	hospital
pagar	683	765	to pay
oficina	685	534	office
mil	693	708	thousand
error	704	699	error
sistema	707	744	system
prometo	719	894	to promise
mar	722	1016	sea
oficial	749	778	official
idiota	756	560	idiotic
esta	823	45	this
amiga	832	680	friend
preguntar	842	1462	to ask
música	870	572	music
jugar	883	633	to play
pobre	888	746	poor
aire	898	732	air
batalla	907	1337	battle
tocar	914	1232	to touch
tren	922	932	train
hotel	924	754	hotel
planeta	931	1139	planet
club	950	889	club
alegro	952	951	to make happy
causa	976	1076	cause
víctima	977	1021	victim
sorpresa	995	965	surprise
base	1065	1086	basis
informe	1074	1228	report
horrible	1098	875	horrible
jesús	1112	1138	bless you, gesundheit
toca	1130	1369	to touch
coronel	1135	1097	colonel
inspector	1150	1565	inspector
visita	1153	1353	to visit
bomba	1179	1260	bomb
líder	1188	1708	leader
escena	1189	986	scene
crear	1250	1908	to create
princesa	1289	1647	princess
oferta	1293	1685	offer
pregunto	1300	996	to ask
caminar	1318	1514	to walk
política	1335	1553	politics
casos	1362	1712	case
blanca	1433	1358	white
obra	1470	1223	work
estrella	1472	1157	star
imagino	1506	1786	to imagine
gas	1563	1991	gas
paga	1582	1723	to pay
calor	1624	1333	heat
alcalde	1629	1878	mayor
militar	1644	1851	military
cantar	1671	1570	to sing
negra	1705	1803	black
animal	1714	1666	animal
doble	1747	1284	double
perfecta	1866	1588	perfect
internet	1952	1928	internet
sexual	1978	1777	sexual
