word	rank_a	rank_b	english
ne	3	13	not
se	4	2	myself
on	49	121	he
ona	82	209	she
ono	128	640	it
oni	130	384	they
dva	165	153	two
život	171	179	life
žena	222	350	woman
sebe	257	251	myself
jedna	281	327	one
auto	326	379	car, automobile
sto	347	1562	hundred
osoba	444	1214	person
ženu	458	595	woman
oči	463	554	eye
smrt	525	633	death
šest	542	638	six
sestra	590	753	sister
deset	611	669	ten
doktor	768	612	doctor, physician
vodu	808	962	water
naši	822	560	our, ours
auta	860	608	car, automobile
okolo	885	1089	around
nad	893	452	over, above
pivo	906	1045	beer
voda	934	1122	water
prsten	1053	1481	ring
očima	1061	1761	eye
detektiv	1077	1279	detective
čaj	1081	1272	tea
klub	1085	1861	club
zlato	1086	313	gold
test	1095	1322	test
hotel	1134	1810	hotel
ulice	1209	1500	street
zvuk	1225	1520	sound
dole	1244	689	down
škola	1247	1439	school
vlak	1269	1640	train
oba	1280	437	both
zločin	1287	1609	crime
kontakt	1307	1612	contact
rose	1435	1776	dew
pozornost	1481	1184	attention
park	1493	1942	park
bomba	1511	1722	bomb
trik	1519	1976	trick
duše	1543	1142	soul
prostor	1593	1784	space
projekt	1804	1935	project
stanice	1831	1809	station
minut	1985	406	minute
