word	rank_a	rank_b	english
i	5	6	and
tu	99	28	here
oni	130	213	they
zna	185	739	to know
drugi	237	822	second
problem	268	293	problem
jedna	281	463	one
auto	326	1760	car, automobile
one	362	638	they; nonvirile third-person plural pronoun, used for all…
osoba	444	1055	person
brat	495	657	brother
daleko	521	684	far
oboje	549	912	both
telefon	604	451	telephone
brata	673	823	brother
stara	757	1238	old
znak	806	1458	sign
usta	812	1888	mouth
auta	860	1915	car, automobile
seks	871	1016	sex
jaja	991	1417	egg
program	1138	1336	program
stare	1153	1585	old
kontakt	1307	1606	contact
grupa	1483	1559	group
minut	1985	362	minute
