word	rank_a	rank_b	english
je	1	2	of her
da	2	1	that
ne	3	3	not
se	4	4	myself
i	5	5	and
u	6	6	in, at
to	7	7	that, the aforementioned
sam	8	8	to be, to exist
što	9	16	why
na	10	9	on, at, in
ti	11	10	you
za	12	12	for
mi	13	11	we
si	14	13	to myself
li	15	14	question-forming interrogative particle
ja	16	17	I
su	17	20	third-person plural present of bȉti
ali	18	18	but
nije	19	21	to be, to exist
s	20	47	with, together with, along with
samo	21	23	just, only, only just, merely, solely
ga	22	28	of him
me	23	24	of me
od	24	26	from, since
a	25	27	but, and
bi	26	29	to be, to exist
ovo	27	22	this, this one
kako	28	30	how
te	29	25	of you
će	30	37	third-person singular/plural present of htȅti/htjȅti
o	31	31	on, against
dobro	32	32	well
ako	33	33	if
smo	34	35	to be, to exist
sa	35	19	alternative form of s; used instead of s when the following…
sve	36	34	Intensity amplifier, used exclusively in phrases
kao	37	36	as, like
ću	38	57	first-person singular present of htȅti/htjȅti
biti	39	53	to be, to exist
tako	40	38	so, like that, in such a way
znam	41	39	first-person singular present of znȁti
ste	42	42	second-person plural present of bȉti
nisam	43	40	to be, to exist
ovdje	44	163	here, over here
bio	45	45	to be, to exist
mogu	46	41	can, to be able to
pa	47	44	then
zašto	48	46	why, what for
on	49	48	he
još	50	49	more, another
redu	51	52	row
bilo	52	51	generalization particle used before another word to express…
nešto	53	50	something
kad	54	55	when
koji	55	54	which, what
vas	56	56	of you
mislim	57	60	to think
hvala	58	58	praise
iz	59	59	from, out of
ili	60	62	or
možda	61	64	perhaps, maybe
ih	62	65	of them
gdje	63	221	where
ima	64	61	he has, she has
vam	65	69	you
više	66	66	over, above
znaš	67	63	second-person singular present of znȁti
rekao	68	77	to say
sada	69	68	genitive singular of sȃd
moj	70	75	my, mine
onda	71	67	then
bih	72	73	first-person singular aorist of bȉti
tko	73	271	who
mu	74	76	to him
ćemo	75	112	first-person plural present of htȅti/htjȅti
do	76	72	only, except
nema	77	81	mute, dumb
bila	78	78	to be, to exist
ništa	79	82	nothing
zar	80	70	used in tag questions, to ask for an affirmation to a polar…
nas	81	83	of us
ona	82	86	she
želim	83	99	first-person singular present of žèljeti
malo	84	79	little, few, some
mene	85	84	of me, long form
može	86	93	can, to be able to
vi	87	97	you
molim	88	88	to ask, request, beg
kada	89	80	bathtub
reći	90	142	to say
šta	91	15	what
jer	92	104	because, for
prije	93	304	before, earlier
tebe	94	87	of you
hej	95	101	hi
imam	96	95	to have, possess, own
možeš	97	94	can, to be able to
sad	98	89	now
tu	99	100	here
ćeš	100	118	second-person singular present of htȅti/htjȅti
zbog	101	96	because of, due to, owing to
ni	102	90	even, either
nam	103	98	to us
tamo	104	92	there
jesi	105	103	second-person singular present of bȉti
ljudi	106	109	people, men
svi	107	105	everyone
moram	108	110	to have to; must
uvijek	109	345	always
treba	110	74	girl, chick
stvarno	111	102	really, truly
hajde	112	91	let's go
po	113	106	half
jedan	114	115	one
koliko	115	111	how much, how many
već	116	114	already
idemo	117	116	to go, walk
misliš	118	113	to think
zato	119	107	so, therefore, for that/this reason, ergo
baš	120	108	at all, truly, really, exactly
nego	121	119	than
neće	122	122	to wish, want, desire
bez	123	124	without, excluding, not counting
vrijeme	124	378	time
možemo	125	131	can, to be able to
dok	126	121	while, as long as
koje	127	120	which, what
ono	128	127	it
joj	129	130	to her
oni	130	134	they
želiš	131	158	to wish, desire
toga	132	126	that, the aforementioned
ovaj	133	132	this, this one
žao	134	145	sorry
imaš	135	128	to have, possess, own
taj	136	136	that, the aforementioned
naravno	137	125	of course
mogao	138	150	can, to be able to
posao	139	143	job
koja	140	139	which, what
imamo	141	149	to have, possess, own
dana	142	137	day
nikad	143	144	never
tvoj	144	140	your, yours
dan	145	154	day
bili	146	161	to be, to exist
rekla	147	146	to say
put	148	151	to, toward
radi	149	156	for, because of, for the sake of
godina	150	148	year
bolje	151	147	comparative degree of dòbro: in a better or superior manner
svoje	152	176	one's own
nemoj	153	159	don't
puno	154	226	much, a lot, lots
neću	155	157	to wish, want, desire
netko	156	526	someone, somebody
meni	157	165	to me
možete	158	188	can, to be able to
kod	159	138	by, at, near, besides
reci	160	175	river
vidjeti	161	528	to see
jeste	162	152	emphatic yes
mama	163	167	mom
dobar	164	168	good
dva	165	177	two
mora	166	155	sea
njega	167	178	of him
imao	168	182	to have, possess, own
stvar	169	179	thing
nisu	170	180	to be, to exist
život	171	173	life
im	172	172	to them
tata	173	169	dad, daddy
vremena	174	181	time
radiš	175	164	to work
vidio	176	540	to see
volim	177	171	to love
jako	178	233	very, very much, really
pomoći	179	261	help
ići	180	347	to go, walk
vidim	181	153	first-person singular present of videti and vidjeti
kući	182	174	home, at home
nikada	183	185	never
danas	184	184	today
zna	185	186	to know
trebao	186	284	to be needed, to be required
neka	187	190	let, may
opet	188	206	again
vrlo	189	255	very, extremely
upravo	190	207	exactly, precisely
svoj	191	208	one's own
učiniti	192	492	to do, make
nakon	193	294	after
odmah	194	187	right now, immediately
ime	195	198	name
sigurno	196	213	certainly
svoju	197	204	feminine accusative singular of svȏj
tri	198	194	three
idem	199	166	to go, walk
želi	200	229	to wish, desire
evo	201	183	look, see, behold
nitko	202	639	no one, nobody
jesam	203	210	first-person singular present of bȉti
čovjek	204	640	man, person
mnogo	205	129	many, a lot, lots
čemu	206	201	whereto, whither; to what
tim	207	195	team
koju	208	200	which, what
bit	209	607	essence
zdravo	210	141	healthily
oko	211	203	around, about, roughly, approximately
no	212	519	but, however
tobom	213	196	with you
ćete	214	289	second-person plural present of htȅti/htjȅti
neki	215	192	some
čak	216	197	even
kaže	217	191	to say, to state
znao	218	227	to know
nismo	219	212	to be, to exist
toliko	220	189	that much/many, so much/many, as much/many
ide	221	211	to go, walk
žena	222	205	woman
bok	223	619	side
mnom	224	209	me
prema	225	248	towards, at
postoji	226	219	to be, exist
ta	227	223	that, the aforementioned
mjesto	228	660	instead of
bude	229	160	third-person singular present of bȉti
god	230	217	generalization particle
kažem	231	162	to say, to state
novac	232	235	money
dovoljno	233	236	enough, sufficiently
imate	234	247	to have, possess, own
vidi	235	170	third-person singular present
nemam	236	220	not to have
drugi	237	242	second
ju	238	422	her
jednom	239	215	once, one time
prvi	240	234	first
način	241	257	way, method, approach, manner
otac	242	222	father
došao	243	244	to come, arrive
doći	244	327	to come, arrive
znati	245	447	to know
oprosti	246	482	sorry!
tebi	247	225	to you
njih	248	243	of them
lijepo	249	676	beautifully, nicely
dakle	250	331	so, thus, therefore
vrata	251	269	neck
godine	252	231	year
želite	253	328	to wish, desire
vidimo	254	214	first-person plural present
puta	255	230	times
sranje	256	259	A very difficult situation, big trouble
sebe	257	241	myself
vaš	258	288	your, yours
razgovarati	259	585	to cheer up sb
čini	260	344	third-person present singular of čìniti
naći	261	338	to find, discover
nekoliko	262	275	some, several, a few
pravu	263	232	pure, true, genuine
dušo	264	240	soul
dalje	265	238	far
zajedno	266	239	together
drago	267	256	to be glad, pleased, delighted
problem	268	246	problem
previše	269	281	too much / too many
imati	270	357	to have, possess, own
kroz	271	265	through
siguran	272	273	sure, certain
poput	273	439	like, as, such as
sutra	274	237	tomorrow
vratiti	275	390	to return, come back
ma	276	263	bah, whatever
zapravo	277	360	in fact, really, actually
ovamo	279	253	hither, this way
dođi	280	274	to come, arrive
jedna	281	254	one
mogla	282	264	can, to be able to
dugo	283	278	for a long time
otići	284	419	to leave, part, depart
pravo	285	293	straight
gore	286	290	up, above
točno	287	792	exactly, correctly
svaki	288	297	every, each
pod	289	279	under, beneath
vidiš	290	218	second-person singular present of videti and vidjeti
vama	291	303	to you
osim	292	315	except, besides
radim	293	216	to work
oprostite	294	530	sorry!
naš	295	282	our, ours
njim	296	272	him
dosta	297	245	enough, sufficiently
raditi	298	512	to work
ova	299	249	feminine nominative singular
noć	300	277	night, nighttime
mogli	301	296	can, to be able to
ubiti	302	454	to kill, murder
niste	303	306	to be, to exist
teško	304	295	heavily
čuo	305	301	to hear
dobio	306	380	to receive, get, obtain, acquire
ovde	307	43	here
odavde	308	250	from here
koga	309	252	of whom
brzo	310	270	quickly, rapidly
protiv	311	300	against
nećeš	312	267	to wish, want, desire
loše	313	280	bad, malicious
dijete	314	800	child, kid
večeras	315	283	this evening
vjerojatno	316	881	probably
par	317	276	pair, couple
unutra	318	309	inside, indoors, in
pomoć	319	319	help
sviđa	320	318	to like, please
nama	321	298	to us
mislite	322	322	to think
dio	323	798	part
isto	324	292	as well, also, too, likewise
dvije	325	797	two
auto	326	342	car, automobile
istina	327	332	truth
ovu	328	291	this, this one
neko	329	133	someone, somebody
imala	330	316	to have, possess, own
napraviti	331	636	to do, commit
mali	332	302	small
imaju	333	324	to have, possess, own
njegov	334	336	his
ljude	335	333	people, men
dolje	336	945	down
minuta	337	307	minute
ovako	338	286	in this way, thus, like so
bismo	339	368	first-person plural aorist of bȉti
ko	340	85	who
