word	rank_a	rank_b	english
i	5	224	and
ti	11	29	you
ja	16	17	I
tvoj	144	114	your, yours
dva	165	205	two
život	171	132	life
svoj	191	207	one's own
tri	198	206	three
žena	222	209	woman
jedna	281	223	one
sto	347	876	hundred
osoba	444	552	person
ženu	458	361	woman
oči	463	332	eye
strane	471	381	side
brat	495	321	brother
vode	577	985	water
krv	578	392	blood
sestra	590	366	sister
večer	632	184	evening
brata	673	490	brother
um	712	450	mind
doktor	768	231	doctor, physician
vodu	808	545	water
okolo	885	258	around
pivo	906	580	beer
voda	934	602	water
dar	1033	719	gift
čaj	1081	701	tea
zlato	1086	284	gold
nos	1109	797	nose
hotel	1134	955	hotel
osobe	1137	1716	person
program	1138	733	program
osobu	1192	989	person
ulice	1209	922	street
zvuk	1225	755	sound
škola	1247	759	school
vlak	1269	833	train
oba	1280	1805	both
strana	1375	1056	side
bomba	1511	870	bomb
duše	1543	890	soul
dve	1544	228	two
ulica	1579	1568	street
duša	1602	1036	soul
novom	1603	1155	new
slobodu	1626	1004	freedom
nebo	1643	1238	sky
most	1651	1203	bridge
prst	1655	1209	finger
alibi	1865	1232	alibi
mačka	1885	1139	cat
čin	1896	1462	action, act, deed
kolega	1899	1471	colleague
princ	1950	968	prince
adresa	1980	1240	address
ceste	1984	299	road
