word	rank_a	rank_b	english
je	3	112	to be
ale	12	15	but
mi	17	18	first-person pronoun; I
o	19	13	about
jak	21	14	how
ty	22	32	you
jako	30	199	as
tam	48	51	there
nic	58	50	nothing
po	73	25	after
ani	95	269	neither, nor, or
ze	137	63	alternative form of z
jeden	169	192	one
chce	225	129	to want
noc	271	394	night, nighttime
ok	299	164	eye
jedna	327	463	one
jedno	364	421	one
auto	379	1760	car, automobile
oni	384	213	they
minut	406	362	minute
matka	416	453	mother
syn	575	606	son
domu	577	98	house
auta	608	1915	car, automobile
syna	671	624	son
nikomu	782	950	no one, nobody
komu	935	1617	who
hotelu	1038	1116	hotel
rozkaz	1171	1546	order, command
dna	1176	1194	gout
synu	1177	925	son
osoba	1214	1055	person
psa	1268	1317	dog
minuty	1376	1404	minute
kontakt	1612	1606	contact
oko	1686	1278	eye
frank	1725	919	franc
energii	1829	1976	energy
okno	1898	1646	window
raz	1945	146	one
milion	1955	1898	million
