word	rank_a	rank_b	english
se	2	4	myself
ne	13	3	not
on	121	48	he
dva	153	177	two
život	179	173	life
ona	209	86	she
sebe	251	241	myself
zlato	313	1148	gold
jedna	327	254	one
žena	350	205	woman
auto	379	342	car, automobile
oni	384	134	they
minut	406	826	minute
oba	437	1286	both
nad	452	896	over, above
oči	554	457	eye
naši	560	820	our, ours
ženu	595	446	woman
auta	608	1018	car, automobile
doktor	612	617	doctor, physician
smrt	633	508	death
šest	638	545	six
ono	640	127	it
deset	669	602	ten
dole	689	356	down
sestra	753	587	sister
vodu	962	740	water
pivo	1045	836	beer
okolo	1089	832	around
voda	1122	846	water
duše	1142	1438	soul
osoba	1214	487	person
čaj	1272	1026	tea
detektiv	1279	1227	detective
test	1322	1034	test
škola	1439	1174	school
prsten	1481	1080	ring
ulice	1500	1208	street
zvuk	1520	1204	sound
sto	1562	311	hundred
zločin	1609	1348	crime
kontakt	1612	1305	contact
bomba	1722	1581	bomb
očima	1761	1019	eye
prostor	1784	1577	space
stanice	1809	1624	station
hotel	1810	1047	hotel
klub	1861	1065	club
park	1942	1465	park
milion	1955	1253	million
cena	1962	1870	price
trik	1976	1506	trick
