word	rank_a	rank_b	english
je	3	3	to be
a	4	6	and
že	5	8	that
s	14	13	with
ty	22	28	you
z	23	21	from
tam	48	34	there
mám	50	40	to have
bude	55	43	to be
vás	57	48	you
takže	59	45	therefore, so
má	60	59	to have
vám	62	55	you
kde	70	49	where?
od	79	70	from
máš	83	62	to have
nás	86	71	we
prosím	91	68	please
moc	92	281	too
vy	94	78	you
tebe	102	169	you
nám	104	86	we
ahoj	105	87	hello, hi
máme	111	89	to have
chceš	114	84	to want
dobrý	131	126	good
my	139	109	we
máte	140	112	to have
dva	153	205	two
budeš	159	127	to be
vaše	160	212	your, yours
jeden	169	120	one
bože	171	116	god
bez	172	121	without
dnes	177	93	today
život	179	132	life
tebou	181	138	you
dobrá	184	249	good
budeme	194	145	to be
pravdu	207	151	truth
práci	218	400	work
práce	221	291	work
chce	225	161	to want
čas	232	104	time
vždycky	237	1998	always
ním	246	164	instrumental of on and ono
dobré	247	136	good
chcete	252	167	to want
každý	270	154	each, every
noc	271	163	night, nighttime
váš	279	181	your, yours
problém	288	166	problem
fakt	296	253	fact
znamená	307	194	to mean
budete	308	213	to be
pravda	309	191	truth
zlato	313	284	gold
lepší	317	512	better, comparative degree of dobrý
otec	325	117	father
jedna	327	223	one
celý	335	178	whole
náš	343	218	our, ours
stále	344	80	always, all the time
žena	350	209	woman
muž	351	200	man
proti	360	239	against
pomoc	362	225	help, aid, assistance
jedno	364	221	one
vlastní	386	1247	own
celou	388	1624	whole
matka	416	260	mother
tento	420	118	this
včera	432	285	yesterday
pozor	436	233	attention
oba	437	1805	both
času	450	265	time
srdce	454	349	heart
zemi	455	415	earth
celé	464	269	whole
dobrou	465	1679	good
číslo	469	268	number
vzal	496	432	to take
nový	501	323	new
vaši	529	827	your, yours
smrti	540	362	death
ženy	549	330	woman
hlavu	551	351	head
jediný	553	341	only, sole
oči	554	332	eye
muži	555	451	man
slovo	572	343	word
syn	575	316	son
domu	577	338	house
strach	578	404	fear
čau	582	395	hello, hi
cestu	586	329	road
ženu	595	361	woman
nové	602	345	new
loď	610	369	ship
doktor	612	231	doctor, physician
rodina	620	360	family
drž	626	352	to hold
chyba	627	397	fault
syna	671	413	son
dní	714	373	day
starý	717	367	old
hlavy	736	444	head
sestra	753	366	sister
cesty	756	426	road
sex	761	454	sex
manžel	771	477	husband
celá	788	492	whole
slova	806	1278	word
nohy	813	473	leg
láska	814	401	love
tisíc	844	561	thousand
lodi	846	636	ship
otázka	847	476	question
cesta	854	445	road
volal	865	434	to call
bohu	877	528	god
chodí	891	655	to go
horší	896	1646	worse
šťastný	898	437	happy
otče	901	730	father
novou	908	1841	new
sexy	926	745	sex
šaty	932	506	dress
vrah	933	517	murderer
sen	943	531	dream
obchod	944	537	trade
dvakrát	945	665	twice
ulici	947	659	street
vody	951	535	water
hra	952	539	play, game
hlas	960	541	voice
vodu	962	545	water
hlad	978	1229	hunger
zdraví	981	1829	health
staré	984	600	old
chlapče	986	427	boy
nová	1012	630	new
znova	1020	251	again
málo	1041	621	little, few
ženou	1044	584	woman
pivo	1045	580	beer
škoda	1046	624	pity, shame
chlapec	1062	308	boy
konci	1081	612	end
divný	1082	1143	strange, odd, surprising
okolo	1089	258	around
krok	1090	581	step, pace
doktora	1091	661	doctor, physician
mladý	1097	543	young
pes	1116	563	dog
voda	1122	602	water
očí	1127	620	eye
chybu	1135	634	fault
duše	1142	890	soul
stranu	1144	685	side
zem	1150	396	earth
buďte	1162	682	to be
byt	1167	465	apartment, flat
dna	1176	654	gout
synu	1177	960	son
vtip	1191	692	joke
hovno	1192	567	shit, turd
plný	1195	705	full
boha	1204	497	god
nazdar	1208	924	hello
hlava	1212	626	head
osoba	1214	552	person
milý	1215	593	kind
starší	1224	972	old
knihu	1251	586	book
psa	1268	678	dog
čaj	1272	701	tea
oheň	1282	688	fire
cestou	1283	667	road
vzduchu	1284	672	air
zuby	1288	767	tooth
kus	1293	716	piece
volá	1320	293	to call
víkend	1341	652	weekend
mladá	1344	744	young
idiot	1360	522	idiot
chuť	1363	707	taste
krku	1377	786	neck
stop	1394	830	hitchhiking
knihy	1396	631	book
zlé	1407	232	evil
skrz	1416	1271	through
strany	1419	689	side
pravý	1427	791	right
zlý	1431	405	evil
hlavou	1434	829	head
víno	1436	783	wine
škola	1439	759	school
prezident	1442	588	president
chytrý	1443	1450	clever
pravé	1475	956	right
srdci	1491	847	heart
ulice	1500	922	street
vzduch	1503	770	air
tlak	1514	824	pressure
video	1517	702	video
zvuk	1520	755	sound
hudba	1534	818	music
kód	1545	758	code
hrdina	1551	743	hero
jazyk	1559	782	tongue
sto	1562	876	hundred
pole	1580	1176	field
kávu	1593	516	coffee
vláda	1601	763	government
hrozný	1603	1033	horrible, terrible, awful
okna	1608	1213	window
dobrého	1610	988	good
vražda	1630	811	murder
babička	1637	1616	grandmother
krk	1638	869	neck
vlak	1640	833	train
hudbu	1642	772	music
nohu	1648	841	leg
pravá	1659	931	right
dojem	1668	1050	impression
čistý	1670	828	clean
oko	1686	838	eye
kniha	1693	766	book
dáma	1703	787	lady
dobro	1708	855	good
počítač	1710	848	computer
budem	1715	94	to be
bomba	1722	870	bomb
nohou	1740	1676	leg
volám	1744	406	to call
stroj	1749	837	machine
časy	1760	803	time
meč	1779	901	sword
manželka	1798	778	wife
hotel	1810	955	hotel
zázrak	1811	899	miracle
noviny	1817	909	newspaper
bezpečné	1833	805	safe
chyby	1845	928	fault
hlasy	1859	1307	voice
sexu	1860	1464	sex
ženatý	1881	854	married
kosti	1891	1029	bone
okno	1898	817	window
ostrov	1900	1018	island
celého	1918	835	whole
lži	1939	1522	lie
schopný	1953	615	able, capable
cena	1962	978	price
vodou	1977	969	water
