word	rank_a	rank_b	english
ne	13	2	not
za	32	12	behind
kdo	64	54	who
on	121	92	he
dva	153	136	two
ona	209	135	she
čas	232	101	time
zlato	313	541	gold
oni	384	246	they
nad	452	240	over, above
konec	499	166	end
smrti	540	259	death
oči	554	179	eye
smrt	633	251	death
šest	638	292	six
ono	640	1524	it
deset	669	308	ten
možnost	716	324	possibility
sestra	753	270	sister
cesta	854	1028	road
ulici	947	425	street
pivo	1045	417	beer
pes	1116	362	dog
voda	1122	445	water
radost	1149	1758	joy
pozornost	1184	592	attention
čaj	1272	514	tea
ulice	1500	618	street
tlak	1514	1186	pressure
sto	1562	461	hundred
zločin	1609	609	crime
skupina	1622	539	group
vlak	1640	534	train
oko	1686	575	eye
bomba	1722	653	bomb
stroj	1749	606	machine
meč	1779	596	sword
los	1879	667	elk, moose
okno	1898	456	window
cena	1962	759	price
