word	rank_a	rank_b	english
der	19	1450	there
ja	35	44	yes
kom	49	78	to come
alle	59	207	all
op	61	18	up
dag	120	149	day
hallo	267	226	hello
dagen	529	339	day
mening	543	1458	an opinion
ene	774	818	one
date	1029	1544	a date
glas	1102	1257	glass
hotel	1243	848	hotel
procent	1322	1433	percent
professor	1330	1185	professor
tante	1401	1118	aunt
kilometer	1418	1283	kilometre
succes	1582	791	success
lange	1605	747	long
rapport	1634	1569	a report
afstand	1723	1282	distance
park	1797	1094	park
senator	1826	1805	senator
weekend	1878	1155	weekend
prins	1905	1660	prince
kunst	1927	1732	art
talent	1952	1849	talent
restaurant	1972	1376	restaurant
