word	rank_a	rank_b	english
familie	268	299	family
sagt	283	232	to say
problem	379	306	problem
chance	436	536	chance
onkel	700	726	uncle
telefon	704	622	telephone
mord	729	891	murder
doktor	742	659	doctor
interessant	899	1247	interestingly
musik	931	291	music
general	936	868	general
form	1089	1934	shape
glas	1102	1337	glass
hotel	1243	916	hotel
absolut	1299	961	absolutely
professor	1330	1186	professor
soldat	1376	1832	soldier
tante	1401	1128	aunt
computer	1436	1193	computer
bombe	1556	1619	bomb
engel	1828	1568	angel
kunst	1927	1958	art
restaurant	1972	1725	restaurant
