word	rank_a	rank_b	english
vi	11	10	we
dig	21	22	you
nu	34	37	now
ja	35	35	yes
kom	49	51	to come
se	56	82	to see
kommer	70	42	to come
eller	72	63	or
få	75	80	few
ingen	77	75	no
hej	94	85	hi, hello
aldrig	101	92	never
ser	110	90	to see
igen	113	79	again
tid	139	162	time
liv	165	155	life
tre	179	171	three
tro	233	259	belief
betyder	250	317	to mean
gav	260	280	to give
tiden	271	253	time
sagt	283	323	to say
gamle	284	1435	old
ses	289	303	to see
fem	297	306	five
glad	303	398	happy, glad
ny	347	366	new
heller	348	396	either
livet	359	307	life
ingenting	374	271	nothing
sent	385	562	late
ben	472	528	leg
blod	480	534	blood
the	483	579	alternative spelling of te
perfekt	552	535	perfectly
fred	562	863	peace
tom	570	654	empty
unge	577	1163	young
natten	610	574	night
kaffe	622	710	coffee
svin	642	1559	hog, pig, swine
krig	646	764	war
hår	713	920	hair
ung	724	740	young
mord	729	755	murder
sover	746	809	to sleep
middag	776	711	midday, noon
sekunder	779	883	second
historien	912	1200	history
blå	923	1299	blue
luften	928	1314	air
musik	931	1026	music
fader	938	969	father
tredje	969	936	third
sov	978	975	to sleep
respekt	992	1185	respect
gravid	1006	1211	pregnant
fart	1017	850	speed
personligt	1039	1816	personal
himlen	1075	1249	sky
is	1078	1660	ice
glas	1102	1055	glass
medicin	1131	1564	medicine
partner	1175	1149	partner
ansvar	1181	1276	responsibility
solen	1215	1255	sun
vin	1244	1278	wine
luft	1295	1679	air
absolut	1299	628	absolutely
procent	1322	1505	percent
minut	1323	1075	minute
professor	1330	1793	professor
guld	1350	1485	gold
ed	1361	1709	an oath
havet	1368	1240	sea, ocean
magi	1404	1550	magic
skyldig	1414	655	guilty
farlig	1425	1513	dangerous
bort	1448	188	away, off
regeringen	1476	1476	government; the executive body of a country's governmental…
energi	1520	1791	energy
synd	1535	714	sin
fredag	1547	1953	Friday
information	1593	824	information
rapport	1634	1882	a report
mordet	1648	1288	murder
blodet	1670	1663	blood
stranden	1692	1543	beach
eftermiddag	1709	1773	afternoon
sekund	1710	1389	second
klubben	1901	1874	a club
