word	rank_a	rank_b	english
weg	97	128	away
geld	176	190	money
oh	179	84	oh
niemand	184	301	nobody, no one
idee	230	426	idea
morgen	298	174	tomorrow
minuten	377	389	minute
vier	392	509	four
baby	422	367	baby
nacht	457	215	night
dollar	471	634	dollar
verloren	614	455	to lose
acht	705	885	eight
beide	835	315	both
hotel	848	916	hotel
boot	911	1121	boat
oma	944	1588	grandma, granny, nan
arme	951	986	poor
lachen	974	841	to laugh
beiden	1005	567	both
liegen	1010	909	to lie
brief	1023	1053	letter
sheriff	1088	1277	sheriff
tante	1118	1128	aunt
liegt	1144	440	to lie
held	1163	1676	hero
links	1180	1140	on the left
professor	1185	1186	professor
energie	1242	1512	energy
glas	1257	1337	glass
rechts	1296	1246	on the right
bier	1353	987	beer
restaurant	1376	1725	restaurant
jagen	1695	1689	to hunt
kunst	1732	1958	art
interesse	1848	1538	interest
high	1901	1974	high
