word	rank_a	rank_b	english
te	49	21	you
ah	220	586	ah
film	521	727	movie, film
agent	540	753	agent
an	690	523	year
accident	735	772	accident
avion	797	987	aeroplane
club	888	1129	club
existe	1032	1824	to exist
nord	1164	1008	north
henry	1169	888	henry
sud	1199	1046	south
sergent	1225	1140	sergeant
sexy	1293	1463	sexy
soldat	1482	1186	soldier
gay	1503	1675	gay
magie	1555	1937	magic
martin	1625	1289	bird of either the starling family, or of the kingfisher…
direct	1819	671	directly
cancer	1834	1759	cancer
dormi	1904	849	to sleep
mandat	1933	1825	mandate
sport	1960	1730	sport
