word	rank_a	rank_b	english
e	6	1	and
se	11	26	if
vai	63	203	to go
tempo	80	130	time
sempre	110	118	always
oh	195	59	oh
nome	217	257	name
durante	218	648	during
penso	227	184	to think
problema	251	259	problem
importante	359	410	important
campo	383	721	field
sangue	402	436	blood
presidente	439	629	president
forza	440	251	force
pensa	483	473	to think
futuro	502	752	future
fame	544	919	hunger
duro	588	1107	hard
libro	633	666	book
muro	662	1426	wall
fondo	732	800	deep
arte	817	1415	art
causa	821	616	cause
ponte	843	1750	bridge
vento	915	1709	wind
nove	968	1418	nine
padre	1000	158	father
pensando	1011	740	to think
verde	1117	1581	green
visto	1285	146	to see
dando	1481	1704	to give
lingua	1496	1457	tongue
rosa	1605	1901	rose
uso	1636	1530	to use
cura	1968	647	care
madre	1973	198	mother
